cohort	clustering_unit	grouping	stratum	n_genomes	statistic	estimate	ci95_lo	ci95_hi	design_se	design_ci95_lo	design_ci95_hi	note
catalogue_weighted	family	overall	ALL	265943	p_class_change	0.212207	0.19721	0.233879	0.000787895	0.210663	0.213751	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	p_downgrade	0.0956708	0.0771577	0.12549	0.000550961	0.0945909	0.0967506	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	p_upgrade	0.116536	0.0985583	0.129538	0.000631449	0.115299	0.117774	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	p_HQ_checkm2	0.3139	0.283019	0.350424	0.0008992	0.312138	0.315662	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	p_HQ_magicc	0.350289	0.315862	0.380834	0.00092823	0.34847	0.352109	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	HQ_downgrade_rate	0.25522	0.211664	0.316241	0.00148425	0.252311	0.258129	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	HQ_to_MQ_rate	0.223103	0.18519	0.277006	0.00142229	0.220315	0.225891	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	HQ_to_LQ_rate	0.0321172	0.0239769	0.0435425	0.000564535	0.0310107	0.0332237	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	MQ_to_HQ_rate	0.169797	0.146539	0.189278	0.000889738	0.168053	0.171541	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	MQ_to_LQ_rate	0.0226772	0.0167768	0.0330552	0.000316627	0.0220567	0.0232978	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	LQ_to_higher_rate	0.665611	0.345341	0.909	0.101274	0.467118	0.864103	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	cont5_disagreement_rate	0.0390869	0.0285628	0.0557847	0.000357873	0.0383855	0.0397883	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	floor_rate	0.00508448	0.00302042	0.00872504	4.32074e-05	0.0049998	0.00516917	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	floor_rate_exact50	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	mean_d_comp	0.352537	-0.669212	1.04067	0.0160296	0.32112	0.383955	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	mean_d_cont	-0.66218	-0.948364	-0.227896	0.00823603	-0.678323	-0.646038	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	mean_comp_checkm2	81.1143	80.324	81.973	0.027116	81.0612	81.1674	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	mean_comp_magicc	81.4668	80.2902	82.4847	0.0294253	81.4092	81.5245	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	mean_cont_checkm2	1.77562	1.63007	1.90144	0.0039909	1.7678	1.78345	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	mean_cont_magicc	1.11344	0.882669	1.48293	0.0078837	1.09799	1.1289	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	cell_HQ_to_HQ	0.233786	0.205636	0.260773	0.000826939	0.232166	0.235407	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	cell_HQ_to_MQ	0.0700321	0.0566802	0.0908788	0.000485695	0.0690801	0.070984	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	cell_HQ_to_LQ	0.0100816	0.0071511	0.0147023	0.000178824	0.0097311	0.0104321	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	cell_MQ_to_HQ	0.116485	0.098507	0.129464	0.000631345	0.115247	0.117722	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	cell_MQ_to_MQ	0.553981	0.520241	0.585938	0.000959992	0.552099	0.555862	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	cell_MQ_to_LQ	0.0155571	0.0117037	0.0216039	0.000217861	0.0151301	0.0159841	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	cell_LQ_to_HQ	1.83248e-05	0	4.82007e-05	7.58583e-06	3.45686e-06	3.31928e-05	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	cell_LQ_to_MQ	3.33338e-05	1.32109e-05	5.82043e-05	1.07288e-05	1.23058e-05	5.43618e-05	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	cell_LQ_to_LQ	2.59522e-05	5.49217e-06	5.70952e-05	9.79105e-06	6.7621e-06	4.51423e-05	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	slope_d_comp_per_log10Mbp	12.6958	10.4544	15.0902				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	slope_d_cont_per_log10Mbp	0.352255	-1.00856	1.88581				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	p_class_change	0.157129	0.130123	0.187628	0.000252586	0.156634	0.157624	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	p_downgrade	0.141407	0.116199	0.170037	0.000241864	0.140933	0.141881	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	p_upgrade	0.015722	0.00988087	0.0233556	8.62739e-05	0.0155529	0.0158911	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	p_HQ_checkm2	0.160362	0.125822	0.197173	0.000254784	0.159863	0.160861	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	p_HQ_magicc	0.0755094	0.047555	0.110716	0.000183429	0.0751499	0.0758689	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
