cohort	clustering_unit	checkm2_class	magicc_class	n_genomes	weighted_proportion_of_cohort	ci95_lo	ci95_hi	row_conditional_rate	row_ci95_lo	row_ci95_hi	row_denominator_n
catalogue_weighted	family	HQ	HQ	53087	0.233786	0.205636	0.260773	nan	nan	nan	76816
catalogue_weighted	family	HQ	MQ	19796	0.0700321	0.0566802	0.0908788	0.223103	0.18519	0.277006	76816
catalogue_weighted	family	HQ	LQ	3933	0.0100816	0.0071511	0.0147023	0.0321172	0.0239769	0.0435425	76816
catalogue_weighted	family	MQ	HQ	26428	0.116485	0.098507	0.129464	0.169797	0.146539	0.189278	189107
catalogue_weighted	family	MQ	MQ	156152	0.553981	0.520241	0.585938	nan	nan	nan	189107
catalogue_weighted	family	MQ	LQ	6527	0.0155571	0.0117037	0.0216039	0.0226772	0.0167768	0.0330552	189107
catalogue_weighted	family	LQ	HQ	5	1.83248e-05	0	4.82007e-05	nan	nan	nan	20
catalogue_weighted	family	LQ	MQ	10	3.33338e-05	1.32109e-05	5.82043e-05	nan	nan	nan	20
catalogue_weighted	family	LQ	LQ	5	2.59522e-05	5.49217e-06	5.70952e-05	nan	nan	nan	20
catalogue_weighted	spire_cluster	HQ	HQ	53087	0.233786	0.219237	0.249099	nan	nan	nan	76816
catalogue_weighted	spire_cluster	HQ	MQ	19796	0.0700321	0.0647772	0.0755799	0.223103	0.204274	0.242	76816
catalogue_weighted	spire_cluster	HQ	LQ	3933	0.0100816	0.00874569	0.0117039	0.0321172	0.0276878	0.0376522	76816
catalogue_weighted	spire_cluster	MQ	HQ	26428	0.116485	0.109749	0.123454	0.169797	0.160174	0.179619	189107
catalogue_weighted	spire_cluster	MQ	MQ	156152	0.553981	0.540621	0.568443	nan	nan	nan	189107
catalogue_weighted	spire_cluster	MQ	LQ	6527	0.0155571	0.0141157	0.0172291	0.0226772	0.0206578	0.0250643	189107
catalogue_weighted	spire_cluster	LQ	HQ	5	1.83248e-05	1.79085e-06	4.00183e-05	nan	nan	nan	20
catalogue_weighted	spire_cluster	LQ	MQ	10	3.33338e-05	1.12939e-05	6.10121e-05	nan	nan	nan	20
catalogue_weighted	spire_cluster	LQ	LQ	5	2.59522e-05	5.13264e-06	5.12312e-05	nan	nan	nan	20
catalogue_weighted_no_nr_adjustment	family	HQ	HQ	53087	0.232904	0.206797	0.258532	nan	nan	nan	76816
catalogue_weighted_no_nr_adjustment	family	HQ	MQ	19796	0.0695822	0.0554065	0.0904954	0.222604	0.181919	0.275391	76816
catalogue_weighted_no_nr_adjustment	family	HQ	LQ	3933	0.0100971	0.00724377	0.015107	0.032302	0.0241306	0.0455185	76816
catalogue_weighted_no_nr_adjustment	family	MQ	HQ	26428	0.11682	0.0977619	0.130475	0.169959	0.146563	0.189897	189107
catalogue_weighted_no_nr_adjustment	family	MQ	MQ	156152	0.554884	0.522017	0.585194	nan	nan	nan	189107
catalogue_weighted_no_nr_adjustment	family	MQ	LQ	6527	0.0156397	0.011896	0.0222472	0.0227537	0.0170141	0.0334284	189107
