cohort	clustering_unit	grouping	stratum	n_genomes	metric	weighted_median	ci95_lo	ci95_hi	weighted_mean	mean_ci95_lo	mean_ci95_hi
catalogue_weighted	family	overall	ALL	265943	completeness_MAGICC_minus_CheckM2	0.5106	-0.0336	1.0164	0.3525	-0.6692	1.0407
catalogue_weighted	family	overall	ALL	265943	contamination_MAGICC_minus_CheckM2	-0.6042	-0.7427	-0.4238	-0.6622	-0.9484	-0.2279
catalogue_weighted	family	size_bin	<1Mb	57652	completeness_MAGICC_minus_CheckM2	-5.0954	-6.4354	-3.9119	-7.2008	-8.2966	-6.0750
catalogue_weighted	family	size_bin	<1Mb	57652	contamination_MAGICC_minus_CheckM2	-0.0488	-0.0987	-0.0138	0.7979	0.4379	1.2154
catalogue_weighted	family	size_bin	1-2Mb	89416	completeness_MAGICC_minus_CheckM2	-0.1750	-0.7268	0.1539	-1.0439	-1.9109	-0.4356
catalogue_weighted	family	size_bin	1-2Mb	89416	contamination_MAGICC_minus_CheckM2	-0.5492	-0.7194	-0.3917	-0.7956	-1.0776	-0.4491
catalogue_weighted	family	size_bin	2-3Mb	78986	completeness_MAGICC_minus_CheckM2	1.4620	0.6255	2.0009	1.8525	0.9461	2.4275
catalogue_weighted	family	size_bin	2-3Mb	78986	contamination_MAGICC_minus_CheckM2	-0.6923	-0.8382	-0.4630	-0.9923	-1.2175	-0.5141
catalogue_weighted	family	size_bin	3-5Mb	34179	completeness_MAGICC_minus_CheckM2	1.9707	0.4674	3.0165	2.7120	1.4190	3.6770
catalogue_weighted	family	size_bin	3-5Mb	34179	contamination_MAGICC_minus_CheckM2	-0.8362	-1.0972	-0.5017	-0.6065	-1.1989	0.3679
catalogue_weighted	family	size_bin	>5Mb	5710	completeness_MAGICC_minus_CheckM2	2.3495	1.1917	3.1799	3.2827	2.3988	3.9202
catalogue_weighted	family	size_bin	>5Mb	5710	contamination_MAGICC_minus_CheckM2	-1.0335	-1.7237	-0.0009	3.3600	0.3481	8.4197
catalogue_weighted	family	lineage_reduction	<-1 (>=2x reduced)	27791	completeness_MAGICC_minus_CheckM2	-3.8611	-4.7761	-2.8357	-5.2087	-6.1513	-4.2375
catalogue_weighted	family	lineage_reduction	<-1 (>=2x reduced)	27791	contamination_MAGICC_minus_CheckM2	-0.1558	-0.2737	-0.0883	-0.1345	-0.4636	0.2045
catalogue_weighted	family	lineage_reduction	-1 to -0.5	39038	completeness_MAGICC_minus_CheckM2	-1.1885	-1.9733	-0.5258	-2.5003	-3.6499	-1.6413
catalogue_weighted	family	lineage_reduction	-1 to -0.5	39038	contamination_MAGICC_minus_CheckM2	-0.4020	-0.5339	-0.3057	-0.6707	-0.8953	-0.4229
catalogue_weighted	family	lineage_reduction	-0.5 to -0.25	35035	completeness_MAGICC_minus_CheckM2	-0.1936	-0.9982	0.2696	-1.1123	-2.2787	-0.3292
catalogue_weighted	family	lineage_reduction	-0.5 to -0.25	35035	contamination_MAGICC_minus_CheckM2	-0.5787	-0.7416	-0.4219	-0.8346	-1.1012	-0.5097
catalogue_weighted	family	lineage_reduction	-0.25 to +0.25 (typical)	94190	completeness_MAGICC_minus_CheckM2	0.7061	0.1310	1.2851	0.6184	-0.2512	1.3173
catalogue_weighted	family	lineage_reduction	-0.25 to +0.25 (typical)	94190	contamination_MAGICC_minus_CheckM2	-0.6310	-0.8080	-0.4136	-0.8641	-1.2005	-0.3452
catalogue_weighted	family	lineage_reduction	>+0.25 (larger than lineage)	69889	completeness_MAGICC_minus_CheckM2	1.9462	0.5828	2.6354	2.5541	1.2985	3.3000
catalogue_weighted	family	lineage_reduction	>+0.25 (larger than lineage)	69889	contamination_MAGICC_minus_CheckM2	-0.7653	-0.9544	-0.4679	-0.3756	-0.8531	0.6050
catalogue_weighted	family	phylum	Acidobacteriota	1639	completeness_MAGICC_minus_CheckM2	1.7405	0.2578	2.8957	1.7330	-0.0062	3.3329
catalogue_weighted	family	phylum	Acidobacteriota	1639	contamination_MAGICC_minus_CheckM2	-0.8436	-1.0959	-0.5093	1.3438	0.4327	2.5374
catalogue_weighted	family	phylum	Actinobacteriota	19468	completeness_MAGICC_minus_CheckM2	-0.0628	-0.5996	0.8889	-0.6022	-1.9033	0.4515
catalogue_weighted	family	phylum	Actinobacteriota	19468	contamination_MAGICC_minus_CheckM2	-0.6205	-0.8805	-0.5032	-0.8403	-1.1277	-0.1777
catalogue_weighted	family	phylum	Aenigmatarchaeota	441	completeness_MAGICC_minus_CheckM2	-20.5936	-23.3800	-18.6811	-20.0652	-21.8908	-18.3055
catalogue_weighted	family	phylum	Aenigmatarchaeota	441	contamination_MAGICC_minus_CheckM2	6.4745	3.7921	14.9907	12.4082	8.5815	16.6527
catalogue_weighted	family	phylum	Armatimonadota	963	completeness_MAGICC_minus_CheckM2	4.9903	1.8541	8.7664	5.7914	1.7127	9.6691
catalogue_weighted	family	phylum	Armatimonadota	963	contamination_MAGICC_minus_CheckM2	-0.9146	-1.5602	-0.2950	1.6503	-0.1323	3.2678
