cohort	grouping	stratum	n_genomes	n_at_floor_le_50.5	n_at_floor_le_50.0	rate_le_50.5	ci95_lo	ci95_hi	min_magicc_completeness	note
catalogue_weighted	overall	ALL	265943	5317	0	0.00508448	0.00302042	0.00872504	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	size_bin	<1Mb	57652	5215	0	0.0904968	0.0573262	0.13233	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	size_bin	1-2Mb	89416	96	0	0.00102363	0.000640415	0.00148828	50.1193	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	size_bin	2-3Mb	78986	6	0	8.00253e-05	0	0.000237942	50.1648	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	size_bin	3-5Mb	34179	0	0	0	0	0	50.8946	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	size_bin	>5Mb	5710	0	0	0	0	0	53.5106	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Acidobacteriota	1639	35	0	0.00412431	0	0.0137331	50.0228	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Actinobacteriota	19468	137	0	0.00185225	0.00102868	0.00278406	50.0280	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Aenigmatarchaeota	441	61	0	0.138635	0.073272	0.200899	50.0166	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Armatimonadota	963	0	0	0	0	0	50.8034	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Asgardarchaeota	207	3	0	0.0147738	0	0.0476191	50.3876	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Atribacterota	200	0	0	0	0	0	51.3213	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Bacteroidota	46672	171	0	0.00107851	0.000725289	0.00252887	50.0195	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
