grouping	level	n_sampled	n_retrieved	n_http404	response_rate	postratification_factor	note
overall	ALL	273883	265943	7940	0.97101	1.02986	HTTP 404 is persistent server-side absence, verified by slow single retries; it is clustered by originating study
stratum	S1_small	59297	57652	1645	0.97226	1.02853	
stratum	S2_rare_phylum	14586	14517	69	0.99527	1.00475	
stratum	S3_main	200000	193774	6226	0.96887	1.03213	
size_bin	1-2Mb	92262	89416	2846	0.96915	1.03183	
size_bin	2-3Mb	81520	78986	2534	0.96892	1.03208	
size_bin	3-5Mb	35011	34179	832	0.97624	1.02434	
size_bin	<1Mb	59297	57652	1645	0.97226	1.02853	
size_bin	>5Mb	5793	5710	83	0.98567	1.01454	
checkm2_class	HQ	79063	76816	2247	0.97158	1.02925	
checkm2_class	LQ	21	20	1	0.95238	1.05000	
checkm2_class	MQ	194799	189107	5692	0.97078	1.03010	
recovery	HTTP404_recovered_from_representatives_tar	8443	503	7940	0.05958		genomes the per-genome endpoint 404s on but which are present in the representatives tarball
phylum	Firmicutes_A	92046	88454	3592	0.96098	1.04061	
phylum	Bacteroidota	48284	46672	1612	0.96661	1.03454	
phylum	Proteobacteria	24572	24149	423	0.98279	1.01752	
phylum	Patescibacteria	20833	20169	664	0.96813	1.03292	
phylum	Actinobacteriota	19866	19468	398	0.97997	1.02044	
phylum	Firmicutes	18199	17637	562	0.96912	1.03186	
phylum	Firmicutes_C	8664	8315	349	0.95972	1.04197	
phylum	Verrucomicrobiota	3552	3473	79	0.97776	1.02275	
phylum	Thermoplasmatota	2011	2007	4	0.99801	1.00199	
phylum	Chloroflexota	1822	1822	0	1.00000	1.00000	
phylum	Thermoproteota	1776	1774	2	0.99887	1.00113	
phylum	Nanoarchaeota	1690	1689	1	0.99941	1.00059	
phylum	Acidobacteriota	1644	1639	5	0.99696	1.00305	
phylum	Spirochaetota	1570	1554	16	0.98981	1.01030	
phylum	Campylobacterota	1224	1203	21	0.98284	1.01746	
phylum	Cyanobacteria	1162	1126	36	0.96902	1.03197	
phylum	Planctomycetota	1153	1153	0	1.00000	1.00000	
phylum	Methanobacteriota	1037	1018	19	0.98168	1.01866	
phylum	Armatimonadota	965	963	2	0.99793	1.00208	
phylum	Fusobacteriota	926	871	55	0.94060	1.06315	
phylum	Desulfobacterota_I	920	900	20	0.97826	1.02222	
phylum	Desulfobacterota	812	810	2	0.99754	1.00247	
phylum	Desulfobacterota_B	743	743	0	1.00000	1.00000	
phylum	SAR324	735	735	0	1.00000	1.00000	
phylum	Methylomirabilota	645	643	2	0.99690	1.00311	
phylum	Halobacteriota	635	635	0	1.00000	1.00000	
phylum	Eremiobacterota	597	597	0	1.00000	1.00000	
phylum	Cloacimonadota	579	578	1	0.99827	1.00173	
phylum	Bdellovibrionota	567	567	0	1.00000	1.00000	
phylum	Deinococcota	522	506	16	0.96935	1.03162	
phylum	Dormibacterota	522	522	0	1.00000	1.00000	
phylum	Myxococcota_A	502	502	0	1.00000	1.00000	
phylum	Gemmatimonadota	460	460	0	1.00000	1.00000	
phylum	Micrarchaeota	444	442	2	0.99550	1.00452	
phylum	Aenigmatarchaeota	442	441	1	0.99774	1.00227	
phylum	unclassified	441	441	0	1.00000	1.00000	
phylum	Chlamydiota	428	428	0	1.00000	1.00000	
phylum	Myxococcota	424	424	0	1.00000	1.00000	
phylum	Thermotogota	410	410	0	1.00000	1.00000	
phylum	Marinisomatota	391	391	0	1.00000	1.00000	
