cohort	clustering_unit	subset	n_genomes	n_clusters	metric	slope_pp_per_log10Mbp	ci95_lo	ci95_hi	note
catalogue_weighted	family	overall:ALL	265943	3004	completeness_MAGICC_minus_CheckM2	12.6958	10.4544	15.0902	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	overall:ALL	265943	3004	contamination_MAGICC_minus_CheckM2	0.3523	-1.0086	1.8858	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:<1Mb	57652	3004	completeness_MAGICC_minus_CheckM2	14.3306	7.4485	21.7528	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:1-2Mb	89416	3004	completeness_MAGICC_minus_CheckM2	20.7340	14.7277	27.1847	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:2-3Mb	78986	3004	completeness_MAGICC_minus_CheckM2	6.7901	-7.6856	16.6403	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:3-5Mb	34179	3004	completeness_MAGICC_minus_CheckM2	5.6503	-1.5256	15.0185	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:>5Mb	5710	3004	completeness_MAGICC_minus_CheckM2	9.0544	-8.4209	20.1225	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:<1Mb	57652	3004	contamination_MAGICC_minus_CheckM2	0.4730	-1.1349	2.2246	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:1-2Mb	89416	3004	contamination_MAGICC_minus_CheckM2	-3.6997	-5.4413	-1.8147	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:2-3Mb	78986	3004	contamination_MAGICC_minus_CheckM2	2.3760	-0.3425	7.3794	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:3-5Mb	34179	3004	contamination_MAGICC_minus_CheckM2	2.5648	-2.7916	12.5918	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:>5Mb	5710	3004	contamination_MAGICC_minus_CheckM2	67.6234	35.6472	88.0756	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:<-1 (>=2x reduced)	27791	3004	completeness_MAGICC_minus_CheckM2	12.2932	7.6412	16.1308	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:-1 to -0.5	39038	3004	completeness_MAGICC_minus_CheckM2	15.8946	10.7193	21.5737	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:-0.5 to -0.25	35035	3004	completeness_MAGICC_minus_CheckM2	20.8284	15.1772	27.0078	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:-0.25 to +0.25 (typical)	94190	3004	completeness_MAGICC_minus_CheckM2	15.5023	12.4634	18.9618	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:>+0.25 (larger than lineage)	69889	3004	completeness_MAGICC_minus_CheckM2	5.9425	3.2187	9.5343	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:<-1 (>=2x reduced)	27791	3004	contamination_MAGICC_minus_CheckM2	-1.1016	-2.1673	-0.0837	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:-1 to -0.5	39038	3004	contamination_MAGICC_minus_CheckM2	-1.6024	-2.6854	-0.5014	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:-0.5 to -0.25	35035	3004	contamination_MAGICC_minus_CheckM2	-1.9766	-3.5599	-0.5989	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:-0.25 to +0.25 (typical)	94190	3004	contamination_MAGICC_minus_CheckM2	-1.8222	-3.1400	-0.2871	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:>+0.25 (larger than lineage)	69889	3004	contamination_MAGICC_minus_CheckM2	2.4885	-2.0032	8.9982	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	overall:ALL	265943	3004	completeness_MAGICC_minus_CheckM2	12.6530	10.5289	14.9938	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	overall:ALL	265943	3004	contamination_MAGICC_minus_CheckM2	0.3801	-1.0621	1.9674	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:<1Mb	57652	3004	completeness_MAGICC_minus_CheckM2	14.3344	7.8418	21.4953	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:1-2Mb	89416	3004	completeness_MAGICC_minus_CheckM2	20.7214	14.7259	27.6807	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:2-3Mb	78986	3004	completeness_MAGICC_minus_CheckM2	6.8007	-7.7731	16.5291	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:3-5Mb	34179	3004	completeness_MAGICC_minus_CheckM2	5.6561	-1.1595	15.3132	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:>5Mb	5710	3004	completeness_MAGICC_minus_CheckM2	9.0287	-7.4265	20.0942	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:<1Mb	57652	3004	contamination_MAGICC_minus_CheckM2	0.4750	-1.0887	2.2188	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:1-2Mb	89416	3004	contamination_MAGICC_minus_CheckM2	-3.6950	-5.5332	-1.8918	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:2-3Mb	78986	3004	contamination_MAGICC_minus_CheckM2	2.3763	-0.3115	7.4164	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:3-5Mb	34179	3004	contamination_MAGICC_minus_CheckM2	2.5627	-2.7827	12.7855	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:>5Mb	5710	3004	contamination_MAGICC_minus_CheckM2	67.4346	36.0918	88.0944	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:<-1 (>=2x reduced)	27791	3004	completeness_MAGICC_minus_CheckM2	12.3102	7.8726	16.2085	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:-1 to -0.5	39038	3004	completeness_MAGICC_minus_CheckM2	15.9139	10.6625	21.6938	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:-0.5 to -0.25	35035	3004	completeness_MAGICC_minus_CheckM2	20.8194	15.4229	27.1515	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:-0.25 to +0.25 (typical)	94190	3004	completeness_MAGICC_minus_CheckM2	15.4936	12.5288	18.9749	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:>+0.25 (larger than lineage)	69889	3004	completeness_MAGICC_minus_CheckM2	5.8960	2.8783	9.4975	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:<-1 (>=2x reduced)	27791	3004	contamination_MAGICC_minus_CheckM2	-1.1077	-2.2137	-0.0603	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:-1 to -0.5	39038	3004	contamination_MAGICC_minus_CheckM2	-1.6007	-2.6448	-0.5745	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:-0.5 to -0.25	35035	3004	contamination_MAGICC_minus_CheckM2	-1.9715	-3.5622	-0.5637	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:-0.25 to +0.25 (typical)	94190	3004	contamination_MAGICC_minus_CheckM2	-1.8050	-3.1221	-0.3267	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:>+0.25 (larger than lineage)	69889	3004	contamination_MAGICC_minus_CheckM2	2.5642	-2.1295	9.0526	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	overall:ALL	193774	1882	completeness_MAGICC_minus_CheckM2	10.7125	7.8362	13.7315	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	overall:ALL	193774	1882	contamination_MAGICC_minus_CheckM2	1.3803	-0.5424	3.5925	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	size_bin:1-2Mb	84711	1882	completeness_MAGICC_minus_CheckM2	20.5573	14.5033	27.3238	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	size_bin:2-3Mb	73868	1882	completeness_MAGICC_minus_CheckM2	6.6935	-8.0633	17.0634	weighted OLS on log10(assembly Mbp)
