lineage	variant	stratify_by	bin	n	comp_mae	cont_mae
C	clean	true_completeness	[50,60)	112	5.1074	7.7777
C	leaked_all	true_completeness	[50,60)	104	5.146	11.4278
C	leaked_constraint_ok	true_completeness	[50,60)	64	3.0287	5.0181
C	clean	true_completeness	[60,70)	126	6.0887	7.7319
C	leaked_all	true_completeness	[60,70)	148	5.0512	9.4542
C	leaked_constraint_ok	true_completeness	[60,70)	99	3.6147	4.6897
C	clean	true_completeness	[70,80)	165	7.2367	8.8018
C	leaked_all	true_completeness	[70,80)	149	4.4777	7.5757
C	leaked_constraint_ok	true_completeness	[70,80)	119	3.6107	4.9317
C	clean	true_completeness	[80,90)	152	8.9349	10.2006
C	leaked_all	true_completeness	[80,90)	138	4.6232	7.966
C	leaked_constraint_ok	true_completeness	[80,90)	119	4.2609	5.9934
C	clean	true_completeness	[90,100)	445	6.5848	9.5101
C	leaked_all	true_completeness	[90,100)	461	1.2277	6.851
C	leaked_constraint_ok	true_completeness	[90,100)	458	1.2129	6.7975
C	clean	true_contamination	[0,20)	201	6.7129	6.164
C	leaked_all	true_contamination	[0,20)	224	1.4816	2.1203
C	leaked_constraint_ok	true_contamination	[0,20)	224	1.4816	2.1203
C	clean	true_contamination	[20,40)	244	6.7361	7.4594
C	leaked_all	true_contamination	[20,40)	193	2.2943	4.3217
C	leaked_constraint_ok	true_contamination	[20,40)	193	2.2943	4.3217
C	clean	true_contamination	[40,60)	240	7.032	8.136
C	leaked_all	true_contamination	[40,60)	207	3.348	6.3765
C	leaked_constraint_ok	true_contamination	[40,60)	205	3.2973	6.3665
C	clean	true_contamination	[60,80)	213	6.911	11.369
C	leaked_all	true_contamination	[60,80)	196	4.1249	10.994
C	leaked_constraint_ok	true_contamination	[60,80)	146	2.993	9.5394
C	clean	true_contamination	[80,100)	102	6.5585	16.1451
C	leaked_all	true_contamination	[80,100)	180	4.876	17.724
C	leaked_constraint_ok	true_contamination	[80,100)	91	1.7173	13.0974
D	clean	true_completeness	[50,60)	170	5.0675	6.2622
D	leaked_all	true_completeness	[50,60)	164	7.8696	10.9903
D	leaked_constraint_ok	true_completeness	[50,60)	97	3.3043	3.451
D	clean	true_completeness	[60,70)	186	5.2811	6.5027
D	leaked_all	true_completeness	[60,70)	200	6.2767	9.9496
D	leaked_constraint_ok	true_completeness	[60,70)	127	4.0317	4.3545
D	clean	true_completeness	[70,80)	208	4.9661	6.3513
D	leaked_all	true_completeness	[70,80)	208	4.5071	7.8583
D	leaked_constraint_ok	true_completeness	[70,80)	162	3.5255	4.8051
D	clean	true_completeness	[80,90)	212	6.4069	6.188
D	leaked_all	true_completeness	[80,90)	191	4.4551	6.4202
D	leaked_constraint_ok	true_completeness	[80,90)	165	4.0232	4.675
D	clean	true_completeness	[90,100)	224	6.2412	7.2139
D	leaked_all	true_completeness	[90,100)	237	3.551	5.9279
D	leaked_constraint_ok	true_completeness	[90,100)	236	3.5349	5.8602
D	clean	true_contamination	[0,20)	217	4.4355	2.7696
D	leaked_all	true_contamination	[0,20)	228	1.9651	2.205
D	leaked_constraint_ok	true_contamination	[0,20)	228	1.9651	2.205
D	clean	true_contamination	[20,40)	195	4.8611	4.6551
D	leaked_all	true_contamination	[20,40)	213	3.4039	3.6941
D	leaked_constraint_ok	true_contamination	[20,40)	213	3.4039	3.6941
D	clean	true_contamination	[40,60)	275	5.98	6.9998
D	leaked_all	true_contamination	[40,60)	187	4.3315	6.0113
D	leaked_constraint_ok	true_contamination	[40,60)	181	4.1076	5.9592
D	clean	true_contamination	[60,80)	250	6.3433	8.7576
D	leaked_all	true_contamination	[60,80)	193	7.2052	10.1549
D	leaked_constraint_ok	true_contamination	[60,80)	131	5.5559	7.9869
D	clean	true_contamination	[80,100)	63	7.8136	14.2828
D	leaked_all	true_contamination	[80,100)	179	10.0685	20.5835
D	leaked_constraint_ok	true_contamination	[80,100)	34	7.5689	11.9445
