dominant_accession	arm	pair_id	checkm2_severity	ref_checkm2_completeness	ref_checkm2_contamination	checkm2_completeness_deficit	checkm2_contamination_excess	dominant_phylum	comp_bias	cont_bias	comp_mae	cont_mae	n	tool
GB_GCA_000272795.2	H_fail	pair_0000	moderate	91.89	1.61	6.109999999999999	0.0	Pseudomonadota	1.2213266999999945	-3.17987165	1.8545389	3.17987165	10	magicc_v5
GB_GCA_000389905.1	H_fail	pair_0001	severe	85.98	4.38	12.019999999999996	2.38	Actinomycetota	0.3334013000000013	-4.508694499999997	5.1034451	6.536144699999997	10	magicc_v5
GB_GCA_000389925.1	H_fail	pair_0002	severe	84.94	7.32	13.060000000000002	5.32	Actinomycetota	-1.1296110999999982	-1.8894119099999993	3.569906299999998	4.40345083	10	magicc_v5
GB_GCA_000599545.1	H_pass	pair_0017	pass	100.0	0.98	0.0	0.0	Actinomycetota	10.303078	8.5125595	10.303078	8.5125595	10	magicc_v5
GB_GCA_000599965.1	H_pass	pair_0089	pass	99.99	0.17	0.0	0.0	Bacillota	0.015008799999998957	-4.635431299999999	2.2146443999999996	4.635431299999999	10	magicc_v5
GB_GCA_000774075.2	H_fail	pair_0003	severe	85.08	0.38	12.920000000000002	0.0	Bacillota	3.769448400000001	-2.924597348999999	5.118028400000002	4.122619748999999	10	magicc_v5
GB_GCA_001274575.1	H_pass	pair_0134	pass	100.0	0.28	0.0	0.0	Bacillota	0.8136713999999998	1.4844009999999994	4.2928621999999965	3.9046155999999996	10	magicc_v5
GB_GCA_001554095.1	H_fail	pair_0004	moderate	94.34	3.64	3.6599999999999966	1.6400000000000001	Bacillota	2.551700000000001	-0.7857796099999993	2.744206000000001	2.99803571	10	magicc_v5
GB_GCA_001767375.1	H_pass	pair_0087	pass	99.99	0.0	0.0	0.0	Actinomycetota	-0.0014176000000006184	-3.068797800000002	6.0508120000000005	4.238176	10	magicc_v5
GB_GCA_001816225.4	H_fail	pair_0005	moderate	94.2	3.55	3.799999999999997	1.5499999999999998	Bacteroidota	4.803954899999999	-1.7306418000000001	4.829778899999999	3.1926150000000013	10	magicc_v5
GB_GCA_001886995.1	H_fail	pair_0006	mild	100.0	2.01	0.0	0.009999999999999787	Pseudomonadota	0.9493482000000014	-3.0178872999999995	1.8489096000000003	3.8387301000000003	10	magicc_v5
GB_GCA_002117375.1	H_pass	pair_0199	pass	99.81	0.75	0.0	0.0	Bacillota	8.7919375	-1.1142076399999987	9.7794335	4.086191639999997	10	magicc_v5
GB_GCA_002163795.1	H_fail	pair_0007	severe	72.51	0.03	25.489999999999995	0.0	Pseudomonadota	-10.3733339	-15.0840183	11.162907099999998	15.0840183	10	magicc_v5
GB_GCA_002844335.1	H_pass	pair_0156	pass	99.91	0.45	0.0	0.0	Halobacteriota	-8.2551345	-7.5605501	8.2551345	7.969191099999999	10	magicc_v5
GB_GCA_003019195.1	H_fail	pair_0008	mild	96.7	2.15	1.2999999999999972	0.1499999999999999	Pseudomonadota	1.5992963000000011	0.4323499999999987	2.3783730999999997	3.0623754000000027	10	magicc_v5
GB_GCA_003047085.1	H_pass	pair_0057	pass	100.0	0.02	0.0	0.0	Pseudomonadota	6.205764100000001	-5.853024750000001	6.2215141	6.005747150000001	10	magicc_v5
GB_GCA_003071285.1	H_pass	pair_0179	pass	100.0	1.1	0.0	0.0	Pseudomonadota	1.2946923999999995	-1.5499999599999996	2.459173400000002	2.682334559999999	10	magicc_v5
GB_GCA_003359255.2	H_fail	pair_0009	mild	96.23	1.84	1.769999999999996	0.0	Pseudomonadota	7.121041099999998	-5.392504700000001	7.332629499999998	5.392504700000001	10	magicc_v5
GB_GCA_003970805.2	H_fail	pair_0010	mild	97.39	0.74	0.6099999999999994	0.0	Pseudomonadota	-1.8448050000000003	-10.188436400000002	3.877149599999999	10.809015800000001	10	magicc_v5
GB_GCA_003999465.1	H_fail	pair_0011	severe	82.99	0.68	15.010000000000005	0.0	Pseudomonadota	-5.900301499999999	-8.5308201	6.0704967	8.5738361	10	magicc_v5
GB_GCA_006088835.1	H_pass	pair_0058	pass	100.0	0.38	0.0	0.0	Bacillota	4.023859100000001	-2.841859830000001	4.9597441	3.2374569700000024	10	magicc_v5
GB_GCA_007998065.1	H_fail	pair_0012	moderate	91.38	5.23	6.6200000000000045	3.2300000000000004	Pseudomonadota	9.623919599999999	2.7577817	9.623919599999999	5.864396899999999	10	magicc_v5
GB_GCA_007998105.1	H_fail	pair_0013	severe	83.28	5.83	14.719999999999999	3.83	Pseudomonadota	2.5208710999999973	-1.2375718000000016	3.0336678999999984	2.511467800000001	10	magicc_v5
GB_GCA_009664105.1	H_fail	pair_0014	severe	65.13	1.81	32.870000000000005	0.0	Pseudomonadota	-0.3787635000000023	-0.6956759293300017	2.7632059	3.1782215293300005	10	magicc_v5
GB_GCA_010694505.1	H_fail	pair_0015	moderate	95.75	2.3	2.25	0.2999999999999998	Pseudomonadota	0.7582638999999958	-6.763616800000001	2.7457871000000025	6.763616800000001	10	magicc_v5
GB_GCA_011765405.1	H_fail	pair_0016	moderate	94.99	2.75	3.010000000000005	0.75	Pseudomonadota	5.937761	-2.671766315999998	6.518676200000002	3.442667515999998	10	magicc_v5
GB_GCA_012971805.2	H_fail	pair_0017	moderate	100.0	5.26	0.0	3.26	Actinomycetota	15.328970799999999	14.2971576	15.328970799999999	14.2971576	10	magicc_v5
GB_GCA_013127575.1	H_fail	pair_0018	severe	63.72	1.4	34.28	0.0	Pseudomonadota	4.989879100000001	-6.520599712000001	5.8705259000000005	7.168245312000002	10	magicc_v5
GB_GCA_013315855.1	H_fail	pair_0019	mild	99.45	3.59	0.0	1.5899999999999999	Pseudomonadota	2.991004799999998	-3.0495763499999993	3.208048999999999	3.5339623499999995	10	magicc_v5
GB_GCA_014251975.1	H_fail	pair_0020	moderate	94.35	1.0	3.6500000000000057	0.0	Bacteroidota	-14.3264184	-7.0330105750000005	14.3264184	7.165862175000001	10	magicc_v5
GB_GCA_015172915.1	H_fail	pair_0021	severe	89.01	4.3	8.989999999999995	2.3	Pseudomonadota	2.0792700000000033	-7.12197623	5.067031800000001	7.56912463	10	magicc_v5
GB_GCA_015356075.1	H_fail	pair_0022	moderate	91.6	5.13	6.400000000000006	3.13	Pseudomonadota	4.401362600000003	-4.44080123	5.440402400000001	5.529224629999999	10	magicc_v5
GB_GCA_015356095.1	H_pass	pair_0118	pass	98.38	1.01	0.0	0.0	Bacillota	0.30879249999999914	-3.862834450000002	1.8805580999999996	4.468093850000002	10	magicc_v5
GB_GCA_015832325.1	H_fail	pair_0023	severe	83.04	5.92	14.959999999999994	3.92	Pseudomonadota	4.0395799000000014	4.4594173	6.083166299999997	4.5915463	10	magicc_v5
GB_GCA_017068215.1	H_fail	pair_0024	mild	96.12	2.29	1.8799999999999955	0.29000000000000004	Bacillota	4.813331400000001	-3.40917006	5.839654599999999	4.14754346	10	magicc_v5
GB_GCA_017088185.1	H_fail	pair_0025	moderate	94.08	1.99	3.9200000000000017	0.0	Bacillota	0.7954097999999974	-2.528337567	1.9408991999999998	2.695230767000001	10	magicc_v5
GB_GCA_018388625.1	H_fail	pair_0026	severe	84.39	2.38	13.61	0.3799999999999999	Actinomycetota	2.7092799000000007	0.3712288060000006	8.218359699999999	4.632389205999999	10	magicc_v5
GB_GCA_019222725.1	H_pass	pair_0093	pass	100.0	1.47	0.0	0.0	Pseudomonadota	1.4501186000000046	-2.0592363999999996	2.461448999999999	2.9003927999999997	10	magicc_v5
GB_GCA_019551375.1	H_pass	pair_0059	pass	100.0	0.08	0.0	0.0	Bacillota	-0.5616788000000007	-1.9158594999999985	1.0570659999999996	2.5157708999999984	10	magicc_v5
GB_GCA_021401425.1	H_pass	pair_0084	pass	100.0	0.04	0.0	0.0	Bacillota	5.5962903	-8.41356729	6.1811999	8.41356729	10	magicc_v5
GB_GCA_023158875.1	H_fail	pair_0027	moderate	91.6	2.22	6.400000000000006	0.2200000000000002	Spirochaetota	1.9474458000000012	-4.6705596699999985	3.8998713999999977	6.57867287	10	magicc_v5
GB_GCA_023612635.1	H_fail	pair_0028	mild	99.97	3.45	0.0	1.4500000000000002	Pseudomonadota	1.4904592999999984	0.4168532999999973	3.5721387	6.2676199000000015	10	magicc_v5
GB_GCA_024138735.1	H_fail	pair_0029	severe	83.01	2.15	14.989999999999995	0.1499999999999999	Deinococcota	-0.5641270999999968	-1.5020125000000004	2.7022589000000017	6.103613899999999	10	magicc_v5
GB_GCA_024300745.1	H_pass	pair_0019	pass	100.0	0.17	0.0	0.0	Pseudomonadota	1.1847714000000003	-2.8270772000000006	2.099505399999999	3.2831252000000006	10	magicc_v5
GB_GCA_024759545.1	H_fail	pair_0030	mild	96.7	3.73	1.2999999999999972	1.73	Bacteroidota	10.2759961	-5.197175830000001	10.2759961	5.314435630000001	10	magicc_v5
GB_GCA_025757525.1	H_pass	pair_0030	pass	99.98	1.66	0.0	0.0	Bacteroidota	5.741792199999999	0.7843355000000006	6.3832442	2.3806209000000007	10	magicc_v5
GB_GCA_025792475.2	H_fail	pair_0031	mild	99.76	2.19	0.0	0.18999999999999995	Spirochaetota	-1.151493999999999	-3.79417416	4.0397478	3.79417416	10	magicc_v5
GB_GCA_025792575.1	H_fail	pair_0032	severe	76.37	3.94	21.629999999999995	1.94	Pseudomonadota	0.8724387999999997	-4.196298596000001	1.7046011999999997	4.196298596000001	10	magicc_v5
GB_GCA_026073375.1	H_pass	pair_0034	pass	100.0	1.3	0.0	0.0	Bacillota	5.472126700000001	-1.320743560000002	7.188377900000001	5.0539365599999995	10	magicc_v5
GB_GCA_026073395.1	H_fail	pair_0033	mild	100.0	3.54	0.0	1.54	Bacillota	6.916829700000003	-2.400424699999999	7.5054035	5.2330546999999985	10	magicc_v5
GB_GCA_026073495.1	H_fail	pair_0034	mild	100.0	3.85	0.0	1.85	Bacillota	4.031641400000001	-3.3713270500000014	6.8267596	4.87513635	10	magicc_v5
GB_GCA_026073535.1	H_fail	pair_0035	mild	100.0	3.18	0.0	1.1800000000000002	Bacillota	5.304156300000001	-2.9440222229999997	5.623658700000002	3.663711923	10	magicc_v5
GB_GCA_027625415.1	H_fail	pair_0036	severe	84.26	0.02	13.739999999999995	0.0	Campylobacterota	-12.005769599999999	-5.719901267	12.005769599999999	5.7934851730000005	10	magicc_v5
GB_GCA_027941715.1	H_fail	pair_0037	moderate	99.83	6.72	0.0	4.72	Pseudomonadota	5.303903699999999	-4.288854299999999	7.1513051	5.686788299999999	10	magicc_v5
