genome_id	pred_completeness_fresh	pred_contamination_fresh	pred_completeness_saved	pred_contamination_saved
G_r000_none_control	63.1111	21.6233	63.111137	21.623302
G_r000_uneven_coverage_5pct	66.9489	21.9732	66.94887	21.97318
G_r000_uneven_coverage_10pct	68.2952	24.8118	68.29521	24.811796
G_r000_uneven_coverage_20pct	78.2332	22.7179	78.23322	22.717863
G_r000_uneven_coverage_40pct	88.49	23.5067	88.48999	23.50674
G_r001_none_control	71.9081	2.0809	71.908104	2.0808697
G_r001_uneven_coverage_5pct	75.4549	2.1691	75.45494	2.1691144
G_r001_uneven_coverage_10pct	80.6129	1.2254	80.612946	1.2254179
G_r001_uneven_coverage_20pct	85.1291	1.3591	85.12906	1.3590991
G_r001_uneven_coverage_40pct	99.9173	0.7477	99.91731	0.7476568
G_r002_none_control	80.2751	0.7895	80.27513	0.789538
G_r002_uneven_coverage_5pct	83.1717	1.0384	83.17174	1.0384232
G_r002_uneven_coverage_10pct	87.279	0.7433	87.278984	0.7433355
G_r002_uneven_coverage_20pct	99.4164	0.2429	99.41638	0.24293363
G_r002_uneven_coverage_40pct	91.1832	16.8601	91.183205	16.860056
G_r003_none_control	69.0018	2.5974	69.00176	2.5973737
G_r003_uneven_coverage_5pct	72.6184	2.5535	72.61839	2.5535405
G_r003_uneven_coverage_10pct	76.6159	2.1657	76.6159	2.165666
G_r003_uneven_coverage_20pct	83.1731	1.6039	83.173065	1.6038656
G_r003_uneven_coverage_40pct	99.825	2.5939	99.82498	2.593875
G_r004_none_control	81.0573	1.2857	81.05728	1.285708
G_r004_uneven_coverage_5pct	83.8576	2.0292	83.85761	2.0291924
G_r004_uneven_coverage_10pct	84.2529	4.0143	84.25292	4.014334
G_r004_uneven_coverage_20pct	91.2202	6.4543	91.2202	6.454298
G_r004_uneven_coverage_40pct	66.0123	42.0143	66.01227	42.014305
G_r005_none_control	59.9838	0.1615	59.983803	0.16149282
G_r005_uneven_coverage_5pct	63.413	0.1744	63.413048	0.17440915
G_r005_uneven_coverage_10pct	66.2886	0.2699	66.28864	0.26991665
G_r005_uneven_coverage_20pct	72.5088	0.3007	72.508804	0.3007233
G_r005_uneven_coverage_40pct	84.07	0.1511	84.07001	0.15109181
G_r006_none_control	99.4342	1.2938	99.43419	1.2937963
G_r006_uneven_coverage_5pct	99.3873	1.9968	99.38727	1.9967824
G_r006_uneven_coverage_10pct	97.9645	4.6911	97.964485	4.691067
G_r006_uneven_coverage_20pct	87.0038	30.0694	87.00379	30.069351
G_r006_uneven_coverage_40pct	83.5273	53.9323	83.5273	53.932293
G_r007_none_control	89.0641	4.1681	89.06409	4.1680517
G_r007_uneven_coverage_5pct	98.7469	3.6588	98.74689	3.6588163
G_r007_uneven_coverage_10pct	99.8432	3.4828	99.84323	3.4827857
G_r007_uneven_coverage_20pct	99.914	3.3837	99.91403	3.3836932
G_r007_uneven_coverage_40pct	99.4541	16.8986	99.454056	16.898584
G_r008_none_control	76.468	21.2623	76.46805	21.262302
G_r008_uneven_coverage_5pct	79.1829	22.4223	79.18291	22.422346
G_r008_uneven_coverage_10pct	85.2106	20.4724	85.21062	20.472408
G_r008_uneven_coverage_20pct	91.1031	24.6187	91.10307	24.618658
G_r008_uneven_coverage_40pct	99.6757	28.802	99.67567	28.802002
G_r009_none_control	66.4842	3.7941	66.48419	3.7941396
G_r009_uneven_coverage_5pct	69.3746	3.657	69.37456	3.6569505
G_r009_uneven_coverage_10pct	71.1361	5.6617	71.13614	5.6616964
G_r009_uneven_coverage_20pct	81.188	3.1207	81.188034	3.1206846
G_r009_uneven_coverage_40pct	95.9039	3.0002	95.903946	3.000167
G_r010_none_control	81.0907	10.946	81.09073	10.946017
G_r010_uneven_coverage_5pct	92.1085	5.789	92.108475	5.7890472
G_r010_uneven_coverage_10pct	90.6455	11.5221	90.64548	11.522066
G_r010_uneven_coverage_20pct	95.2338	16.3898	95.23385	16.389835
G_r010_uneven_coverage_40pct	79.5914	50.9412	79.59139	50.941235
G_r011_none_control	71.5945	0.1417	71.594536	0.14169812
G_r011_uneven_coverage_5pct	74.9056	0.1339	74.905594	0.13391078
G_r011_uneven_coverage_10pct	78.0948	0.1498	78.09485	0.14980137
G_r011_uneven_coverage_20pct	83.4795	0.1141	83.479454	0.11411309
G_r011_uneven_coverage_40pct	99.9487	0.1195	99.948685	0.11950731
G_r012_none_control	60.3242	2.8496	60.324158	2.8496175
G_r012_uneven_coverage_5pct	63.5383	2.9836	63.53829	2.9836445
G_r012_uneven_coverage_10pct	67.1987	2.996	67.198685	2.9959946
G_r012_uneven_coverage_20pct	73.3897	3.6523	73.38974	3.6522717
G_r012_uneven_coverage_40pct	84.6469	2.5915	84.64694	2.591455
G_r013_none_control	78.2621	0.408	78.262146	0.40799677
G_r013_uneven_coverage_5pct	81.9088	0.4262	81.908844	0.42620897
G_r013_uneven_coverage_10pct	85.4299	0.438	85.42991	0.4380107
G_r013_uneven_coverage_20pct	97.5661	0.2956	97.56611	0.29557347
G_r013_uneven_coverage_40pct	96.5147	4.5821	96.51468	4.582119
G_r014_none_control	60.417	1.1818	60.41697	1.1818111
G_r014_uneven_coverage_5pct	63.8736	1.2538	63.87357	1.2538135
G_r014_uneven_coverage_10pct	67.1175	1.2024	67.11747	1.2023658
G_r014_uneven_coverage_20pct	72.2023	1.1947	72.20234	1.1946619
G_r014_uneven_coverage_40pct	83.1798	1.6893	83.1798	1.689297
G_r015_none_control	67.3773	0.2471	67.37732	0.24705231
G_r015_uneven_coverage_5pct	69.7144	0.3398	69.71444	0.33977628
G_r015_uneven_coverage_10pct	74.9949	0.3132	74.9949	0.3132254
G_r015_uneven_coverage_20pct	76.3505	0.4121	76.350464	0.41211247
G_r015_uneven_coverage_40pct	98.0338	0.4218	98.033844	0.42175353
G_r016_none_control	82.2552	15.0745	82.2552	15.0744705
G_r016_uneven_coverage_5pct	85.2526	15.5873	85.25262	15.587303
G_r016_uneven_coverage_10pct	92.1635	13.3164	92.16347	13.316384
G_r016_uneven_coverage_20pct	98.5676	15.9622	98.56764	15.96219
G_r016_uneven_coverage_40pct	89.6344	42.3212	89.63443	42.321156
G_r017_none_control	59.884	22.1475	59.88401	22.147459
G_r017_uneven_coverage_5pct	63.3611	22.7532	63.361103	22.753176
G_r017_uneven_coverage_10pct	67.0536	22.5	67.05357	22.500017
G_r017_uneven_coverage_20pct	75.5515	23.229	75.551506	23.229044
G_r017_uneven_coverage_40pct	86.103	26.3828	86.10297	26.382837
G_r018_none_control	98.3261	14.1224	98.326065	14.122427
G_r018_uneven_coverage_5pct	98.6358	19.1463	98.63576	19.146336
G_r018_uneven_coverage_10pct	99.7688	17.7615	99.76875	17.761505
G_r018_uneven_coverage_20pct	99.3936	28.6534	99.393616	28.653389
G_r018_uneven_coverage_40pct	93.3783	56.806	93.37828	56.805992
G_r019_none_control	57.6088	0.6484	57.608803	0.64843595
