bin,stage,method,1_completeness_arc,1_contamination_arc,1_completeness_bac,1_contamination_bac,2_completeness,2_contamination,2_num_markers,3_completeness,3_contamination,coding_density,knn_score,taxonomy,taxonomy_level,notes
s7__Otu230.0,3,markers + neural network,0.47826087,0.20289855,0.962963,0.1574074,0.9673353595498168,0.26239710678288963,648.0,0.9687451129700719,0.22018054829840272,0.001345470516995283,0.5014415,Tenacibaculum,genus,
s4__Otu254,2,markers,0.44927537,0.20289855,0.8425926,0.30555555,0.8405105980334351,0.37265471904047587,901.0,0.7566181196443362,0.2506642492673636,0.0020813681463450655,0.36063606,Shewanella,genus,
s1__Otu438,2,markers,0.48550725,0.20289855,0.9537037,0.17592593,0.9808259587020649,0.30645691938222097,1017.0,0.9822203430602101,0.21646849984229655,0.00171457251180239,0.4573033,Vibrio,genus,
s8__Otu453,3,markers + neural network,0.4347826,0.13043478,0.8055556,0.21296297,0.8358756889731197,0.26497176865399896,590.0,0.7821525043999193,0.24204867173571407,0.0018428844347484303,0.3991394,Cyanophyceae,class,
s6__Otu304.0,3,markers + neural network,0.5,0.123188406,0.9907407,0.018518519,1.0,0.008310249307479225,361.0,0.9904058174405213,0.0,0.001179353256607364,0.53418547,Desulfobulbales,order,
s0__Otu116.0,3,markers + neural network,0.48550725,0.057971016,1.0,0.0,1.0,0.0254323499491353,983.0,1.0,0.0,0.0012927496506829207,0.6557153,Halomonas,genus,
s2__Otu473,3,markers + neural network,0.47826087,0.1521739,0.9537037,0.14814815,0.9699191102123357,0.29475416717683584,989.0,0.9615298384920294,0.23848190936643157,0.001695334154446984,0.4705395,Vibrionaceae,family,
s7__RNODE_266_length_6653_cov_7.97753,1,rejected,0.0,0.0,0.0,0.0,0.011049723756906077,0.0,181.0,0.6084376144925169,0.0,0.0003177545346220045,0.039023507,Bacteria,superkingdom,
s2__Otu1332.0,3,markers + neural network,0.44927537,0.19565217,0.9259259,0.2685185,0.9301338129226658,0.299738219895288,573.0,0.9322982910132096,0.2275988590564062,0.0016807404973451308,0.41431752,Alphaproteobacteria,class,
s0__Otu713,2,markers,0.7753623,0.2173913,0.3888889,0.1388889,0.8438271981698495,0.3021605032461661,270.0,0.7848997219278939,0.25566301515976,0.0018500913935487362,0.4054504,Thermoprotei,class,
s8__Otu315.0,2,markers,0.5072464,0.20289855,0.9444444,0.2962963,0.9396551724137931,0.33405172413793105,348.0,0.938418639540183,0.24650690605477954,0.001490344993538148,0.41021988,Bacteria,superkingdom,
s6__Otu1180.0,2,markers,0.5,0.23913044,0.9351852,0.24074075,0.9473201735747908,0.3581570038735617,1195.0,0.9223330046488136,0.27001487207429636,0.0018119297166436206,0.47442684,Alteromonas,genus,
s1__Otu1399,2,markers,0.42753622,0.1884058,0.8611111,0.19444445,0.9068389547468194,0.3774905844150722,619.0,0.8693227409856923,0.26057275409346947,0.0021021036100444023,0.44008526,Sulfurimonas,genus,
s0__RNODE_218_length_1465_cov_7.29868,1,rejected,0.0,0.0,0.0,0.0,0.003816793893129771,0.0,262.0,0.607104835800822,0.0,0.0013674967611918814,0.019431327,Bacillota,phylum,
s5__Otu283.0,2,markers,0.51449275,0.23913044,0.9259259,0.30555555,0.9293553230693802,0.3727022963786812,486.0,0.9103931388558092,0.24310886123568284,0.0017892739839562733,0.36638245,Desulfovibrionales,order,
s2__Otu703,3,markers + neural network,0.36956522,0.14492753,0.6574074,0.16666667,0.6768644072318989,0.2018214991835297,915.0,0.6413947820306498,0.2152083670279989,0.0023948034276372924,0.37568206,Vibrionaceae,family,
s0__Otu252,2,markers,0.48550725,0.2536232,0.8981481,0.21296297,0.9270393596922798,0.42809591816447456,948.0,0.8853404379606284,0.2903898773003299,0.002016063511223566,0.4859411,Synechococcales,order,
