tier	group_key	draft_accession	complete_accession	organism	group	species_taxid	strain	draft_level	complete_level	draft_biosample	complete_biosample	draft_contigs	complete_contigs	draft_bp	complete_bp	size_ratio_draft_over_complete	draft_gc	complete_gc	draft_excluded_from_refseq	complete_excluded_from_refseq	draft_submitter	complete_submitter	draft_release_date	complete_release_date	n_complete_in_group	n_draft_in_group	draft_ftp	complete_ftp
same_biosample	SAMN02981217	GCA_000325845.1	GCA_000001515.5	Pan troglodytes	vertebrate_mammalian	9598	Yerkes chimp pedigree #C0471 (Clint)	Contig	Chromosome	SAMN02981217	SAMN02981217	361864	72225	2733948177	3231154112	0.8461	40.500000	41.000000	na	superseded by newer assembly for species	Chimpanzee Sequencing and Analysis Consortium	Chimpanzee Sequencing and Analysis Consortium	2003-12-05	2016-05-03	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/325/845/GCA_000325845.1_ASM32584v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/515/GCA_000001515.5_Pan_tro_3.0/
same_biosample	SAMN02981228	GCA_001984255.1	GCA_000002255.2	Macaca mulatta	vertebrate_mammalian	9544	17573	Contig	Chromosome	SAMN02981228	SAMN02981228	295887	301039	193609840	3097568982	0.0625	46.000000	41.000000	partial	superseded by newer assembly for species	University of Nebraska Nonhuman Primate Genome Center	Macaca mulatta Genome Sequencing Consortium	2017-02-03	2006-02-27	2	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/984/255/GCA_001984255.1_ASM198425v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/255/GCA_000002255.2_Mmul_051212/
same_biosample	SAMN02463843	GCA_000090875.1	GCA_005886145.1	Neisseria sp. oral taxon 014 str. F0314	bacteria	641148	strain=F0314	Scaffold	Chromosome	SAMN02463843	SAMN02463843	48	1	2515760	2502158	1.0054	53.000000	53.000000	na	na	Broad Institute	University of Technology Sydney	2010-06-14	2019-05-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/875/GCA_000090875.1_ASM9087v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/145/GCA_005886145.1_ASM588614v1/
same_biosample	SAMN00001501	GCA_000143645.1	GCA_005886075.1	Lactobacillus paragasseri JV-V03	bacteria	2107999	strain=JV-V03	Scaffold	Complete Genome	SAMN00001501	SAMN00001501	10	3	2011855	2030305	0.9909	34.500000	35.000000	na	na	Baylor College of Medecine	University of Technology Sydney	2010-07-13	2019-05-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/645/GCA_000143645.1_ASM14364v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/075/GCA_005886075.1_ASM588607v1/
same_biosample	SAMN02953619	GCA_000146915.2	GCA_008452785.1	Parastagonospora nodorum SN15	fungi	13684	strain=SN15	Scaffold	Chromosome	SAMN02953619	SAMN02953619	493	26	37164226	37384202	0.9941	50.500000	50.000000	na	na	Broad Institute	The Australian National University	2007-11-20	2019-09-20	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/915/GCA_000146915.2_ASM14691v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/452/785/GCA_008452785.1_ASM845278v1/
same_biosample	SAMN02471834	GCA_003698065.1	GCA_000148745.1	Pseudomonas aeruginosa 39016	bacteria	287	strain=39016	Contig	Chromosome	SAMN02471834	SAMN02471834	58	349	6824311	6866064	0.9939	66.000000	66.000000	na	na	International Pseudomonas aeruginosa Consortium	Centre for Genomics Research, University of Liverpool	2018-10-30	2010-09-30	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/698/065/GCA_003698065.1_ASM369806v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/745/GCA_000148745.1_ASM14874v1/
same_biosample	SAMN02953716	GCA_000150675.2	GCA_000952015.1	Verticillium dahliae VdLs.17	fungi	27337	strain=VdLs.17	Scaffold	Complete Genome	SAMN02953716	SAMN02953716	1562	8	33828453	35973870	0.9404	56.000000	54.000000	na	na	Broad Institute	Wageningen University	2011-09-15	2015-03-13	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/675/GCA_000150675.2_ASM15067v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/952/015/GCA_000952015.1_ASM95201v1/
same_biosample	SAMN02981239	GCA_002008985.2	GCA_003957565.4	Taeniopygia guttata	vertebrate_other	59729	Black17	Contig	Chromosome	SAMN02981239	SAMN02981239	1159	550	1138770338	1056254409	1.0781	42.500000	42.000000	na	superseded by newer assembly for species	Pacific Biosciences	Vertebrate Genomes Project	2017-02-28	2021-05-04	2	2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/985/GCA_002008985.2_Tgut_diploid_1.0/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/565/GCA_003957565.4_bTaeGut1.4.pri/
same_biosample	SAMN02981239	GCA_003957525.2	GCA_003957565.4	Taeniopygia guttata	vertebrate_other	59729	Black17	Scaffold	Chromosome	SAMN02981239	SAMN02981239	1656	550	887567949	1056254409	0.8403	42.000000	42.000000	na	superseded by newer assembly for species	Vertebrate Genomes Project	Vertebrate Genomes Project	2021-04-28	2021-05-04	2	2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/525/GCA_003957525.2_bTaeGut1.4.alt/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/565/GCA_003957565.4_bTaeGut1.4.pri/
same_biosample	SAMN02595231	GCA_000155535.1	GCA_001267475.1	Francisella tularensis subsp. tularensis MA00-2987	bacteria	263	strain=MA00-2987	Scaffold	Complete Genome	SAMN02595231	SAMN02595231	33	1	1871868	1892645	0.9890	32.000000	32.500000	na	na	Broad Institute	Virginia Polytechnic Institute and State University	2008-08-28	2015-08-14	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/535/GCA_000155535.1_ASM15553v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/267/475/GCA_001267475.1_ASM126747v1/
