set	db	genome_id	true_completeness	true_contamination	dominant_accession	dominant_phylum	ref_index	replicate	gunc_css	gunc_pass	gunc_fail	gunc_scored	n_effective_surplus_clades	taxonomic_level	n_genes_called	n_genes_mapped	proportion_genes_retained_in_major_clades	genes_retained_index	contamination_portion	mean_hit_identity	reference_representation_score	css_forcibly_zeroed	gunc_warn_rrs_lt_0.3	rrs_lt_0.5	powered	power_stratum	magicc_v5_pred_contamination	magicc_v5_pred_completeness	checkm2_pred_contamination	checkm2_pred_completeness
set_A_v2	progenomes_2.1	genome_0	51.28213938853518	0.0	RS_GCF_040267745.1	Bacillota			0.0	True	False	True	0.0	kingdom	1757	1706	1.0	0.97	0.0	0.95	0.92	False	False	False	True	powered	0.44894516	53.955246	0.07	51.67
set_A_v2	progenomes_2.1	genome_1	51.2967082243012	0.0	RS_GCF_040931885.1	Bacillota			0.0	True	False	True	0.0	kingdom	1428	1409	1.0	0.99	0.0	0.97	0.96	False	False	False	True	powered	0.09934902	52.85435	0.26	50.32
set_A_v2	progenomes_2.1	genome_10	74.124599071544	0.0	GB_GCA_963665795.1	Thermoplasmatota			0.0	True	False	True	0.43	kingdom	1199	1039	1.0	0.87	0.18	0.6	0.52	False	False	False	True	powered	0.27700663	71.21624	0.41	69.25
set_A_v2	progenomes_2.1	genome_100	100.0	0.0	RS_GCF_013415885.1	Halobacteriota			0.0	True	False	True	0.0	kingdom	4311	4103	0.99	0.95	0.0	0.83	0.78	False	False	False	True	powered	41.742214	75.0922	0.96	99.99
set_A_v2	progenomes_2.1	genome_101	51.18182517272547	0.0	RS_GCF_030144585.1	Pseudomonadota			0.0	True	False	True	0.0	kingdom	2167	2129	1.0	0.98	0.0	0.95	0.93	False	False	False	True	powered	0.012904406	52.19687	0.01	52.86
set_A_v2	progenomes_2.1	genome_102	100.0	0.0	RS_GCF_016629505.1	Pseudomonadota			0.01	True	False	True	0.5	class	3319	3145	0.95	0.9	0.19	0.63	0.57	False	False	False	True	powered	1.922524	99.94452	1.77	100.0
set_A_v2	progenomes_2.1	genome_103	54.70001821816627	0.0	RS_GCF_023650835.1	Pseudomonadota			0.0	True	False	True	0.0	kingdom	3014	2941	1.0	0.98	0.0	0.96	0.94	False	False	False	True	powered	0.55345297	54.02909	0.01	58.3
set_A_v2	progenomes_2.1	genome_104	100.0	0.0	RS_GCF_029855505.1	Bacillota			0.0	True	False	True	0.0	kingdom	898	888	1.0	0.99	0.0	0.96	0.95	False	False	False	True	powered	0.32749176	99.931274	0.95	99.44
set_A_v2	progenomes_2.1	genome_105	50.091981164909136	0.0	RS_GCF_006459125.1	Campylobacterota			0.0	True	False	True	0.0	kingdom	1497	1466	1.0	0.98	0.0	0.93	0.91	False	False	False	True	powered	0.027808547	56.569324	0.52	48.68
set_A_v2	progenomes_2.1	genome_106	68.95802228720797	0.0	RS_GCF_947250595.1	Pseudomonadota			0.06	True	False	True	0.05	class	966	935	0.95	0.92	0.02	0.87	0.8	False	False	False	True	powered	0.30158758	64.71794	0.84	61.21
set_A_v2	progenomes_2.1	genome_107	50.72189891663695	0.0	RS_GCF_002005425.1	Bacteroidota			0.0	True	False	True	0.0	kingdom	1450	1445	1.0	1.0	0.0	0.99	0.98	False	False	False	True	powered	0.026851892	56.09793	0.02	50.46
set_A_v2	progenomes_2.1	genome_108	50.53355089685834	0.0	RS_GCF_009867075.1	Actinomycetota			0.0	True	False	True	0.0	kingdom	3573	3553	1.0	0.99	0.0	0.96	0.96	False	False	False	True	powered	0.22666454	54.364223	0.4	57.78
set_A_v2	progenomes_2.1	genome_109	52.32651361425396	0.0	RS_GCF_002240205.1	Bacteroidota_A			0.04	True	False	True	0.08	phylum	1196	1159	0.96	0.93	0.04	0.72	0.68	False	False	False	True	powered	0.6433606	54.40074	0.17	51.23
set_A_v2	progenomes_2.1	genome_11	52.39010798218749	0.0	RS_GCF_004136395.1	Pseudomonadota			0.0	True	False	True	0.0	kingdom	2391	2350	1.0	0.98	0.0	0.97	0.95	False	False	False	True	powered	0.15425682	53.085934	0.12	49.72
