accession	stratum	phylum	domain	phylum_reference_genomes	genome_size	n_contigs_meta	n_sequences_scored	informative_kmers	total_kmers	informative_kmer_density
GCA_948916415.1	well_represented	Spirochaetota	Bacteria	1112	2208957	65	57	11190	2205955	0.00507263
GCA_001719185.1	well_represented	Bacillota	Bacteria	25384	4100094	1	1	351735	4100060	0.08578777
GCA_041327595.1	well_represented	Bacillota	Bacteria	25384	3667582	2	2	197507	3667514	0.0538531
GCA_948541585.1	well_represented	Actinomycetota	Bacteria	11981	2169666	41	41	158868	2168272	0.07326941
GCA_000216355.3	well_represented	Spirochaetota	Bacteria	1112	4581018	43	43	364932	4579461	0.07968885
GCA_002306255.1	well_represented	Campylobacterota	Bacteria	6218	2843595	48	46	177883	2841913	0.0625927
GCA_041358055.1	well_represented	Verrucomicrobiota	Bacteria	1552	3190197	26	26	276842	3189313	0.08680302
GCA_037301735.1	well_represented	Bacillota	Bacteria	25384	2191561	70	70	5738	2189181	0.00262107
GCA_037429685.1	well_represented	Bacteroidota	Bacteria	10359	4328736	98	98	364619	4325404	0.0842971
GCA_948795145.1	well_represented	Cyanobacteriota	Bacteria	1645	2184664	39	34	1528	2182933	0.00069998
GCA_032075505.1	well_represented	Pseudomonadota	Bacteria	32461	4448846	10	5	377618	4448011	0.08489592
GCA_948722445.1	well_represented	Bacteroidota	Bacteria	10359	2480034	87	84	5018	2476779	0.00202602
GCA_949109105.1	well_represented	Bacteroidota	Bacteria	10359	2084241	32	25	6020	2082460	0.00289081
GCA_947429255.1	well_represented	Pseudomonadota	Bacteria	32461	1654137	40	40	1677	1652777	0.00101466
GCA_902364065.1	well_represented	Bacillota	Bacteria	25384	2580820	87	68	7372	2577489	0.00286015
GCA_903871605.1	well_represented	Pseudomonadota	Bacteria	32461	4276050	54	54	44816	4274214	0.0104852
GCA_948650875.1	well_represented	Verrucomicrobiota	Bacteria	1552	2703728	36	26	225211	2702205	0.08334342
GCA_032574495.1	well_represented	Bacillota	Bacteria	25384	2952620	54	54	246154	2950784	0.08341986
GCA_015689575.1	well_represented	Pseudomonadota	Bacteria	32461	2522572	9	9	10619	2522266	0.0042101
GCA_900047095.1	well_represented	Pseudomonadota	Bacteria	32461	4916758	55	52	430593	4914650	0.08761417
GCA_000983565.1	well_represented	Pseudomonadota	Bacteria	32461	4466601	90	6	390712	4461479	0.08757455
GCA_948633175.1	well_represented	Bacteroidota	Bacteria	10359	2509170	34	27	3202	2507411	0.00127701
GCA_949505765.1	well_represented	Pseudomonadota	Bacteria	32461	2053490	50	50	3092	2051790	0.00150698
GCA_948908125.1	well_represented	Bacteroidota	Bacteria	10359	2734201	87	72	4803	2730546	0.00175899
GCA_938039655.1	well_represented	Bacteroidota	Bacteria	10359	2379869	27	27	5750	2378951	0.00241703
GCA_039963425.1	well_represented	Bacteroidota	Bacteria	10359	4885677	8	8	3789	4885405	0.00077558
GCA_041331615.1	well_represented	Bacillota	Bacteria	25384	3773961	6	6	49812	3773757	0.01319958
GCA_948674305.1	well_represented	Bacteroidota	Bacteria	10359	2808778	66	54	3941	2805698	0.00140464
GCA_032553355.1	well_represented	Bacillota	Bacteria	25384	2787438	25	25	233113	2786588	0.08365535
GCA_947571065.1	well_represented	Bacteroidota	Bacteria	10359	2549260	76	76	3645	2546676	0.00143128
GCA_021796435.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1625443	29	28	1225	1624448	0.0007541
GCA_003484695.1	cpr_dpann	Patescibacteriota	Bacteria	1609	974221	18	17	315	973065	0.00032372
GCA_035389765.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1145458	29	16	519	1143185	0.00045399
GCA_963998405.1	cpr_dpann	Patescibacteriota	Bacteria	1609	915879	8	8	523	915607	0.00057121
GCA_001825035.1	cpr_dpann	Patescibacteriota	Bacteria	1609	676968	33	9	314	674851	0.00046529
GCA_007379055.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1022626	25	24	666	1021672	0.00065187
GCA_963979165.1	cpr_dpann	Patescibacteriota	Bacteria	1609	928484	52	52	681	926716	0.00073485
GCA_948570655.1	cpr_dpann	Patescibacteriota	Bacteria	1609	815188	22	21	472	814341	0.00057961
GCA_000992375.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1379854	19	18	920	1379092	0.00066711
GCA_963554325.1	cpr_dpann	Patescibacteriota	Bacteria	1609	650533	15	15	917	650023	0.00141072
GCA_903821745.1	cpr_dpann	Patescibacteriota	Bacteria	1609	768961	5	5	297	768791	0.00038632
GCA_028870835.1	cpr_dpann	Patescibacteriota	Bacteria	1609	987749	20	20	358	987069	0.00036269
GCA_028702475.1	cpr_dpann	Patescibacteriota	Bacteria	1609	655278	36	29	391	653361	0.00059844
GCA_002788675.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1218889	12	10	547	1218379	0.00044896
GCA_018701095.1	cpr_dpann	Patescibacteriota	Bacteria	1609	950833	16	16	701	950289	0.00073767
GCA_002070095.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1442421	69	69	757	1440075	0.00052567
GCA_002425145.1	cpr_dpann	Patescibacteriota	Bacteria	1609	875973	26	16	618	872349	0.00070843
GCA_001783145.1	cpr_dpann	Patescibacteriota	Bacteria	1609	854266	34	20	538	852623	0.00063099
GCA_018644765.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1019930	27	25	414	1018814	0.00040635
GCA_001774655.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1089175	3	2	436	1089043	0.00040035
GCA_028708725.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1105266	36	33	1054	1103745	0.00095493
GCA_903862575.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1347921	53	53	509	1346119	0.00037812
GCA_000999325.1	cpr_dpann	Patescibacteriota	Bacteria	1609	586558	7	7	433	586320	0.0007385
GCA_041671465.1	cpr_dpann	Patescibacteriota	Bacteria	1609	747206	33	32	519	746075	0.00069564
GCA_041664485.1	cpr_dpann	Patescibacteriota	Bacteria	1609	742385	11	11	346	742011	0.0004663
GCA_000992615.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1387108	20	18	920	1386382	0.0006636
GCA_001791305.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1070576	23	5	494	1069223	0.00046202
GCA_000992205.1	cpr_dpann	Patescibacteriota	Bacteria	1609	794606	20	20	475	793926	0.00059829
GCA_027425155.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1529883	20	20	1226	1529203	0.00080172
GCA_000990745.1	cpr_dpann	Patescibacteriota	Bacteria	1609	743731	4	4	490	743595	0.00065896
GCA_002410925.1	rare_phylum	UBP13	Bacteria	2	2254220	56	40	1102	2250179	0.00048974
GCA_023150995.1	rare_phylum	CLD3	Bacteria	3	3749409	78	69	2507	3746428	0.00066917
GCA_035422465.1	rare_phylum	UBA4055	Bacteria	2	2682198	78	63	1150	2678061	0.00042942
