control_type	genome	kraken2_phylum_contam_pct	kraken2_phylum_dominant_pct	kraken2_n_phyla	kraken2_unclassified_pct	kraken2_n_contigs	kraken2_n_classified_contigs	magicc_v5_completeness	magicc_v5_contamination	checkm2_completeness	checkm2_contamination	gunc_css	gunc_pass	n_effective_surplus_clades	taxonomic_level	gunc_contamination_portion	gunc_n_genes_called	gunc_n_genes_mapped	gunc_genes_retained_index	gunc_mean_hit_identity	gunc_reference_representation_score	gunc_well_powered	expected	as_expected
negative	GCA_000009525.1							99.814	0.45377314	99.99	0.24	0.0	True	0.0	kingdom	0.0	4458	4400	0.99	0.98	0.97	True	pass	True
negative	GCA_000016905.1							99.91482	1.1956006	99.87	0.06	0.0	True	0.0	kingdom	0.0	1953	1925	0.99	0.98	0.97	True	pass	True
negative	GCA_000017865.1							99.93499	1.4076054	99.89	0.03	0.0	True	0.0	kingdom	0.0	2083	2070	0.99	0.99	0.98	True	pass	True
negative	GCA_000021605.1							99.89282	0.14103055	100.0	0.01	0.0	True	0.0	kingdom	0.0	3458	3432	0.99	0.99	0.98	True	pass	True
negative	GCA_000023045.1							99.96239	0.40048063	100.0	0.07	0.0	True	0.0	kingdom	0.0	3057	3042	1.0	0.99	0.99	True	pass	True
negative	GCA_000024945.1							99.97955	0.5589396	100.0	0.09	0.0	True	0.0	kingdom	0.0	1907	1875	0.98	0.95	0.93	True	pass	True
positive	GCA_001782735.1	44.54	27.94	6	5.73	23	17	81.07164	5.3582726	96.77	0.54	0.0	True	0.0	kingdom	0.0	910	888	0.98	0.97	0.95	True	fail	False
positive	GCA_002440965.1	51.27	19.72	10	4.75	39	32	76.042114	1.857701	94.05	0.31	0.32	True	0.1	order	0.05	1505	1430	0.74	0.63	0.47	False	fail	False
positive	GCA_016787285.1	42.44	23.11	17	17.51	345	217	99.80432	7.4893355	96.77	1.11	0.09	True	0.08	phylum	0.04	4248	3814	0.84	0.52	0.44	False	fail	False
positive	GCA_018057765.1	60.19	29.51	9	3.4	51	40	73.647125	48.25221	97.73	0.03	0.06	True	0.64	phylum	0.23	1735	1428	0.7	0.48	0.34	False	fail	False
positive	GCA_036794495.1	45.57	26.82	9	4.81	85	70	71.75981	5.736023	95.43	3.6	0.17	True	0.2	order	0.09	2124	2012	0.75	0.61	0.46	False	fail	False
positive	GCA_051874775.1	49.57	32.84	9	4.87	39	28	67.64038	35.292583	97.33	1.54	0.07	True	0.64	phylum	0.23	1569	1316	0.78	0.54	0.42	False	fail	False
positive	GCA_054040315.1	46.45	17.88	8	20.92	77	43	99.80986	17.307032	95.33	0.47	0.08	True	0.62	phylum	0.23	934	835	0.74	0.6	0.45	False	fail	False
positive	GCA_964646075.1	53.94	17.75	6	14.25	29	20	57.37428	2.7922063	93.98	0.06	0.0	True	0.0	kingdom	0.0	436	401	0.9	0.55	0.49	False	fail	False
