draft_accession	complete_accession	status	draft_bp	draft_contigs	draft_n50	ref_bp	ref_seqs	covered_ref_bp	aligned_draft_bp	unaligned_draft_bp	true_completeness	true_contamination_upper	organism	group	species_taxid	strain	draft_level	complete_level	draft_biosample	draft_excluded_from_refseq	size_ratio_draft_over_complete
GCA_000185325.1	GCA_005886055.1	ok	2302726.0	22.0	896167.0	2297844.0	1.0	2274065.0	2302299.0	427.0	98.96516	0.018583	Aliarcobacter butzleri JV22	bacteria	28197	strain=JV22	Scaffold	Complete Genome	SAMN00210774	na	1.0021
GCA_000090875.1	GCA_005886145.1	ok	2515760.0	11.0	839403.0	2502158.0	1.0	2485597.0	2506810.0	8950.0	99.338131	0.357691	Neisseria sp. oral taxon 014 str. F0314	bacteria	641148	strain=F0314	Scaffold	Chromosome	SAMN02463843	na	1.0054
GCA_000155535.1	GCA_001267475.1	ok	1871868.0	19.0	212857.0	1892645.0	1.0	1857509.0	1870848.0	1020.0	98.14355	0.053893	Francisella tularensis subsp. tularensis MA00-2987	bacteria	263	strain=MA00-2987	Scaffold	Complete Genome	SAMN02595231	na	0.9890
GCA_000258925.1	GCA_001553195.1	ok	867208.0	6.0	173195.0	897443.0	1.0	877489.0	866081.0	1127.0	97.776572	0.125579	Mycoplasmopsis canis PG 14	bacteria	29555	strain=PG 14	Contig	Complete Genome	SAMN02471767	na	0.9663
GCA_000188455.2	GCA_003073575.1	ok	4324453.0	132.0	76809.0	4694397.0	1.0	4370494.0	4321859.0	2594.0	93.100221	0.055257	Salmonella enterica subsp. enterica serovar Montevideo str. 531954	bacteria	28901	strain=531954	Contig	Complete Genome	SAMN00710627	na	0.9212
GCA_000256465.2	GCA_038442155.1	ok	5182207.0	45.0	1165394.0	5284523.0	4.0	5167121.0	5180284.0	1923.0	97.77838	0.036389	Vibrio cyclitrophicus ZF270	bacteria	47951	strain=ZF270	Scaffold	Complete Genome	SAMN02470504	na	0.9806
GCA_000195415.2	GCA_009649015.1	ok	5093003.0	33.0	730973.0	5144090.0	2.0	5089833.0	5092309.0	694.0	98.945256	0.013491	Vibrio parahaemolyticus 10329	bacteria	670	strain=10329	Contig	Complete Genome	SAMN02952920	na	0.9901
GCA_000273625.1	GCA_000158275.2	ok	2515488.0	4.0	2225871.0	2514029.0	2.0	2509763.0	2515245.0	243.0	99.830312	0.009666	Fusobacterium animalis 7_1	bacteria	76859	strain=7_1	Contig	Complete Genome	SAMN02463711	na	1.0006
GCA_000331815.1	GCA_002023665.2	ok	4032720.0	66.0	207010.0	4058311.0	1.0	3991911.0	3996660.0	36060.0	98.363851	0.888547	Elizabethkingia anophelis R26	bacteria	1117645	strain=R26	Contig	Complete Genome	SAMN02470677	na	0.9937
GCA_000331875.1	GCA_002155245.1	ok	5407139.0	1322.0	8877.0	5874087.0	2.0	5406299.0	5376272.0	30867.0	92.036413	0.525477	Ralstonia solanacearum FJAT-91	bacteria	305	strain=FJAT-91	Contig	Complete Genome	SAMN02469793	unverified source organism	0.9205
GCA_000466945.1	GCA_003860345.1	ok	4291514.0	54.0	486368.0	4358096.0	1.0	4297541.0	4290466.0	1048.0	98.610517	0.024047	Caenibius tardaugens NBRC 16725	bacteria	169176	strain=NBRC 16725	Contig	Complete Genome	SAMD00041832	na	0.9847
GCA_000332585.1	GCA_021172085.1	ok	4858867.0	335.0	27753.0	5103104.0	1.0	4796499.0	4791958.0	66909.0	93.991794	1.311143	Microcystis aeruginosa FACHB-905 = DIANCHI905	bacteria	1126	strain=DIANCHI905	Contig	Complete Genome	SAMN02469975	na	0.9521
GCA_000461895.1	GCA_011212705.1	ok	5534904.0	210.0	50722.0	5634694.0	3.0	5530709.0	5530566.0	4338.0	98.154558	0.076987	Vibrio coralliilyticus OCN008	bacteria	190893	strain=OCN008	Contig	Complete Genome	SAMN02304133	annotation fails completeness check; many frameshifted proteins	0.9823
GCA_000474175.2	GCA_015074805.1	ok	4916601.0	252.0	38414.0	4984172.0	4.0	4835011.0	4843563.0	73038.0	97.007306	1.465399	Sphingobium fuliginis	bacteria	336203	strain=KK22	Contig	Complete Genome	SAMD00011324	na	0.9864
GCA_000400285.1	GCA_002887615.1	ok	5954450.0	168.0	158060.0	5989523.0	2.0	5916249.0	5921470.0	32980.0	98.77663	0.550628	Vibrio jasicida 090810c	bacteria	766224	strain=090810c	Scaffold	Complete Genome	SAMD00036656	na	0.9941
GCA_000485945.1	GCA_049942905.1	ok	4841867.0	377.0	24526.0	4952231.0	4.0	4831592.0	4833549.0	8318.0	97.563946	0.167965	Franconibacter helveticus 513	bacteria	357240	strain=513	Contig	Complete Genome	SAMN02364109	na	0.9777
GCA_000485965.1	GCA_049942875.1	ok	4811103.0	137.0	75764.0	4882495.0	3.0	4807906.0	4808365.0	2738.0	98.472318	0.056078	Franconibacter pulveris 1160	bacteria	435910	strain=1160	Contig	Complete Genome	SAMN02369275	na	0.9854
GCA_000474785.1	GCA_018074945.1	ok	5506631.0	8.0	4009174.0	5481241.0	9.0	5429253.0	5506407.0	224.0	99.051529	0.004087	Enterobacter sp. MGH 14	bacteria	1329823	strain=MGH 14	Contig	Complete Genome	SAMN02138554	na	1.0046
GCA_000510665.1	GCA_013315775.1	ok	6641566.0	121.0	100385.0	6751834.0	3.0	6628939.0	6639264.0	2302.0	98.179828	0.034094	Sinorhizobium meliloti WSM1022	bacteria	382	strain=WSM1022	Scaffold	Chromosome	SAMN02597176	na	0.9837
GCA_000534495.1	GCA_018075245.1	ok	5283674.0	8.0	4279206.0	5255410.0	4.0	5247965.0	5283266.0	408.0	99.858336	0.007763	Enterobacter sp. BWH 37	bacteria	1329836	strain=BWH 37	Scaffold	Complete Genome	SAMN02138600	na	1.0054
GCA_000517145.1	GCA_013170845.1	ok	7195110.0	1.0	7195110.0	7207166.0	1.0	7205563.0	7195047.0	63.0	99.977758	0.000874	Mesorhizobium loti R88b	bacteria	381	strain=R88b	Scaffold	Complete Genome	SAMN02597285	na	0.9983
GCA_000534675.1	GCA_018075005.1	ok	5276280.0	7.0	4783999.0	5305481.0	4.0	5299983.0	5275787.0	493.0	99.896371	0.009292	Enterobacter sp. MGH 7	bacteria	1329816	strain=MGH 7	Scaffold	Complete Genome	SAMN02138547	na	0.9945
GCA_000758145.1	GCA_001443645.1	ok	3119721.0	40.0	136158.0	3139729.0	1.0	3087733.0	3088193.0	31528.0	98.343934	1.004163	Lactiplantibacillus paraplantarum	bacteria	60520	strain=L-ZS9	Scaffold	Complete Genome	SAMN02893814	na	0.9936
GCA_000567725.1	GCA_018075085.1	ok	5734362.0	5.0	3623712.0	5730426.0	4.0	5721921.0	5734201.0	161.0	99.851582	0.00281	Klebsiella pneumoniae MGH 39	bacteria	573	strain=MGH 39	Scaffold	Complete Genome	SAMN02138579	na	1.0007
GCA_000770375.1	GCA_001187595.1	ok	2758325.0	56.0	189820.0	2803668.0	1.0	2737739.0	2737814.0	20511.0	97.648473	0.731577	Anoxybacillus gonensis	bacteria	198467	strain=G2	Contig	Complete Genome	SAMN03121471	na	0.9838
GCA_000710215.1	GCA_943184895.1	ok	5365929.0	195.0	53927.0	5396424.0	5.0	5348303.0	5362286.0	3643.0	99.10828	0.067508	Pantoea agglomerans	bacteria	549	strain=DAPP-PG734	Contig	Complete Genome	SAMN02843220	na	0.9943
