accession	domain	family	n_copies	n_pairs_total	n_pairs_valid	n_pairs_diff_contig	mean_pairwise_identity	min_pairwise_identity	survives_split_gene_control	contigs	cohort
GCA_001782045.1	bacteria	PGK	2	1	1	1	0.6038	0.6038	True	MFNK01000001.1;MFNK01000012.1	agree_clean
GCA_000431375.1	bacteria	TIGR00006	2	1	1	1	0.3668	0.3668	True	HF990740.1;HF990755.1	agree_clean
GCA_002366485.1	bacteria	infC	2	1	1	1	0.9708	0.9708	True	DEXB01000039.1;DEXB01000041.1	agree_clean
GCA_002366485.1	bacteria	rpmI_bact	2	1	1	1	1.0	1.0	True	DEXB01000039.1;DEXB01000041.1	agree_clean
GCA_002070265.1	bacteria	rpmH_bact	2	1	1	1	0.6818	0.6818	True	MWCX01000051.1;MWCX01000088.1	disagreement_141
GCA_002730975.1	bacteria	GTPase_EngA	2	1	1	1	0.4717	0.4717	True	PCBO01000010.1;PCBO01000106.1	disagreement_141
GCA_003137095.1	bacteria	rpsB_bact	2	1	0	0			False	PLET01000033.1;PLET01000121.1	agree_clean
GCA_003137095.1	bacteria	secG	2	1	1	1	0.8429	0.8429	True	PLET01000034.1;PLET01000062.1	agree_clean
GCA_009843765.1	bacteria	S16	2	1	1	1	0.4267	0.4267	True	VYCV01000112.1;VYCV01000294.1	agree_clean
GCA_009843765.1	bacteria	ffh	2	1	1	1	0.6047	0.6047	True	VYCV01000112.1;VYCV01000294.1	agree_clean
GCA_009843765.1	bacteria	trmD	2	1	1	1	0.6682	0.6682	True	VYCV01000112.1;VYCV01000143.1	agree_clean
GCA_012729715.1	bacteria	hisS	2	1	1	1	0.9602	0.9602	True	JAAYCQ010000066.1;JAAYCQ010000252.1	agree_clean
GCA_014377455.1	bacteria	infC	2	1	1	1	0.9706	0.9706	True	JACMPO010000094.1;JACMPO010000124.1	agree_clean
GCA_014377455.1	bacteria	rplT_bact	2	1	1	1	0.9386	0.9386	True	JACMPO010000094.1;JACMPO010000124.1	agree_clean
GCA_014377455.1	bacteria	rpmI_bact	2	1	1	1	0.9672	0.9672	True	JACMPO010000094.1;JACMPO010000124.1	agree_clean
GCA_015660205.1	bacteria	TIGR00152	2	1	1	1	0.3598	0.3598	True	DQLM01000038.1;DQLM01000043.1	agree_clean
GCA_016187975.1	bacteria	rpoA	2	1	1	1	0.4441	0.4441	True	JACPIR010000090.1;JACPIR010000394.1	agree_clean
GCA_016283595.1	bacteria	rpmH_bact	2	1	1	1	0.9545	0.9545	True	JAEENE010000031.1;JAEENE010000149.1	agree_clean
GCA_016278515.1	bacteria	TIGR00092	2	1	1	1	0.3853	0.3853	True	JADQBR010000002.1;JADQBR010000096.1	disagreement_141
GCA_016295605.1	bacteria	Ribosomal_S9	2	1	1	1	0.876	0.876	True	JAEDKX010000049.1;JAEDKX010000231.1	disagreement_141
GCA_016295605.1	bacteria	rplM_bact	2	1	1	1	0.7609	0.7609	True	JAEDKX010000049.1;JAEDKX010000231.1	disagreement_141
GCA_016704105.1	bacteria	TIGR00152	2	1	1	1	0.3978	0.3978	True	JADJAT010000001.1;JADJAT010000002.1	agree_clean
GCA_018380175.1	bacteria	TIGR00006	2	1	1	1	0.3287	0.3287	True	JAGZUE010000010.1;JAGZUE010000045.1	agree_clean
GCA_018381015.1	bacteria	dnaG	2	1	1	1	0.3806	0.3806	True	JAGZSS010000004.1;JAGZSS010000017.1	agree_clean
GCA_021732365.1	bacteria	rpsD_bact	2	1	1	1	0.4184	0.4184	True	JAKFVD010000006.1;JAKFVD010000016.1	agree_clean
GCA_021325555.1	bacteria	TIGR00152	2	1	1	0	0.4703	0.4703	True	JAJPGY010000039.1	agree_clean
GCA_022646625.1	bacteria	TIGR00043	2	1	0	0			False	JALCJM010000012.1;JALCJM010000143.1	agree_clean
GCA_022646625.1	bacteria	hisS	2	1	1	1	0.3325	0.3325	True	JALCJM010000003.1;JALCJM010000007.1	agree_clean
GCA_022783155.1	bacteria	TIGR00006	2	1	1	1	0.3741	0.3741	True	JALFON010000090.1;JALFON010000144.1	disagreement_141
GCA_022783155.1	bacteria	lepA	2	1	1	1	0.8816	0.8816	True	JALFON010000036.1;JALFON010000127.1	disagreement_141
GCA_022783155.1	bacteria	pheT_bact	2	1	1	1	0.4512	0.4512	True	JALFON010000023.1;JALFON010000040.1	disagreement_141
GCA_023139045.1	bacteria	TIGR00006	2	1	1	1	0.368	0.368	True	JAGLOJ010000066.1;JAGLOJ010000081.1	disagreement_141
GCA_023395465.1	bacteria	T6A_TsaD_YgjD	2	1	1	1	0.836	0.836	True	JAEWZE010000055.1;JAEWZE010000080.1	agree_clean
GCA_023395465.1	bacteria	ruvB	2	1	1	1	0.9571	0.9571	True	JAEWZE010000111.1;JAEWZE010000119.1	agree_clean
GCA_023383015.1	bacteria	dnaG	2	1	1	1	0.5012	0.5012	True	JAHDXW010000019.1;JAHDXW010000029.1	agree_clean
GCA_023709145.1	bacteria	S6	2	1	1	1	0.4	0.4	True	BRFF01000001.1;BRFF01000036.1	agree_clean
GCA_023429945.1	bacteria	TIGR00006	2	1	1	1	0.3945	0.3945	True	JAEZCP010000115.1;JAEZCP010000180.1	agree_clean
GCA_023436885.1	bacteria	leuS_bact	2	1	1	1	0.4267	0.4267	True	JAEZHI010000025.1;JAEZHI010000038.1	agree_clean
GCA_023436885.1	bacteria	rplT_bact	2	1	1	1	0.7788	0.7788	True	JAEZHI010000007.1;JAEZHI010000050.1	agree_clean
GCA_026339155.1	bacteria	dnaG	2	1	1	1	0.354	0.354	True	JAPKWD010000006.1;JAPKWD010000015.1	agree_clean
GCA_027421505.1	bacteria	rplV_bact	2	1	1	1	0.5122	0.5122	True	DAIBGZ010000006.1;DAIBGZ010000089.1	agree_clean
GCA_027421505.1	bacteria	rpsS_bact	2	1	1	1	0.6703	0.6703	True	DAIBGZ010000006.1;DAIBGZ010000089.1	agree_clean
GCA_029007115.1	bacteria	lepA	2	1	1	1	0.7703	0.7703	True	JAQXHG010000011.1;JAQXHG010000028.1	disagreement_141
GCA_027404155.1	bacteria	rpoA	2	1	1	1	0.7483	0.7483	True	DAHZCI010000010.1;DAHZCI010000030.1	agree_clean
GCA_028724105.1	bacteria	TIGR00006	2	1	1	1	0.3414	0.3414	True	JAQYDP010000017.1;JAQYDP010000047.1	disagreement_141
GCA_030148245.1	bacteria	PGK	2	1	1	1	0.7025	0.7025	True	JASBTV010000025.1;JASBTV010000028.1	agree_clean
GCA_027457585.1	bacteria	TIGR00006	2	1	1	1	0.3841	0.3841	True	DAIEDC010000005.1;DAIEDC010000033.1	agree_clean
GCA_030065935.1	bacteria	IF-2	2	1	1	1	0.7189	0.7189	True	JASJCP010000128.1;JASJCP010000139.1	agree_clean
GCA_030451785.1	bacteria	S6	2	1	1	1	1.0	1.0	True	JAKDGA010000013.1;JAKDGA010000195.1	agree_clean
GCA_031263035.1	bacteria	L3_bact	2	1	1	1	0.42	0.42	True	JAISGP010000073.1;JAISGP010000080.1	disagreement_141
GCA_031263035.1	bacteria	Ribosomal_L23	2	1	1	1	0.4211	0.4211	True	JAISGP010000073.1;JAISGP010000080.1	disagreement_141
GCA_031263035.1	bacteria	rplD_bact	2	1	1	1	0.3503	0.3503	True	JAISGP010000073.1;JAISGP010000080.1	disagreement_141
GCA_031263035.1	bacteria	rpoB	2	1	1	1	0.5148	0.5148	True	JAISGP010000088.1;JAISGP010000142.1	disagreement_141
GCA_031263035.1	bacteria	rpsG_bact	2	1	1	1	0.4286	0.4286	True	JAISGP010000034.1;JAISGP010000080.1	disagreement_141
GCA_031263035.1	bacteria	rpsJ_bact	2	1	1	1	0.5816	0.5816	True	JAISGP010000073.1;JAISGP010000080.1	disagreement_141
GCA_031263035.1	bacteria	rpsL_bact	2	1	1	1	0.6992	0.6992	True	JAISGP010000034.1;JAISGP010000080.1	disagreement_141
GCA_030655455.1	bacteria	L12	2	1	1	1	0.6829	0.6829	True	JAURVO010000017.1;JAURVO010000025.1	agree_clean
GCA_030655455.1	bacteria	Ribosomal_L10	2	1	1	1	0.4512	0.4512	True	JAURVO010000017.1;JAURVO010000025.1	agree_clean
