distance	dominant	donor	n_donor_genes	n_rbh_orthologues	pct_donor_genes_orthologous
order	GB_GCA_000428625.1	RS_GCF_000400935.1	1938	186	9.6
genus	GB_GCA_000428625.1	RS_GCF_012220205.1	1924	487	25.31
class	GB_GCA_000428625.1	RS_GCF_018613535.1	3584	124	3.46
species	GB_GCA_000428625.1	RS_GCF_026016765.1	1379	1178	85.42
phylum	GB_GCA_000428625.1	RS_GCF_036442125.1	4011	127	3.17
family	GB_GCA_000428625.1	RS_GCF_040895875.1	1225	286	23.35
species	GB_GCA_000999245.1	GB_GCA_001786215.1	676	638	94.38
class	GB_GCA_000999245.1	GB_GCA_001794215.1	1009	229	22.7
order	GB_GCA_000999245.1	GB_GCA_023267655.1	1258	276	21.94
phylum	GB_GCA_000999245.1	GB_GCA_035489575.1	1651	166	10.05
genus	GB_GCA_000999245.1	GB_GCA_041661005.1	965	430	44.56
family	GB_GCA_000999245.1	GB_GCA_903837185.1	939	344	36.63
species	GB_GCA_015752025.1	GB_GCA_015752395.1	6692	5949	88.9
family	GB_GCA_015752025.1	RS_GCF_003053845.1	4689	2512	53.57
genus	GB_GCA_015752025.1	RS_GCF_012395805.1	5932	3949	66.57
class	GB_GCA_015752025.1	RS_GCF_013032005.1	4296	2227	51.84
phylum	GB_GCA_015752025.1	RS_GCF_031221745.1	6187	1373	22.19
order	GB_GCA_015752025.1	RS_GCF_032144035.1	7878	2211	28.07
family	GB_GCA_018326845.1	RS_GCF_000738005.1	1911	1098	57.46
species	GB_GCA_018326845.1	RS_GCF_001263855.1	2173	1702	78.32
order	GB_GCA_018326845.1	RS_GCF_003254645.1	3042	651	21.4
phylum	GB_GCA_018326845.1	RS_GCF_019052535.1	2814	451	16.03
class	GB_GCA_018326845.1	RS_GCF_040639095.1	6937	656	9.46
genus	GB_GCA_018326845.1	RS_GCF_900157085.1	2281	1458	63.92
family	GB_GCA_018368635.1	GB_GCA_946496605.1	2264	782	34.54
species	GB_GCA_018368635.1	GB_GCA_963588855.1	2227	1591	71.44
order	GB_GCA_018368635.1	RS_GCF_041223285.1	3455	778	22.52
class	GB_GCA_018368635.1	RS_GCF_900129945.1	4094	691	16.88
phylum	GB_GCA_018368635.1	RS_GCF_900639355.1	3051	462	15.14
genus	GB_GCA_018368635.1	RS_GCF_959021095.1	2104	1564	74.33
species	GB_GCA_019100285.1	GB_GCA_019100405.1	4056	3773	93.02
family	GB_GCA_019100285.1	GB_GCA_037316445.1	4304	1889	43.89
genus	GB_GCA_019100285.1	GB_GCA_040791565.1	4273	3527	82.54
class	GB_GCA_019100285.1	RS_GCF_002264475.1	5492	1018	18.54
phylum	GB_GCA_019100285.1	RS_GCF_013321275.1	6258	776	12.4
order	GB_GCA_019100285.1	RS_GCF_021228795.1	5096	1748	34.3
family	GB_GCA_037265725.1	GB_GCA_027681685.1	3596	1127	31.34
genus	GB_GCA_037265725.1	RS_GCF_003458515.1	3097	1648	53.21
phylum	GB_GCA_037265725.1	RS_GCF_003991175.1	6193	689	11.13
order	GB_GCA_037265725.1	RS_GCF_004342165.1	2863	919	32.1
class	GB_GCA_037265725.1	RS_GCF_015352395.1	3992	787	19.71
species	GB_GCA_037265725.1	RS_GCF_015556245.1	3521	2354	66.86
family	GB_GCA_040792625.1	GB_GCA_037316445.1	4304	1851	43.01
genus	GB_GCA_040792625.1	GB_GCA_040791565.1	4273	3200	74.89
species	GB_GCA_040792625.1	GB_GCA_040793675.1	3908	3825	97.88
class	GB_GCA_040792625.1	RS_GCF_000463015.1	6698	1169	17.45
order	GB_GCA_040792625.1	RS_GCF_021228795.1	5096	1740	34.14
phylum	GB_GCA_040792625.1	RS_GCF_032484435.1	6981	965	13.82
genus	GB_GCA_900546945.1	GB_GCA_902474005.1	1927	1621	84.12
genus	GB_GCA_900546945.1	GB_GCA_902782045.1	2077	1643	79.1
species	GB_GCA_900546945.1	GB_GCA_945876265.1	1955	1713	87.62
phylum	GB_GCA_900546945.1	RS_GCF_000225265.1	5211	552	10.59
class	GB_GCA_900546945.1	RS_GCF_001972185.1	4067	652	16.03
family	GB_GCA_900546945.1	RS_GCF_015560295.1	3268	900	27.54
order	GB_GCA_900546945.1	RS_GCF_027683805.1	3114	728	23.38
phylum	GB_GCA_902474005.1	GB_GCA_002455195.1	3245	479	14.76
family	GB_GCA_902474005.1	GB_GCA_022846095.1	3971	919	23.14
genus	GB_GCA_902474005.1	GB_GCA_900546945.1	2047	1621	79.19
species	GB_GCA_902474005.1	GB_GCA_902782045.1	2077	1684	81.08
order	GB_GCA_902474005.1	GB_GCA_959017855.1	2713	731	26.94
class	GB_GCA_902474005.1	RS_GCF_023497585.1	3704	702	18.95
class	GB_GCA_902834555.1	GB_GCA_001950395.1	1750	560	32.0
phylum	GB_GCA_902834555.1	GB_GCA_002848525.1	7878	476	6.04
species	GB_GCA_902834555.1	GB_GCA_905214635.1	2101	2084	99.19
genus	GB_GCA_902834555.1	GB_GCA_959021415.1	2076	1712	82.47
family	GB_GCA_902834555.1	GB_GCA_959607465.1	1940	1265	65.21
order	GB_GCA_902834555.1	RS_GCF_020554605.1	3198	786	24.58
class	GB_GCA_905214635.1	GB_GCA_001950395.1	1750	558	31.89
species	GB_GCA_905214635.1	GB_GCA_902834555.1	2118	2084	98.39
genus	GB_GCA_905214635.1	GB_GCA_959021415.1	2076	1707	82.23
phylum	GB_GCA_905214635.1	RS_GCF_018604545.1	7665	504	6.58
order	GB_GCA_905214635.1	RS_GCF_019131175.1	2855	792	27.74
family	GB_GCA_905214635.1	RS_GCF_963559805.1	2204	1191	54.04
class	GB_GCA_944327265.1	GB_GCA_023250195.1	2066	466	22.56
order	GB_GCA_944327265.1	GB_GCA_930971375.1	2049	1005	49.05
species	GB_GCA_944327265.1	GB_GCA_938034685.1	2212	1785	80.7
genus	GB_GCA_944327265.1	GB_GCA_944324305.1	2304	1592	69.1
family	GB_GCA_944327265.1	GB_GCA_963931575.1	1969	1166	59.22
phylum	GB_GCA_944327265.1	RS_GCF_019976755.1	6982	463	6.63
class	GB_GCA_947003695.1	RS_GCF_000519985.1	4224	918	21.73
order	GB_GCA_947003695.1	RS_GCF_004342165.1	2863	1005	35.1
species	GB_GCA_947003695.1	RS_GCF_009718345.1	4019	2674	66.53
phylum	GB_GCA_947003695.1	RS_GCF_038005965.1	5675	798	14.06
genus	GB_GCA_947003695.1	RS_GCF_041325975.1	3812	2427	63.67
family	GB_GCA_947003695.1	RS_GCF_964248855.1	3355	1336	39.82
class	GB_GCA_948545365.1	GB_GCA_023250195.1	2066	454	21.97
order	GB_GCA_948545365.1	GB_GCA_930971375.1	2049	927	45.24
family	GB_GCA_948545365.1	GB_GCA_934668855.1	2034	1057	51.97
genus	GB_GCA_948545365.1	GB_GCA_948646465.1	1832	1540	84.06
species	GB_GCA_948545365.1	GB_GCA_948674725.1	1892	1843	97.41
phylum	GB_GCA_948545365.1	RS_GCF_034530975.1	6634	400	6.03
order	GB_GCA_948572335.1	GB_GCA_016928955.1	2434	710	29.17
class	GB_GCA_948572335.1	GB_GCA_023401595.1	2991	614	20.53
species	GB_GCA_948572335.1	GB_GCA_948608295.1	2766	2735	98.88
species	GB_GCA_948572335.1	GB_GCA_948612535.1	2767	2733	98.77
species	GB_GCA_948572335.1	GB_GCA_948614035.1	2764	2732	98.84
phylum	GB_GCA_948572335.1	RS_GCF_000306115.2	4046	361	8.92
family	GB_GCA_948572335.1	RS_GCF_008152665.1	2817	843	29.93
genus	GB_GCA_948572335.1	RS_GCF_036250655.1	2821	1203	42.64
family	GB_GCA_948625555.1	GB_GCA_037366485.1	1649	801	48.57
order	GB_GCA_948625555.1	GB_GCA_902493885.1	2002	657	32.82
species	GB_GCA_948625555.1	GB_GCA_948960065.1	1761	1744	99.03
species	GB_GCA_948625555.1	GB_GCA_948967945.1	1771	1754	99.04
genus	GB_GCA_948625555.1	GB_GCA_949893735.1	1739	1470	84.53
phylum	GB_GCA_948625555.1	RS_GCF_036871515.1	5464	392	7.17
class	GB_GCA_948625555.1	RS_GCF_041261485.1	8581	471	5.49
phylum	GB_GCA_949893735.1	GB_GCA_003368565.2	5497	392	7.13
family	GB_GCA_949893735.1	GB_GCA_037366485.1	1649	808	49.0
order	GB_GCA_949893735.1	GB_GCA_902493885.1	2002	666	33.27
genus	GB_GCA_949893735.1	GB_GCA_948625555.1	1777	1470	82.72
species	GB_GCA_949893735.1	GB_GCA_948811555.1	1653	1625	98.31
class	GB_GCA_949893735.1	RS_GCF_019778265.1	7285	480	6.59
order	GB_GCA_963588855.1	GB_GCA_022846095.1	3971	804	20.25
species	GB_GCA_963588855.1	GB_GCA_027663525.1	2075	1703	82.07
family	GB_GCA_963588855.1	GB_GCA_958440405.1	2669	938	35.14
phylum	GB_GCA_963588855.1	RS_GCF_041414805.1	3590	514	14.32
class	GB_GCA_963588855.1	RS_GCF_900129945.1	4094	728	17.78
genus	GB_GCA_963588855.1	RS_GCF_959021095.1	2104	1650	78.42
order	RS_GCF_000022385.1	GB_GCA_027036135.1	2567	637	24.81
class	RS_GCF_000022385.1	GB_GCA_029258915.1	1784	507	28.42
species	RS_GCF_000022385.1	RS_GCF_000024305.1	3116	2624	84.21
phylum	RS_GCF_000022385.1	RS_GCF_000190315.1	2508	758	30.22
genus	RS_GCF_000022385.1	RS_GCF_001719125.1	2718	2121	78.04
family	RS_GCF_000022385.1	RS_GCF_013329795.1	2799	1827	65.27
class	RS_GCF_000221145.1	GB_GCA_001298545.1	9085	1021	11.24
genus	RS_GCF_000221145.1	RS_GCF_024105055.1	2441	1760	72.1
species	RS_GCF_000221145.1	RS_GCF_030239395.1	2235	2111	94.45
species	RS_GCF_000221145.1	RS_GCF_030239425.1	2233	2114	94.67
phylum	RS_GCF_000221145.1	RS_GCF_035830675.1	2301	394	17.12
order	RS_GCF_000221145.1	RS_GCF_040687575.1	8208	1099	13.39
family	RS_GCF_000221145.1	RS_GCF_900105785.1	4072	1087	26.69
class	RS_GCF_000225265.1	GB_GCA_001275645.1	5986	1827	30.52
family	RS_GCF_000225265.1	RS_GCF_000972245.3	5326	2836	53.25
order	RS_GCF_000225265.1	RS_GCF_018741605.1	6047	2420	40.02
genus	RS_GCF_000225265.1	RS_GCF_019748795.1	5602	4614	82.36
phylum	RS_GCF_000225265.1	RS_GCF_025533325.1	3716	1016	27.34
species	RS_GCF_000225265.1	RS_GCF_038005965.1	5675	4701	82.84
order	RS_GCF_000245255.1	GB_GCA_015521735.1	2184	604	27.66
class	RS_GCF_000245255.1	GB_GCA_029258915.1	1784	494	27.69
species	RS_GCF_000245255.1	RS_GCF_000024305.1	3116	2403	77.12
genus	RS_GCF_000245255.1	RS_GCF_001719125.1	2718	2084	76.67
phylum	RS_GCF_000245255.1	RS_GCF_007826885.1	2970	366	12.32
family	RS_GCF_000245255.1	RS_GCF_041154675.1	2790	1737	62.26
species	RS_GCF_000327665.2	RS_GCF_000800235.1	2051	1741	84.89
order	RS_GCF_000327665.2	RS_GCF_001428165.1	5299	901	17.0
class	RS_GCF_000327665.2	RS_GCF_003838975.1	6366	896	14.07
genus	RS_GCF_000327665.2	RS_GCF_017753665.1	2283	1422	62.29
family	RS_GCF_000327665.2	RS_GCF_022870925.1	3648	1137	31.17
phylum	RS_GCF_000327665.2	RS_GCF_904067625.1	6120	606	9.9
genus	RS_GCF_000653815.1	GB_GCA_000230935.2	7033	2481	35.28
species	RS_GCF_000653815.1	RS_GCF_000657595.1	4107	3941	95.96
species	RS_GCF_000653815.1	RS_GCF_001840205.1	4075	3964	97.28
species	RS_GCF_000653815.1	RS_GCF_001845785.1	4121	3912	94.93
family	RS_GCF_000653815.1	RS_GCF_015209825.1	7822	1955	24.99
phylum	RS_GCF_000653815.1	RS_GCF_015554835.1	2923	450	15.4
order	RS_GCF_000653815.1	RS_GCF_019429605.1	8456	1415	16.73
class	RS_GCF_000653815.1	RS_GCF_030817035.1	9941	1451	14.6
species	RS_GCF_000656175.1	RS_GCF_000670535.1	4084	3895	95.37
phylum	RS_GCF_000656175.1	RS_GCF_003339915.1	2949	446	15.12
order	RS_GCF_000656175.1	RS_GCF_009720385.1	7927	1318	16.63
class	RS_GCF_000656175.1	RS_GCF_033792165.1	9264	1438	15.52
family	RS_GCF_000656175.1	RS_GCF_036086475.1	5852	1889	32.28
genus	RS_GCF_000656175.1	RS_GCF_963853665.1	4623	3067	66.34
family	RS_GCF_000742455.1	RS_GCF_003026855.1	4400	2571	58.43
phylum	RS_GCF_000742455.1	RS_GCF_004016565.1	6530	1013	15.51
genus	RS_GCF_000742455.1	RS_GCF_013376745.1	4821	3219	66.77
order	RS_GCF_000742455.1	RS_GCF_031453765.1	5333	1757	32.95
species	RS_GCF_000742455.1	RS_GCF_033338275.1	4866	4211	86.54
class	RS_GCF_000742455.1	RS_GCF_040811395.1	4716	1497	31.74
phylum	RS_GCF_001087905.1	GB_GCA_015752395.1	6692	595	8.89
genus	RS_GCF_001087905.1	RS_GCF_001063965.1	2215	1235	55.76
species	RS_GCF_001087905.1	RS_GCF_003855175.1	2230	2025	90.81
species	RS_GCF_001087905.1	RS_GCF_016802405.1	2279	2024	88.81
family	RS_GCF_001087905.1	RS_GCF_022870925.1	3648	1120	30.7
species	RS_GCF_001087905.1	RS_GCF_025790185.1	2239	2019	90.17
order	RS_GCF_001087905.1	RS_GCF_027854015.2	5753	875	15.21
class	RS_GCF_001087905.1	RS_GCF_037100415.1	6468	894	13.82
order	RS_GCF_001092445.1	RS_GCF_001633605.1	2999	808	26.94
phylum	RS_GCF_001092445.1	RS_GCF_013296045.1	5324	681	12.79
family	RS_GCF_001092445.1	RS_GCF_030360865.1	2687	936	34.83
class	RS_GCF_001092445.1	RS_GCF_034044565.1	6519	796	12.21
genus	RS_GCF_001092445.1	RS_GCF_041449535.1	2208	1128	51.09
species	RS_GCF_001092445.1	RS_GCF_900022305.1	2155	1825	84.69
class	RS_GCF_001176225.1	RS_GCF_005577315.1	4136	690	16.68
genus	RS_GCF_001176225.1	RS_GCF_009933515.1	2230	1230	55.16
species	RS_GCF_001176225.1	RS_GCF_018586525.1	2197	1951	88.8
phylum	RS_GCF_001176225.1	RS_GCF_020737015.1	4470	549	12.28
order	RS_GCF_001176225.1	RS_GCF_030295805.1	2878	922	32.04
family	RS_GCF_001176225.1	RS_GCF_030360865.1	2687	918	34.16
order	RS_GCF_001828215.1	GB_GCA_034808005.1	3069	1063	34.64
genus	RS_GCF_001828215.1	RS_GCF_001749965.1	2935	2651	90.32
species	RS_GCF_001828215.1	RS_GCF_002524725.1	3217	2744	85.3
family	RS_GCF_001828215.1	RS_GCF_002894185.1	3382	1851	54.73
phylum	RS_GCF_001828215.1	RS_GCF_007114045.1	3739	853	22.81
genus	RS_GCF_001828215.1	RS_GCF_008754285.1	2968	2641	88.98
species	RS_GCF_001828215.1	RS_GCF_041764985.1	3058	2738	89.54
class	RS_GCF_001828215.1	RS_GCF_900014345.1	5735	1318	22.98
phylum	RS_GCF_001941545.1	GB_GCA_000244035.3	4143	231	5.58
order	RS_GCF_001941545.1	GB_GCA_016928955.1	2434	520	21.36
class	RS_GCF_001941545.1	GB_GCA_023401595.1	2991	352	11.77
family	RS_GCF_001941545.1	GB_GCA_038248875.1	2979	668	22.42
species	RS_GCF_001941545.1	RS_GCF_001655395.1	987	978	99.09
genus	RS_GCF_001941545.1	RS_GCF_008152665.1	2817	783	27.8
species	RS_GCF_001941545.1	RS_GCF_029201365.1	988	980	99.19
species	RS_GCF_001941545.1	RS_GCF_040404775.1	986	977	99.09
genus	RS_GCF_001951015.1	GB_GCA_020404365.1	1570	856	54.52
order	RS_GCF_001951015.1	GB_GCA_027621865.1	2414	536	22.2
species	RS_GCF_001951015.1	RS_GCF_002356915.1	1440	1097	76.18
class	RS_GCF_001951015.1	RS_GCF_004305455.1	7419	426	5.74
phylum	RS_GCF_001951015.1	RS_GCF_020843905.1	6523	344	5.27
family	RS_GCF_001951015.1	RS_GCF_900327245.1	2710	501	18.49
species	RS_GCF_001975045.1	RS_GCF_000553445.1	2764	2520	91.17
