accession	cohort	domain	n_proteins	n_profiles_in_set	n_bact_families	n_arch_families	n_families_detected	frac_profiles_detected	n_families_multicopy_raw	n_families_multicopy	n_pairs_rejected_split_gene	frac_families_multicopy	total_extra_copies	max_copies	n_dup_pairs	n_dup_pairs_valid	n_dup_pairs_diff_contig	n_dup_pairs_scored	mean_dup_pair_identity	median_dup_pair_identity	min_dup_pair_identity	n_dup_pairs_divergent	n_dup_pairs_strongly_divergent	n_dup_pairs_near_identical	frac_dup_pairs_divergent	n_divergent_families	n_strongly_divergent_families	divergent_dup_families_per_100_profiles	strongly_divergent_families_per_100_profiles	v5_completeness	v5_contamination	checkm2_completeness	checkm2_contamination	total_bp	n_contigs	n50	gc_pct
GCA_000431375.1	agree_clean	bacteria	3036	85	75	32	75	0.8824	1	1	0	0.0133	1	2	1	1	1	1	0.3668	0.3668	0.3668	1	1	0	1.0	1	1	1.176	1.176	99.95534	0.015333295	91.79	1.46	3321570	104	69067	44.061
GCA_001782045.1	agree_clean	bacteria	874	85	62	25	62	0.7294	1	1	0	0.0161	1	2	1	1	1	1	0.6038	0.6038	0.6038	1	1	0	1.0	1	1	1.176	1.176	99.902405	1.1345923	99.7	1.4	798884	12	151833	35.202
GCA_002366485.1	agree_clean	bacteria	3191	85	59	23	59	0.6941	2	2	0	0.0339	2	2	2	2	2	2	0.9854	1.0	0.9708	0	0	2	0.0	0	0	0.0	0.0	99.4857	0.20258129	91.37	1.04	3282934	51	107864	58.559
GCA_002430625.1	agree_clean	bacteria	955	85	56	19	56	0.6588	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.44719	0.37239194	90.2	0.68	874375	28	37912	51.368
GCA_002783685.1	agree_clean	bacteria	2052	85	80	29	80	0.9412	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.85094	0.89696646	96.51	0.8	2265775	276	10336	40.15
GCA_002869005.1	agree_clean	bacteria	2606	85	76	27	76	0.8941	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.68038	3.4412146	92.37	1.27	2596829	192	22954	55.055
GCA_003137095.1	agree_clean	bacteria	4448	85	76	32	76	0.8941	2	1	1	0.0132	2	2	2	1	1	1	0.8429	0.8429	0.8429	1	0	0	1.0	1	0	1.176	0.0	99.91893	0.2251178	91.88	4.22	4736042	129	72557	65.183
GCA_003156805.1	agree_clean	bacteria	4473	85	81	32	81	0.9529	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.23868	0.19333363	94.67	0.57	5032658	75	89029	58.532
GCA_003447775.1	agree_clean	bacteria	4163	85	85	35	85	1.0	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.78046	0.60507953	100.0	0.15	4483590	69	111676	50.779
GCA_009783085.1	agree_clean	bacteria	1292	85	84	28	84	0.9882	0	0	0	0.0	0	1	0	0	0	0				0	0	0		0	0	0.0	0.0	99.914474	0.0007122755	92.46	0.55	1578423	19	155262	49.849
