accession	cohort	v5_completeness	v5_contamination	checkm2_completeness	checkm2_contamination	total_bp	n_contigs	n50	gc_pct	unclassified_pct	informative_kmer_density	mean_contig_confidence_bpw	orig_phylum_contam_pct	orig_phylum_dominant_pct	orig_n_phyla	strict_phylum_contam_pct	strict_qualifying_bp_frac	scg_domain	frac_profiles_detected	n_families_multicopy	total_extra_copies	max_copies	n_dup_pairs	n_dup_pairs_diff_contig	median_dup_pair_identity	n_dup_pairs_divergent	divergent_dup_families_per_100_profiles	gunc_pg21_css	gunc_pg21_pass	gunc_pg21_rrs	gunc_gtdb95_css	gunc_gtdb95_pass	gunc_gtdb95_rrs
GCA_000431375.1	agree_clean	99.95534	0.015333295	91.79	1.46	3321570.0	104.0	69067.0	44.061	2.787	0.000764	0.000273	4.444	83.991	7.0		0.0	bacteria	0.8824	1.0	1.0	2.0	1.0	1.0	0.3668	1.0	1.176						
GCA_001782045.1	agree_clean	99.902405	1.1345923	99.7	1.4	798884.0	12.0	151833.0	35.202	8.088	0.000142	8.3e-05	8.37	42.009	2.0		0.0	bacteria	0.7294	1.0	1.0	2.0	1.0	1.0	0.6038	1.0	1.176						
GCA_002366485.1	agree_clean	99.4857	0.20258129	91.37	1.04	3282934.0	51.0	107864.0	58.559	0.111	0.016347	0.014512	0.0	99.889	1.0		0.0	bacteria	0.6941	2.0	2.0	2.0	2.0	2.0	1.0	0.0	0.0						
GCA_002430625.1	agree_clean	99.44719	0.37239194	90.2	0.68	874375.0	28.0	37912.0	51.368	12.062	0.000188	0.000122	54.392	26.996	7.0		0.0	bacteria	0.6588	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_002783685.1	agree_clean	99.85094	0.89696646	96.51	0.8	2265775.0	276.0	10336.0	40.15	50.991	0.000229	0.000399	30.235	8.079	14.0		0.0	bacteria	0.9412	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_002869005.1	agree_clean	99.68038	3.4412146	92.37	1.27	2596829.0	192.0	22954.0	55.055	26.39	0.000276	0.000239	28.53	24.042	11.0		0.0	bacteria	0.8941	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_003137095.1	agree_clean	99.91893	0.2251178	91.88	4.22	4736042.0	129.0	72557.0	65.183	3.422	0.001025	0.000262	3.027	91.846	4.0		0.0	bacteria	0.8941	1.0	2.0	2.0	2.0	1.0	0.8429	1.0	1.176						
GCA_003156805.1	agree_clean	99.23868	0.19333363	94.67	0.57	5032658.0	75.0	89029.0	58.532	1.865	0.000366	0.000119	28.965	45.26	7.0		0.0	bacteria	0.9529	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_003447775.1	agree_clean	99.78046	0.60507953	100.0	0.15	4483590.0	69.0	111676.0	50.779	0.0	0.025479	0.000628	0.0	100.0	1.0		0.0	bacteria	1.0	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_009783085.1	agree_clean	99.914474	0.0007122755	92.46	0.55	1578423.0	19.0	155262.0	49.849	1.973	0.000328	0.000171	18.353	43.059	4.0		0.0	bacteria	0.9882	0.0	0.0	1.0	0.0	0.0		0.0	0.0						
GCA_009843765.1	agree_clean	94.21657	1.06543	93.22	2.31	3087209.0	310.0	13400.0	69.075	18.307	0.000601	0.000458	33.311	28.602	17.0		0.0	bacteria	0.9412	3.0	3.0	2.0	3.0	3.0	0.6047	3.0	3.529						
GCA_012729715.1	agree_clean	98.6978	0.45121312	93.12	3.92	2674193.0	298.0	15466.0	43.221	31.186	0.000357	0.000421	23.79	30.649	12.0		0.0	bacteria	0.9529	1.0	1.0	2.0	1.0	1.0	0.9602	0.0	0.0						
