bin,stage,method,1_completeness_arc,1_contamination_arc,1_completeness_bac,1_contamination_bac,2_completeness,2_contamination,2_num_markers,3_completeness,3_contamination,coding_density,knn_score,taxonomy,taxonomy_level,notes
s6__SP198_S01__X__MIKI-NS11__c75__k10__order,3,markers + neural network,0.2536232,0.057971016,0.5925926,0.009259259,0.7652613907915107,0.051075271747079314,868.0,0.7551522889395957,0.08683806144738512,0.0014529009855673183,0.59560597,Streptococcus,genus,
s9__SP130_S11__X__spades_MRSA7133_S3_L001__c90__k20__class,3,markers + neural network,0.47826087,0.1594203,0.962963,0.2037037,0.939466396682721,0.27310122326995595,837.0,0.9277718211207738,0.26835188747557087,0.0016489858970661917,0.51561177,Streptococcus,genus,
s8__SP74_S57__X__spades_VRE3967_S23_L001__c75__k15__order,3,markers + neural network,0.3188406,0.123188406,0.6851852,0.12037037,0.7919668429811931,0.1566580120342719,879.0,0.744906032994382,0.23396680067692416,0.001673091621152698,0.52267724,Streptococcus,genus,
s1__spades_ESBL8411_S7_L001__X__spades_ESBL6515_S2_L001__c90__k15__family,3,markers + neural network,0.41304347,0.11594203,0.8333333,0.1388889,0.9328409830729166,0.23579403242567834,1746.0,0.9146832422890676,0.26191526228720496,0.0014580736908597698,0.50992566,Enterobacteriaceae,family,
s3__SP176_S56__X__SP21_S92__c75__k20__genus,2,markers,0.48550725,0.39855072,0.9722222,0.5833333,0.945041816009558,0.6412917197533976,837.0,0.9003120587385195,0.28585352081114884,0.0018189574593186191,0.33966675,Streptococcus,genus,
s8__spades_VRE3342_S6_L001__X__spades_MRSA7830_S9_L001__c75__k5__class,3,markers + neural network,0.42028984,0.14492753,0.8333333,0.16666667,0.8442160866477273,0.17684269037255287,1111.0,0.7933671242013248,0.21375918410453232,0.0016223197254824535,0.52335185,Enterococcus faecium,species,
s9__SP111_S89__X__spades_MRSA8339_S5_L001__c60__k10__class,2,markers,0.42753622,0.18115942,0.8148148,0.25,0.8224078762915826,0.3963636758690056,868.0,0.7426366829357258,0.31030991527909385,0.002514525192875512,0.4047554,Streptococcus,genus,
s0__spades_VRE3056_S20_L001__X__spades_VRE2943_S1_L001__c75__k10__species,2,markers,0.44927537,0.3115942,0.9166667,0.4351852,0.9206715413968857,0.5048112216061109,1168.0,0.8774889921569369,0.28012743818241964,0.0021269561900950974,0.41359904,Enterococcus faecium,species,
s3__SP124_S6__X__SP68_S51__c90__k2__genus,3,markers + neural network,0.4710145,0.123188406,0.962963,0.074074075,0.9165566991732756,0.08289815882726098,859.0,0.9082397401543134,0.06971487604312666,0.0015982170349408365,0.6788529,Streptococcus,genus,
s8__SP188_S67__X__SP21_S92__c75__k5__genus,2,markers,0.44927537,0.17391305,0.9351852,0.3148148,0.905403311394121,0.46241937924737797,876.0,0.8644550102583146,0.28877180954738924,0.002405639745799779,0.4438777,Streptococcus,genus,
s6__SP144_S25__X__MIKI-NS20__c60__k15__phylum,3,markers + neural network,0.42028984,0.07971015,0.7222222,0.046296295,0.6696108129350244,0.049158054706560345,871.0,0.6559804770924282,0.10206913669347706,0.0014543825519016786,0.5143425,Streptococcus,genus,
s1__SP81_S64__X__MIKI-NS12__c90__k20__family,2,markers,0.4710145,0.38405797,0.9814815,0.5277778,0.9713814039308062,0.5291312842763206,859.0,0.9449318849417904,0.264705060327565,0.0019525431631846853,0.42139366,Streptococcus,genus,
s2__spades_And5141_S4_L001__X__spades_And4191_S5_L001__c75__k20__species,2,markers,0.34057972,0.20289855,0.7222222,0.22222222,0.8557039199406444,0.3352996153370548,1769.0,0.7928727770473295,0.3229838078628012,0.0017542009627307966,0.42769194,Escherichia coli,species,
s5__SP24_S13__X__SP119_S1__c90__k20__genus,2,markers,0.5,0.26086956,0.962963,0.33333334,0.9556066291887916,0.3244710193025258,871.0,0.9346978250042051,0.28359498231134167,0.0016265865964639086,0.512736,Streptococcus,genus,
s0__spades_And5232_S2_L001__X__spades_And8423_S6_L001__c75__k5__family,2,markers,0.442029,0.21014492,0.8796296,0.25925925,0.9188122068824593,0.36851089965758316,1969.0,0.8901831865085643,0.2908286074392651,0.0023112887982294165,0.4682548,Escherichia coli,species,
s5__spades_VRE2943_S1_L001__X__MIKI-NS20__c60__k5__phylum,3,markers + neural network,0.39855072,0.17391305,0.7685185,0.2962963,0.8202180835308057,0.296655360217343,1055.0,0.7500255582466637,0.287734983694225,0.0022007810682665076,0.43793967,Enterococcus faecium,species,
s8__SP61_S45__X__MIKI-NS20__c60__k5__phylum,2,markers,0.38405797,0.14492753,0.787037,0.18518518,0.8306795974504224,0.33902253700422397,873.0,0.7473275705561991,0.29134813854017194,0.002534525822877584,0.4430989,Streptococcus,genus,
s1__SP171_S52__X__MIKI-NS12__c90__k15__family,2,markers,0.47826087,0.2536232,0.962963,0.3425926,0.959029407899507,0.3047462339467626,862.0,0.9410503778611093,0.252037122668665,0.0017220926434265346,0.5276763,Streptococcus,genus,
s0__MIKI-NS09__X__spades_MRSA7129_S8_L001__c60__k20__class,3,markers + neural network,0.36956522,0.1884058,0.6759259,0.21296297,0.7357729957217262,0.2517636684303351,567.0,0.6619896754047971,0.2836954101353722,0.0017115745996946325,0.37423798,Lactobacillus,genus,
s7__SP182_S62__X__spades_MRSA8187_S8_L001__c75__k5__class,3,markers + neural network,0.3115942,0.072463766,0.6203704,0.037037037,0.8234333369084176,0.06554913382998781,865.0,0.8062357837987024,0.08179427812750052,0.0015554608263800567,0.61979353,Streptococcus,genus,
s3__SP12_S9__X__spades_VRE3786_S19_L001__c60__k10__order,2,markers,0.41304347,0.20289855,0.8333333,0.33333334,0.867910391701349,0.46522786505049873,871.0,0.8060152793651502,0.2973634144034295,0.0028327857717452463,0.40335304,Streptococcus,genus,
s7__SP122_S4__X__MIKI-NS20__c60__k5__phylum,3,markers + neural network,0.2173913,0.057971016,0.5925926,0.027777778,0.6224095709970064,0.04443146358026522,856.0,0.6220265939297569,0.0840636517692824,0.0015756677086923964,0.5078313,Streptococcus,genus,
s3__SP187_S66__X__spades_MRSA7286_S4_L001__c75__k2__class,3,markers + neural network,0.4710145,0.07971015,0.8518519,0.06481481,0.7877536582075841,0.05127473508930642,876.0,0.7604733465680558,0.05509025638030264,0.0015352977540206512,0.6078704,Streptococcus,genus,
s1__SP72_S55__X__MIKI-NS20__c60__k20__phylum,3,markers + neural network,0.39130434,0.0942029,0.6944444,0.055555556,0.7216181497012868,0.15866666906020221,850.0,0.6646161438952647,0.26039729602865797,0.0017102895067246744,0.47684726,Streptococcus,genus,
s3__spades_And6166_S1_L001__X__spades_ESBL6643_S3_L001__c90__k5__genus,3,markers + neural network,0.49275362,0.11594203,0.9166667,0.083333336,0.9269430698492588,0.11458883530054337,1872.0,0.9221634677390249,0.12803211030311135,0.0014828932101330294,0.64156395,Klebsiella pneumoniae,species,
s3__spades_VRE3766_S8_L001__X__MIKI-NS02__c75__k15__genus,3,markers + neural network,0.49275362,0.2536232,0.9907407,0.32407406,0.8584367758911571,0.28844662464647736,1116.0,0.7974410659310818,0.2816977117944241,0.0015959390497448406,0.47229078,Enterococcus faecium,species,
s5__SP77_S60__X__SP158_S39__c90__k5__species,3,markers + neural network,0.5,0.13043478,0.962963,0.24074075,0.9437383395522388,0.12242632755318958,871.0,0.9342362853535245,0.11113471707592554,0.0015551923048156284,0.654242,Streptococcus,genus,
s6__SP27_S15__X__spades_VRE3967_S23_L001__c90__k15__order,3,markers + neural network,0.46376812,0.1884058,0.8888889,0.17592593,0.9235260538972182,0.2792448892758761,865.0,0.9001322582559408,0.2753262006144779,0.0017727655956267638,0.5116271,Streptococcus,genus,
s5__SP64_S79__X__SP21_S92__c90__k2__genus,3,markers + neural network,0.46376812,0.1594203,0.9351852,0.11111111,0.9432603686635944,0.1403033700406826,868.0,0.9291862822239771,0.1303687139639836,0.001672544656457063,0.6412052,Streptococcus,genus,
s9__spades_VRE2906_S11_L001__X__spades_VRE3021_S4_L001__c75__k20__species,2,markers,0.44927537,0.3188406,0.8796296,0.5092593,0.9408711993727086,0.7150933172154273,1091.0,0.9472432313192748,0.2618338671805554,0.002038989029656014,0.32620385,Enterococcus faecium,species,
s5__spades_And9653_S7_L001__X__spades_ESBL9654_S5_L001__c75__k2__species,3,markers + neural network,0.42753622,0.057971016,0.8425926,0.074074075,0.7732931265681292,0.04918143703835684,1943.0,0.7481033618266355,0.06395497486976712,0.001578878721520117,0.60735357,Escherichia coli,species,
s9__SP119_S1__X__MIKI-NS20__c60__k10__phylum,3,markers + neural network,0.22463769,0.0942029,0.5833333,0.046296295,0.655463276384564,0.07908263834345808,843.0,0.642063317688101,0.14634883269535892,0.0015286084448283166,0.4795863,Streptococcus,genus,
s0__SP53_S39__X__spades_VRE3387_S5_L001__c90__k20__order,3,markers + neural network,0.4710145,0.39130434,0.9722222,0.4074074,0.923787458388965,0.12155505526148419,866.0,0.916582298959032,0.1542689107474347,0.0014207943132060303,0.61740655,Streptococcus,genus,
