# set_C_clean — 100 unique dominant reference genomes, 10 independent simulations each.
# All are members of the held-out test split (data/splits/test_genomes.tsv) and of no other split.
dominant_accession	dominant_phylum	dominant_taxonomy	dominant_reference_bp	ref_index	canonical_key	in_train_split	in_val_split	in_test_split	in_kmer_selection
GB_GCA_001029695.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__2011-GWC2-44-17;g__2011-GWC2-44-17;s__2011-GWC2-44-17 sp001029695	1038683	0	001029695	False	False	True	False
GB_GCA_001777515.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Doudnabacteria;o__UBA920;f__2-01-FULL-46-14;g__2-01-FULL-46-14;s__2-01-FULL-46-14 sp001777515	919187	1	001777515	False	False	True	False
GB_GCA_001778095.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__XYB2-FULL-38-15;f__XYB2-FULL-38-15;g__XYB2-FULL-38-15;s__XYB2-FULL-38-15 sp001778095	914259	2	001778095	False	False	True	False
GB_GCA_001779275.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__2-02-FULL-39-11;f__2-02-FULL-39-11;g__2-02-FULL-40-10;s__2-02-FULL-40-10 sp001779115	1358475	3	001779275	False	False	True	False
GB_GCA_001781415.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA918;g__OLB19;s__OLB19 sp001781415	962770	4	001781415	False	False	True	False
GB_GCA_001783805.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__GWB1-37-8;s__GWB1-37-8 sp001783805	897674	5	001783805	False	False	True	False
GB_GCA_001785375.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA9973;g__UBA9973;s__UBA9973 sp001785865	741541	6	001785375	False	False	True	False
GB_GCA_001786215.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA9973;g__UBA9973;s__UBA9973 sp000999465	640263	7	001786215	False	False	True	False
GB_GCA_001790385.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__2011-GWC2-44-17;g__2011-GWC2-44-17;s__2011-GWC2-44-17 sp001029695	1107611	8	001790385	False	False	True	False
GB_GCA_001791305.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__UBA9934;f__GWF2-40-263;g__XYB2-FULL-45-11;s__XYB2-FULL-45-11 sp001791305	1070576	9	001791305	False	False	True	False
GB_GCA_001794215.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__2-02-FULL-40-12;f__GWA2-44-9;g__GWA2-44-9;s__GWA2-44-9 sp001794215	970849	10	001794215	False	False	True	False
GB_GCA_001819715.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Ryanbacterales;f__H02-45-13;g__HO2-45-13;s__HO2-45-13 sp001821765	876838	11	001819715	False	False	True	False
GB_GCA_001822065.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__Staskawiczbacteraceae;g__XYD1-FULL-39-28;s__XYD1-FULL-39-28 sp001822065	835966	12	001822065	False	False	True	False
GB_GCA_002396685.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA2103;g__C7867-001;s__C7867-001 sp001189095	831293	13	002396685	False	False	True	False
GB_GCA_002404315.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__UBA1547 sp002413425	726146	14	002404315	False	False	True	False
GB_GCA_002434045.1	Patescibacteriota	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA5946;g__UBA5946;s__UBA5946 sp002434045	898580	15	002434045	False	False	True	False
