assembly	accession	organism	kingdom	gtdb_phylum	split	leakage_free	mock1_pct	n_contigs	bin_bp	bin_n50	ref_len	true_completeness	true_contamination	true_contamination_upper	magicc_completeness	magicc_contamination	checkm2_completeness	checkm2_contamination	cocopye_completeness	cocopye_contamination	deepcheck_completeness	deepcheck_contamination
illumina	GCA_000017945.1	Ignicoccus hospitalis	Archaea	Thermoproteota	train	False	2.8386032717915723	6	1297579	687459	1297538	99.969943	0.0	0.010173	99.966705	0.45030415	99.94	0.19	99.3340265403866	0.0	98.11945343017578	-0.0080302357673645
illumina	GCA_000010305.1	Gemmatimonas aurantiaca	Bacteria	Gemmatimonadota	train	False	2.414901248417184	7	4635768	1599795	4636964	99.956006	0.0	0.003084	99.2026	1.5296608	99.95	0.85	97.7422253517806	0.0	99.3617935180664	1.215148687362671
illumina	GCA_000011105.1	Pyrococcus horikoshii	Archaea	Methanobacteriota_B	train	False	5.855518337574474	13	1739301	1177185	1738505	99.946103	0.0	0.117515	99.741455	0.7557571	99.78	0.18	100.0	0.0	98.16999816894533	-0.2284727990627288
illumina	GCA_000021565.1	Persephonella marina	Bacteria	Aquificota	val	False	2.806237421402552	9	1978481	1158983	1983966	99.751054	0.0	0.022279	99.93694	2.06888	100.0	0.41	98.94350631799792	0.79075030492545	99.13671875	0.3891207277774811
illumina	GCA_001481685.1	Ignicoccus islandicus	Archaea	Thermoproteota	train	False	1.095389379111179	11	1392016	400488	1394664	99.750836	0.0	0.01305	99.77269	0.5212933	99.92	0.15	92.96353862575285	0.0	98.59353637695312	-0.1822240650653839
illumina	GCA_000091665.1	Methanocaldococcus jannaschii	Archaea	Methanobacteriota_A	train	False	5.645801351648397	13	1736839	401137	1739927	99.663089	0.0	0.022932	99.81994	0.14741123	99.94	0.11	100.0	0.69442683253284	98.25123596191406	0.1796744763851165
illumina	GCA_000008085.1	Nanoarchaeum equitans	Archaea	Nanoarchaeota	train	False	0.9556564428044254	4	487547	142597	490885	99.663058	0.0	0.019964	99.02617	1.896292	98.23	0.44	67.76612701170673	0.0	95.56090545654295	1.2964986562728882
illumina	GCA_000018945.1	Thermotoga neapolitana	Bacteria	Thermotogota	test	True	1.6074819757894294	36	1878944	173838	1884562	99.58229	0.0	0.035128	99.541	0.19220114	99.99	1.54	99.42499790862016	1.13541535905603	99.07470703125	0.2041436731815338
illumina	GCA_000016085.1	Chlorobium phaeovibrioides	Bacteria	Bacteroidota	none	True	1.2939175424119185	24	1957409	273884	1966858	99.576329	0.0	0.045962	99.97432	0.13003051	100.0	0.18	100.0	0.0	99.30135345458984	-0.4840977489948272
illumina	GCA_000020785.1	Hydrogenobaculum sp000020785	Bacteria	Aquificota	train	False	1.6318937727031608	31	1549069	146637	1559514	99.236621	0.0	0.038025	99.95747	1.4854938	99.98	0.17	96.81107327568604	0.0	98.71886444091795	0.0614605844020843
illumina	GCA_000166095.1	Methanothermus fervidus	Archaea	Methanobacteriota	val	False	7.183339758983122	32	1235910	109076	1243342	99.218156	0.0	0.050589	62.77488	16.170904	99.9	0.1	100.0	0.0	98.94200134277344	-0.0932060182094574
illumina	GCA_000006985.1	Chlorobaculum tepidum	Bacteria	Bacteroidota	test	True	0.2432820526872879	49	2135385	85485	2154946	99.048422	0.0	0.049746	99.65296	0.35879314	99.96	0.32	100.0	0.0	99.40828704833984	-0.2216912806034088
illumina	GCA_000196115.1	Rhodopirellula baltica	Bacteria	Planctomycetota	none	True	1.3177841732417428	165	7082221	250207	7145576	99.03963	0.0	0.051053	96.1968	0.05211234	99.96	3.37	99.21916827386016	0.0	98.05547332763672	0.8758693933486938
illumina	GCA_000018565.1	Herpetosiphon aurantiacus	Bacteria	Chloroflexota	train	False	1.650232403204518	142	6721300	221006	6785430	98.932816	0.0	0.040336	99.703964	1.762402	99.99	0.45	93.25161578562924	4.02740327924207	99.6369400024414	-0.3590710461139679
illumina	GCA_000009225.1	Pseudomonas fluorescens	Bacteria	Proteobacteria (g)	none	True	1.069308679608532	371	6675892	35864	6722539	98.814451	0.363583	0.494709	99.96352	0.85445344	99.99	0.51	100.0	0.0	98.68313598632812	1.6632400751113892
illumina	GCA_000016125.1	Methanococcus maripaludis	Archaea	Methanobacteriota_A	train	False	1.1540467948482065	207	1793581	19671	1789046	98.766382	0.0	0.395462	99.50774	0.5763769	95.47	0.34	100.0	9.5673477558749	94.27050018310548	0.8645259141921997
