genome_name	pred_completeness	pred_contamination
genome_108	85.0726	0.0268
genome_121	55.5192	1.1552
genome_122	73.8455	15.5731
genome_151	69.7612	16.7651
genome_187	68.0817	0.4391
genome_209	59.7250	47.6506
genome_21	88.4357	65.7680
genome_218	87.6490	81.7543
genome_221	67.3382	0.1875
genome_245	66.1290	24.9497
genome_246	87.8559	77.5293
genome_250	61.6682	22.8603
genome_251	87.8059	48.5266
genome_254	78.5414	24.5544
genome_257	99.8930	34.4459
genome_26	99.9423	56.5042
genome_267	98.9767	1.4350
genome_281	95.1936	68.8712
genome_306	99.7357	21.7253
genome_309	99.9119	40.4063
genome_315	99.9518	0.2961
genome_317	99.9569	0.1859
genome_343	99.6116	68.0211
genome_348	70.3944	4.2238
genome_355	98.4858	36.2978
genome_358	90.9093	56.8604
genome_37	99.7935	12.0333
genome_372	99.5685	22.3604
genome_375	82.3922	74.5693
genome_4	99.7090	88.9062
genome_403	68.8592	0.1724
genome_412	96.0901	81.9384
genome_416	67.8405	26.0045
genome_426	58.5381	38.8557
genome_431	77.4308	0.2312
genome_469	69.3046	15.7074
genome_471	70.3690	58.5301
genome_48	98.9957	89.5324
genome_481	77.8121	0.1647
genome_485	83.3754	81.8369
genome_51	88.4815	81.0313
genome_525	99.9774	86.8702
genome_529	82.2001	25.1849
genome_542	70.5035	0.2269
genome_543	95.3267	57.7473
genome_552	99.7515	29.1231
genome_568	64.1334	60.1175
genome_590	82.1530	43.1298
genome_600	85.7752	1.5776
genome_603	99.8028	0.6424
genome_622	62.5031	31.5770
genome_635	99.4349	55.8216
genome_659	78.5305	60.7664
genome_664	89.7382	84.9622
genome_670	89.2468	52.3696
genome_673	99.7181	77.4668
genome_679	94.3443	13.1206
genome_683	99.8505	5.3330
genome_689	67.4598	0.1504
genome_700	74.1126	22.2568
genome_727	99.9057	0.4323
genome_74	99.5453	53.8301
genome_742	75.7814	61.5910
genome_750	84.4124	78.0854
genome_773	97.1499	2.3889
genome_775	84.3156	59.1308
genome_78	89.4654	0.4588
genome_780	76.0717	1.6486
genome_783	68.1163	0.1501
genome_789	61.2512	0.0284
genome_8	73.5210	12.9979
genome_802	81.1806	77.9522
genome_808	99.5144	0.0332
genome_811	99.3669	44.6732
genome_814	86.2877	74.6076
genome_815	99.5269	90.6748
genome_833	99.7540	50.8152
genome_836	73.6535	53.5359
genome_838	64.9219	0.3088
genome_841	52.9473	21.6395
genome_842	72.8580	0.3719
genome_843	78.4134	72.1146
genome_864	99.8266	70.2752
genome_867	88.5573	60.1607
genome_873	60.7845	56.6652
genome_874	89.9070	37.6469
genome_886	67.2748	0.4030
genome_891	99.9720	1.4253
genome_898	62.4341	2.2842
genome_909	78.3385	2.0218
genome_914	51.7090	0.0099
genome_918	76.6397	51.5302
genome_921	83.0858	0.1741
genome_927	98.0210	56.6797
genome_935	56.8922	33.7266
genome_945	98.4414	45.3714
genome_973	86.4022	68.5714
genome_975	85.9993	22.2032
genome_985	95.5717	77.1958
genome_991	74.2130	49.3462
