genome_id	ref_index	error_type	error_rate	error_rate_pct	net_mass_lost	total_ratio	l1_relative	cosine_similarity_to_control	n_selected_kmers_lost	normalised_l2_per_dim	summary_normalised_l2_per_dim	predicted_kmer_position_corruption_1_minus_1mp9	summary_delta_log10_total_kmer_count	summary_delta_total_kmer_sum	summary_delta_unique_kmer_count	summary_delta_duplicate_kmer_count	summary_delta_kmer_entropy	summary_delta_unique_kmer_ratio	summary_delta_duplicate_kmer_ratio
G_r000_substitution_0p1pct	0	substitution	0.001	0.1	0.005968	0.997901	0.009837	0.99994	0	0.021305	0.000536	0.008964	-0.00091	-0.00091	0.0	0.0	0.00059	0.0	0.0
G_r000_substitution_0p5pct	0	substitution	0.005	0.5	0.018945	0.988589	0.026478	0.999675	0	0.046143	0.002855	0.04411	-0.00498	-0.00498	0.0	0.0	0.00272	0.0	0.0
G_r000_substitution_1pct	0	substitution	0.01	1.0	0.031679	0.978117	0.041475	0.999285	0	0.066955	0.005538	0.086483	-0.00961	-0.00961	0.0	0.0	0.00548	0.0	0.0
G_r000_substitution_2pct	0	substitution	0.02	2.0	0.05409	0.958179	0.066359	0.998358	0	0.097072	0.010628	0.166252	-0.01855	-0.01855	0.0	0.0	0.01011	0.0	0.0
G_r000_substitution_5pct	0	substitution	0.05	5.0	0.117996	0.898716	0.134709	0.993611	0	0.169688	0.026458	0.369751	-0.04638	-0.04638	0.0	0.0	0.02446	0.0	0.0
G_r000_substitution_titv_0p1pct	0	substitution_titv	0.001	0.1	0.005908	0.997764	0.009581	0.999941	0	0.020875	0.000561	0.008964	-0.00097	-0.00097	0.0	0.0	0.00056	0.0	0.0
G_r000_substitution_titv_0p5pct	0	substitution_titv	0.005	0.5	0.018456	0.989005	0.025918	0.999684	0	0.044678	0.002736	0.04411	-0.0048	-0.0048	0.0	0.0	0.00251	0.0	0.0
G_r000_substitution_titv_1pct	0	substitution_titv	0.01	1.0	0.03147	0.978498	0.041439	0.999287	0	0.066517	0.005429	0.086483	-0.00944	-0.00944	0.0	0.0	0.0053	0.0	0.0
G_r000_substitution_titv_2pct	0	substitution_titv	0.02	2.0	0.055499	0.957294	0.068291	0.998232	0	0.099549	0.010845	0.166252	-0.01895	-0.01895	0.0	0.0	0.01024	0.0	0.0
G_r000_substitution_titv_5pct	0	substitution_titv	0.05	5.0	0.117136	0.900369	0.13464	0.992988	0	0.169189	0.026119	0.369751	-0.04558	-0.04558	0.0	0.0	0.02491	0.0	0.0
G_r000_indel_0p1pct	0	indel	0.001	0.1	0.005446	0.997587	0.008479	0.99995	0	0.018252	0.000602		-0.00105	-0.00105	0.0	0.0	0.00058	0.0	0.0
G_r000_indel_0p5pct	0	indel	0.005	0.5	0.018205	0.987965	0.024374	0.999735	0	0.043787	0.002888		-0.00526	-0.00526	0.0	0.0	0.00176	0.0	0.0
G_r000_indel_1pct	0	indel	0.01	1.0	0.031393	0.976629	0.039415	0.99939	0	0.063156	0.005677		-0.01027	-0.01027	0.0	0.0	0.00382	0.0	0.0
G_r000_indel_2pct	0	indel	0.02	2.0	0.05703	0.952419	0.066478	0.9985	0	0.092805	0.011696		-0.02117	-0.02117	0.0	0.0	0.00782	0.0	0.0
G_r000_indel_5pct	0	indel	0.05	5.0	0.123131	0.889172	0.135434	0.9943	0	0.170259	0.02816		-0.05101	-0.05101	0.0	0.0	0.0186	0.0	0.0
G_r000_chimera_5pct	0	chimera	0.05	5.0	0.0	1.0	0.0	1.0	0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
G_r000_chimera_10pct	0	chimera	0.1	10.0	0.0	1.000002	2e-06	1.0	0	0.000577	1e-06		0.0	0.0	0.0	0.0	0.0	0.0	0.0
G_r000_chimera_20pct	0	chimera	0.2	20.0	0.0	1.0	0.0	1.0	0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
G_r000_chimera_40pct	0	chimera	0.4	40.0	0.0	1.000002	2e-06	1.0	0	5.2e-05	1e-06		0.0	0.0	0.0	0.0	-0.0	0.0	0.0
G_r000_uneven_coverage_5pct	0	uneven_coverage	0.05	5.0	0.0	1.05192	0.05192	0.99969	0	0.055769	0.011789		0.02198	0.02198	0.0	0.0	-0.00253	0.0	0.0
G_r000_uneven_coverage_10pct	0	uneven_coverage	0.1	10.0	0.0	1.095429	0.095429	0.999597	0	0.107788	0.021165		0.03958	0.03958	0.0	0.0	0.00136	0.0	0.0
G_r000_uneven_coverage_20pct	0	uneven_coverage	0.2	20.0	0.0	1.212127	0.212127	0.997628	0	0.200636	0.044735		0.08355	0.08355	0.0	0.0	-0.00693	0.0	0.0
G_r000_uneven_coverage_40pct	0	uneven_coverage	0.4	40.0	0.0	1.394067	0.394067	0.995683	0	0.332468	0.077268		0.14428	0.14428	0.0	0.0	-0.01251	0.0	0.0
G_r001_substitution_0p1pct	1	substitution	0.001	0.1	0.006735	0.998466	0.011937	0.999834	0	0.029683	0.013351	0.008964	-0.00067	-0.00067	0.0	-0.03529	0.00022	0.0	-0.00107
G_r001_substitution_0p5pct	1	substitution	0.005	0.5	0.023253	0.989874	0.036381	0.999142	0	0.06467	0.009229	0.04411	-0.00442	-0.00442	0.0	0.02353	0.00174	0.0	0.00071
G_r001_substitution_1pct	1	substitution	0.01	1.0	0.035464	0.982241	0.053169	0.998297	0	0.090055	0.02266	0.086483	-0.00778	-0.00778	0.0	0.05882	0.00315	0.0	0.00178
G_r001_substitution_2pct	1	substitution	0.02	2.0	0.057108	0.96534	0.079557	0.996619	0	0.131676	0.032288	0.166252	-0.01532	-0.01532	0.0	0.08235	0.00632	0.0	0.0025
G_r001_substitution_5pct	1	substitution	0.05	5.0	0.115985	0.911451	0.143422	0.990716	0	0.213145	0.052368	0.369751	-0.04027	-0.04027	0.04348	0.11765	0.01458	0.00026	0.00321
G_r001_substitution_titv_0p1pct	1	substitution_titv	0.001	0.1	0.007028	0.998129	0.012184	0.99983	0	0.027925	0.000461	0.008964	-0.00081	-0.00081	0.0	0.0	0.0004	0.0	0.0
G_r001_substitution_titv_0p5pct	1	substitution_titv	0.005	0.5	0.022726	0.990992	0.036444	0.999125	0	0.06689	0.017927	0.04411	-0.00393	-0.00393	0.0	0.04706	0.00148	0.0	0.00143
G_r001_substitution_titv_1pct	1	substitution_titv	0.01	1.0	0.036085	0.98137	0.05354	0.998294	0	0.093437	0.018358	0.086483	-0.00817	-0.00817	0.0	0.04706	0.00301	0.0	0.00143
G_r001_substitution_titv_2pct	1	substitution_titv	0.02	2.0	0.057024	0.965512	0.07956	0.996505	0	0.129402	0.032275	0.166252	-0.01524	-0.01524	0.0	0.08235	0.00623	0.0	0.0025
G_r001_substitution_titv_5pct	1	substitution_titv	0.05	5.0	0.116444	0.911324	0.144211	0.990625	0	0.214989	0.038478	0.369751	-0.04033	-0.04033	0.04348	0.07059	0.01533	0.00026	0.00178
G_r001_indel_0p1pct	1	indel	0.001	0.1	0.006648	0.997951	0.011247	0.999847	0	0.025825	0.000499		-0.00089	-0.00089	0.0	0.0	0.0004	0.0	0.0
G_r001_indel_0p5pct	1	indel	0.005	0.5	0.020833	0.991191	0.032858	0.999275	0	0.058818	0.00914		-0.00384	-0.00384	0.0	0.02353	0.00106	0.0	0.00071
G_r001_indel_1pct	1	indel	0.01	1.0	0.033876	0.982343	0.050096	0.998485	0	0.084159	0.014002		-0.00774	-0.00774	0.0	0.03529	0.0024	0.0	0.00107
G_r001_indel_2pct	1	indel	0.02	2.0	0.056295	0.963451	0.07604	0.996836	3	0.123551	0.034303		-0.01617	-0.01617	-0.08696	0.01176	0.00354	-0.00051	0.00107
G_r001_indel_5pct	1	indel	0.05	5.0	0.109895	0.914964	0.134754	0.991581	1	0.205878	0.033888		-0.0386	-0.0386	0.0	0.07059	0.00851	0.0	0.00214
G_r001_chimera_5pct	1	chimera	0.05	5.0	0.0	1.000006	6e-06	1.0	0	0.000509	2e-06		0.0	0.0	0.0	0.0	0.0	0.0	0.0
G_r001_chimera_10pct	1	chimera	0.1	10.0	0.0	1.000003	3e-06	1.0	0	0.000268	1e-06		0.0	0.0	0.0	0.0	0.0	0.0	0.0
G_r001_chimera_20pct	1	chimera	0.2	20.0	0.0	1.000021	2.1e-05	1.0	0	0.000572	5e-06		1e-05	1e-05	0.0	0.0	-0.0	0.0	0.0
G_r001_chimera_40pct	1	chimera	0.4	40.0	0.0	1.000018	1.8e-05	1.0	0	0.000436	4e-06		1e-05	1e-05	0.0	0.0	-0.0	0.0	0.0
G_r001_uneven_coverage_5pct	1	uneven_coverage	0.05	5.0	0.0	1.047582	0.047582	0.999555	0	0.062437	0.010793		0.02019	0.02019	0.0	0.0	-0.00052	0.0	0.0
G_r001_uneven_coverage_10pct	1	uneven_coverage	0.1	10.0	0.0	1.097892	0.097892	0.999202	0	0.107836	0.021686		0.04056	0.04056	0.0	0.0	-0.0013	0.0	0.0
G_r001_uneven_coverage_20pct	1	uneven_coverage	0.2	20.0	0.0	1.194216	0.194216	0.998309	0	0.196589	0.041445		0.07708	0.07708	0.0	0.01176	-0.00127	0.0	0.00036
G_r001_uneven_coverage_40pct	1	uneven_coverage	0.4	40.0	0.0	1.397335	0.397335	0.997979	0	0.350897	0.078178		0.1453	0.1453	0.0	0.02353	-0.00193	0.0	0.00071
G_r002_substitution_0p1pct	2	substitution	0.001	0.1	0.005922	0.998509	0.010353	0.999934	0	0.063339	0.382368	0.008964	-0.00065	-0.00065	1.0	0.15294	0.00112	0.00589	-0.00308
G_r002_substitution_0p5pct	2	substitution	0.005	0.5	0.019271	0.992605	0.031148	0.999631	38	0.129437	0.368502	0.04411	-0.00322	-0.00322	0.82608	0.51765	0.00519	0.00487	0.01045
G_r002_substitution_1pct	2	substitution	0.01	1.0	0.032187	0.983106	0.047479	0.999248	56	0.173553	1.304362	0.086483	-0.0074	-0.0074	3.26087	1.12941	0.01013	0.01921	0.01082
G_r002_substitution_2pct	2	substitution	0.02	2.0	0.054101	0.969179	0.077381	0.998109	82	0.25514	2.59644	0.166252	-0.0136	-0.0136	6.3913	2.51765	0.02115	0.03764	0.03097
G_r002_substitution_5pct	2	substitution	0.05	5.0	0.118271	0.918481	0.155023	0.993974	141	0.398067	4.993284	0.369751	-0.03693	-0.03693	12.17391	5.12941	0.05095	0.0717	0.06886
G_r002_substitution_titv_0p1pct	2	substitution_titv	0.001	0.1	0.006125	0.998255	0.010505	0.99993	4	0.06145	0.191258	0.008964	-0.00076	-0.00076	0.43478	0.25882	0.00136	0.00256	0.00505
G_r002_substitution_titv_0p5pct	2	substitution_titv	0.005	0.5	0.020891	0.990228	0.03201	0.999619	31	0.13491	0.765178	0.04411	-0.00426	-0.00426	1.86956	0.77647	0.00596	0.01101	0.0105
G_r002_substitution_titv_1pct	2	substitution_titv	0.01	1.0	0.033315	0.984465	0.051096	0.999189	32	0.193303	2.154044	0.086483	-0.0068	-0.0068	5.3913	1.84706	0.01317	0.03175	0.01712
G_r002_substitution_titv_2pct	2	substitution_titv	0.02	2.0	0.057841	0.968032	0.083713	0.998073	69	0.287159	3.835527	0.166252	-0.01411	-0.01411	9.56522	3.38823	0.02609	0.05634	0.03364
G_r002_substitution_titv_5pct	2	substitution_titv	0.05	5.0	0.120591	0.922232	0.163415	0.993407	96	0.43862	7.001867	0.369751	-0.03516	-0.03516	17.21739	6.83529	0.06019	0.10141	0.08277
G_r002_indel_0p1pct	2	indel	0.001	0.1	0.006164	0.99703	0.009359	0.999939	6	0.048476	0.017043		-0.00129	-0.00129	-0.04348	0.01176	0.00064	-0.00026	0.00075
G_r002_indel_0p5pct	2	indel	0.005	0.5	0.020723	0.987665	0.029112	0.999695	25	0.121913	0.719968		-0.00539	-0.00539	1.86956	0.3647	0.00338	0.01101	-0.00314
G_r002_indel_1pct	2	indel	0.01	1.0	0.036869	0.974124	0.047862	0.999343	46	0.159572	0.778738		-0.01139	-0.01139	1.91304	0.76471	0.00647	0.01127	0.00975
G_r002_indel_2pct	2	indel	0.02	2.0	0.067747	0.946833	0.082327	0.998402	71	0.224419	1.300264		-0.02373	-0.02373	3.08696	1.51765	0.01312	0.01818	0.02505
G_r002_indel_5pct	2	indel	0.05	5.0	0.142455	0.878981	0.163891	0.99441	164	0.357743	2.568334		-0.05602	-0.05602	6.13043	2.92941	0.031	0.03611	0.04658
G_r002_chimera_5pct	2	chimera	0.05	5.0	0.0	1.000012	1.2e-05	1.0	0	6.7e-05	4e-06		1e-05	1e-05	0.0	0.0	-1e-05	0.0	0.0
