dataset	track	cohort	tool	n	n_clusters	cluster_unit	true_comp_mean	true_cont_mean	comp_MAE	comp_MAE_95CI	comp_bias	comp_bias_95CI	comp_R2_CoD	cont_MAE	cont_MAE_95CI	cont_bias	cont_bias_95CI	cont_R2_CoD	true_HQ	pred_HQ	MIMAG_class_agreement_pct	false_fail_5pct_rate	r2_omitted_reason	procedural_independence
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	339	196	CAMI II source genome (dominant)	79.8633	0.0	3.9796	[3.1855, 4.8789]	-0.5083	[-1.6071, 0.4819]	0.8657	1.2655	[0.7162, 2.0526]	1.2655	[0.7162, 2.0526]		139	118	87.91	5.31	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	339	196	CAMI II source genome (dominant)	80.1691	0.0	13.4538	[12.1188, 14.8180]	-13.3272	[-14.7034, -11.9818]	0.0611	2.5851	[2.3439, 2.8388]	2.5851	[2.3439, 2.8388]		139	93	86.43	12.98	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CoCoPyE 0.5.0	339	196	CAMI II source genome (dominant)	80.1691	0.0	11.5078	[10.2542, 12.7796]	11.4058	[10.1158, 12.6954]	0.2979	21.451	[19.5023, 23.3467]	21.451	[19.5023, 23.3467]		139	79	82.3	76.7	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	DeepCheck	339	196	CAMI II source genome (dominant)	80.1691	0.0	17.59	[15.9893, 19.1476]	-17.59	[-19.1476, -15.9893]	-0.436	2.8786	[2.6377, 3.1345]	2.8386	[2.5903, 3.1045]		139	93	86.43	16.22	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	864	193	CAMI II source genome (dominant)	76.9833	11.4103	7.1974	[6.5312, 7.8854]	4.1992	[3.0355, 5.4142]	0.5361	6.4531	[5.9133, 7.0056]	-4.1931	[-5.0413, -3.3087]	0.1859	55	185	79.86	12.66		genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	864	193	CAMI II source genome (dominant)	76.9833	11.4103	7.2045	[6.4974, 8.0245]	-3.6147	[-4.7407, -2.6383]	0.4935	5.9043	[5.5429, 6.2725]	-4.9357	[-5.3671, -4.4935]	0.3214	55	91	88.89	18.99		genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	CoCoPyE 0.5.0	864	193	CAMI II source genome (dominant)	76.9833	11.4103	8.5573	[7.6257, 9.5329]	8.1019	[7.0748, 9.1898]	0.2985	17.5006	[16.0023, 19.0830]	17.1183	[15.5313, 18.7607]	-4.2927	55	30	94.33	72.78		genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	DeepCheck	864	193	CAMI II source genome (dominant)	76.9833	11.4103	9.0209	[8.0744, 10.1130]	-6.0463	[-7.3948, -4.8289]	0.2335	6.3148	[5.8909, 6.7046]	-5.5517	[-5.9873, -5.0749]	0.2351	55	117	85.88	11.39		genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II strain-madness, gold-standard pure bins (leakage-free, >=50 %)	cami2_strain_madness	gold_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	700	330	CAMI II source genome (dominant)	80.7002	0.0	1.2955	[1.1615, 1.4628]	-0.0519	[-0.2022, 0.1102]	0.9847	0.5028	[0.4013, 0.6606]	0.5028	[0.4013, 0.6606]		277	252	95.86	0.29	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II strain-madness, gold-standard pure bins (leakage-free, >=50 %)	cami2_strain_madness	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	700	330	CAMI II source genome (dominant)	80.686	0.0	13.958	[13.1869, 14.6878]	-13.8452	[-14.5910, -13.0591]	-0.0857	3.0153	[2.8520, 3.1842]	3.0153	[2.8520, 3.1842]		277	176	85.57	19.0	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
