genome_id	ref_index	original_bp	added_duplicate_bp	final_bp	added_percent_original	duplicate_percent_final	original_contigs	added_contigs	original_contigs_retained	added_segments_exact_substrings	sha256
G_r000_uneven_coverage_5pct	0	4979147	248957	5228104	4.999992970683532	4.761898386107086	19	2	True	True	f685e4fee492c26c12d15feba22fdc904a0ff2c0103ebb3674477316ec05045f
G_r000_uneven_coverage_10pct	0	4979147	497915	5477062	10.0000060251284	9.090914070353778	19	4	True	True	4db8a467251df1895a19f901484b1a95915b4feaafe152b194d631bf099ab6fa
G_r000_uneven_coverage_20pct	0	4979147	995829	5974976	19.999991966495465	16.6666610878437	19	6	True	True	c4f95b036337dc56b9952216617a67d7e9b3c4ed45f9f68f4d05f1fa853d54f6
G_r000_uneven_coverage_40pct	0	4979147	1991659	6970806	40.000004016752264	28.571430620791915	19	7	True	True	f5d33993f194fa682621474098bab389f7478facdf7250e1295b74832336dc2c
G_r001_uneven_coverage_5pct	1	2186258	109313	2295571	5.0000045740255725	4.761908910680611	40	4	True	True	d63aa6bf2c1a67b5cea6a23495222c323bbfd51be4d629e2227561ef80f9e597
G_r001_uneven_coverage_10pct	1	2186258	218626	2404884	10.000009148051145	9.09091665128131	40	4	True	True	47bb12f3695b4ed02882c4660413f400706c12abb5b6e68f8c39adb83bfd4916
G_r001_uneven_coverage_20pct	1	2186258	437252	2623510	20.00001829610229	16.66667937229132	40	7	True	True	42ba7cd4e7c63f81f15f229913d349ed1700e620a3e4b2a6143e6ed5769a47e8
G_r001_uneven_coverage_40pct	1	2186258	874503	3060761	39.99999085194886	28.571423904055234	40	12	True	True	ce12d7161b981d86936e059534b6b8257197491a3dde7da2a0a85f78140f38b9
G_r002_uneven_coverage_5pct	2	2710958	135548	2846506	5.000003688732913	4.7619081076941345	153	10	True	True	dc379959419e9d79ce5b65b02b93ad21bc9ff87cd3e3ce2b1b049ab567ba2921
G_r002_uneven_coverage_10pct	2	2710958	271096	2982054	10.000007377465826	9.090915187987877	153	11	True	True	48e123294c15b08dd0dcbe052a8bbf85aaab01d5f74bc0c786953b0400dd27a3
G_r002_uneven_coverage_20pct	2	2710958	542192	3253150	20.00001475493165	16.66667691314572	153	28	True	True	1a61ff215b3cdd90bbcabcb9ce862eaac6e8949f534e0c6f88c2a9791e4ef634
G_r002_uneven_coverage_40pct	2	2710958	1084383	3795341	39.99999262253417	28.571424807415198	153	57	True	True	f7de7b6a38ac6a06a4e6249a910bf70ab2529e719d06ed11b3e3271bbf33745f
