bin,stage,method,1_completeness_arc,1_contamination_arc,1_completeness_bac,1_contamination_bac,2_completeness,2_contamination,2_num_markers,3_completeness,3_contamination,coding_density,knn_score,taxonomy,taxonomy_level,notes
GCA_052861415.1,3,markers + neural network,0.5,0.057971016,1.0,0.009259259,0.9996575342465753,0.016810176797109107,1460.0,0.9984711220890365,0.022389099123894085,0.001314909892836222,0.87786394,Staphylococcus aureus,species,
GCA_013523595.1,3,markers + neural network,0.49275362,0.06521739,1.0,0.009259259,1.0,0.018423308443594102,778.0,1.0,0.03690754217388284,0.0013365973405393902,0.7442105,Listeria,genus,
GCA_049897925.1,3,markers + neural network,0.49275362,0.057971016,1.0,0.009259259,1.0,0.0,778.0,1.0,0.0020951402579752615,0.0013752845178113674,0.77625185,Listeria,genus,
GCA_042023275.1,3,markers + neural network,0.5,0.050724637,1.0,0.0,0.999860192464989,0.0014677103718199608,1022.0,1.0,0.0,0.0013087554814204072,0.8143476,Neisseria,genus,
GCA_023711285.1,3,markers + neural network,0.5072464,0.10144927,1.0,0.027777778,0.9994033412887828,0.06921477761644168,1676.0,1.0,0.03218926045258686,0.0014578657966456171,0.7193631,Enterobacter hormaechei,species,
GCA_003675955.1,3,markers + neural network,0.51449275,0.14492753,1.0,0.018518519,1.0,0.0007363770250368188,679.0,1.0,0.0,0.001084481101497339,0.5927015,Streptomyces,genus,
GCA_019537155.1,3,markers + neural network,0.51449275,0.057971016,0.9907407,0.027777778,1.0,0.007846319830262816,616.0,1.0,0.0,0.001142669061856886,0.64820826,Clostridium,genus,
GCA_042911865.2,3,markers + neural network,0.5072464,0.06521739,1.0,0.0,0.9950980392156863,0.0016339869281045752,918.0,0.9926925318967004,0.0050251389705272195,0.0010439602917133146,0.7868179,Legionella,genus,
GCA_023126915.1,3,markers + neural network,0.49275362,0.08695652,1.0,0.018518519,0.9619308054772883,0.02378870646158854,915.0,0.9614990528490934,0.04226360096846925,0.0012082260750480996,0.7217886,Streptococcus,genus,
GCA_019462795.1,3,markers + neural network,0.49275362,0.06521739,1.0,0.009259259,1.0,0.023350472928319307,778.0,1.0,0.04023508927853513,0.001345756744004343,0.74042475,Listeria,genus,
GCA_023709545.1,3,markers + neural network,0.5072464,0.0942029,1.0,0.046296295,1.0,0.07696962193080358,1750.0,1.0,0.05065281530453924,0.0014579610554380374,0.73336726,Enterobacter,genus,
GCA_034163745.1,3,markers + neural network,0.5217391,0.0942029,1.0,0.0,0.997730610582867,0.009931964467181196,1921.0,1.0,0.0,0.0013827525376006278,0.8268736,Klebsiella pneumoniae,species,
GCA_901273695.1,3,markers + neural network,0.49275362,0.0942029,1.0,0.018518519,1.0,0.0011641443538998836,859.0,1.0,0.0,0.001453708984807704,0.8027619,Streptococcus,genus,
GCA_030297755.1,3,markers + neural network,0.5,0.06521739,1.0,0.018518519,1.0,0.00034246575342465754,1460.0,0.999633122030823,0.012418621184527585,0.0013052600165807068,0.9099641,Staphylococcus aureus,species,
GCA_032986985.1,3,markers + neural network,0.5217391,0.0942029,1.0,0.0,0.9992657763491697,0.016977902393813627,1897.0,1.0,0.0033145678818347554,0.0013814747000656174,0.7986484,Klebsiella pneumoniae,species,
GCA_002131925.1,3,markers + neural network,0.49275362,0.06521739,1.0,0.009259259,1.0,0.0012853470437017994,778.0,1.0,0.009401705052388,0.0013601534475715645,0.78878444,Listeria,genus,
GCA_001672385.1,3,markers + neural network,0.5,0.10869565,1.0,0.009259259,1.0,0.007232401157184185,1037.0,1.0,0.0,0.0012493399339244798,0.68419766,Mesorhizobium,genus,
GCA_023711325.1,3,markers + neural network,0.5072464,0.10144927,1.0,0.046296295,1.0,0.08136436080022189,1676.0,1.0,0.04763931420363337,0.0014660139717505483,0.71147907,Enterobacter hormaechei,species,
GCA_020710135.1,3,markers + neural network,0.5072464,0.072463766,1.0,0.0,0.9990870359099209,0.005893690442429472,1643.0,1.0,0.0,0.001343839534612246,0.76944155,Citrobacter,genus,
GCA_900156585.1,3,markers + neural network,0.5,0.07971015,1.0,0.0,1.0,0.05299289921246332,1033.0,1.0,0.009491055965408238,0.0009024222273010628,0.70636255,Chryseobacterium,genus,
GCA_026775825.1,3,markers + neural network,0.5072464,0.072463766,1.0,0.009259259,0.9998800383877159,0.017806109906158156,2084.0,1.0,0.0027089201061370125,0.0013979911147128747,0.82185036,Escherichia coli,species,
GCA_034365975.1,3,markers + neural network,0.5,0.06521739,1.0,0.018518519,1.0,0.0010574713246575718,1450.0,1.0,0.01496906016435983,0.0013029531194989723,0.9091322,Staphylococcus aureus,species,
GCA_901227525.1,3,markers + neural network,0.5072464,0.072463766,1.0,0.018518519,0.9994292237442922,0.006441617665225512,876.0,1.0,0.0,0.00146526602858673,0.7967173,Streptococcus,genus,
GCA_901217055.1,3,markers + neural network,0.5,0.06521739,1.0,0.009259259,1.0,0.004608294930875576,868.0,1.0,0.0,0.00143910434689989,0.7982944,Streptococcus,genus,
GCA_013393275.1,3,markers + neural network,0.5,0.08695652,1.0,0.0,1.0,0.015282738208770751,800.0,1.0,0.0,0.0011363047723768561,0.68092066,Micrococcaceae,family,
GCA_000335455.2,3,markers + neural network,0.51449275,0.06521739,1.0,0.018518519,1.0,0.002453604397988166,1868.0,1.0,0.0,0.0014363954003410394,0.81285256,Escherichia coli,species,
GCA_052284055.1,3,markers + neural network,0.49275362,0.050724637,1.0,0.027777778,1.0,0.025494672754946726,657.0,1.0,0.014404866972179964,0.0010721705001654814,0.6763414,Flavobacterium,genus,
GCA_048732715.1,3,markers + neural network,0.5,0.06521739,1.0,0.009259259,0.9988674971687429,0.002642506786272993,883.0,1.0,0.0,0.0014710741731590138,0.80064476,Streptococcus,genus,
GCA_901261215.1,3,markers + neural network,0.5072464,0.06521739,1.0,0.009259259,1.0,0.0015100038200110569,883.0,1.0,0.0,0.0014578230513357868,0.8028967,Streptococcus,genus,
GCA_000487695.1,3,markers + neural network,0.5072464,0.072463766,0.9907407,0.0,0.9891567230224609,0.007227182388305664,1920.0,0.9910066991645662,0.0,0.0014209887857101237,0.82665944,Salmonella enterica,species,
GCA_025603215.1,3,markers + neural network,0.5,0.10869565,1.0,0.037037037,0.9996806606598432,0.08538659391502885,1435.0,1.0,0.08746583867838281,0.0012057120983358328,0.74461246,Acinetobacter baumannii,species,
GCA_049769515.1,3,markers + neural network,0.5217391,0.08695652,1.0,0.0,0.9983426823049465,0.011209494723524747,1961.0,1.0,0.001467874093237169,0.0013768400661555752,0.8304737,Klebsiella pneumoniae,species,
GCA_023712025.1,3,markers + neural network,0.5072464,0.10869565,1.0,0.046296295,0.9988516321290818,0.06931322302341175,1669.0,1.0,0.03079059187589401,0.0014431827473666901,0.7172677,Enterobacter hormaechei,species,
GCA_003415475.1,3,markers + neural network,0.49275362,0.06521739,1.0,0.009259259,1.0,0.008587786259541985,1048.0,1.0,0.004811111019126388,0.0014202746516576664,0.8324092,Haemophilus,genus,
GCA_014856735.1,3,markers + neural network,0.5,0.072463766,1.0,0.018518519,1.0,0.0,610.0,1.0,0.0,0.001164438350823404,0.6906554,Xanthomonadaceae,family,
GCA_028594865.1,3,markers + neural network,0.5072464,0.072463766,1.0,0.009259259,0.9949105682294352,0.0049510058697626235,1939.0,0.9950012531497465,0.0,0.0014375289614807808,0.8201125,Escherichia coli,species,
GCA_023710385.1,3,markers + neural network,0.5072464,0.10869565,1.0,0.046296295,0.9999481218580647,0.04529989778961512,1753.0,1.0,0.03189890985152968,0.0013810511002278257,0.7507684,Enterobacter,genus,
GCA_034156625.1,3,markers + neural network,0.5072464,0.072463766,1.0,0.037037037,0.9997402597402597,0.01728633335658482,1925.0,1.0,0.0,0.0014160489268787544,0.80093044,Escherichia coli,species,
GCA_037722585.1,3,markers + neural network,0.5,0.057971016,1.0,0.009259259,0.999860192464989,0.0014677103718199608,1022.0,1.0,0.0,0.0012926827000845984,0.7992155,Neisseria,genus,
GCA_052861235.1,3,markers + neural network,0.5,0.057971016,1.0,0.009259259,1.0,0.01634191731380387,1459.0,0.9988562326097672,0.024271201368751487,0.0013133445017833837,0.88449866,Staphylococcus aureus,species,
GCA_037719645.1,3,markers + neural network,0.5,0.0942029,1.0,0.0,0.999860192464989,0.008153947132207642,1022.0,1.0,0.0019312068203795538,0.0012992699848666158,0.8003238,Neisseria,genus,
GCA_023791835.1,3,markers + neural network,0.5072464,0.10144927,1.0,0.0,1.0,0.008974359789465227,1170.0,1.0,0.0,0.0012698695408132903,0.6943079,Pseudomonas,genus,
GCA_018012755.1,3,markers + neural network,0.49275362,0.06521739,1.0,0.009259259,1.0,0.016709511568123392,778.0,1.0,0.038235034212137586,0.0013447779070191268,0.75427973,Listeria,genus,
GCA_014856745.1,3,markers + neural network,0.5,0.072463766,1.0,0.018518519,1.0,0.001658374792703151,603.0,1.0,0.0,0.0011611991361997697,0.6890103,Xanthomonadaceae,family,
GCA_042040255.1,3,markers + neural network,0.5,0.050724637,1.0,0.0,0.999860192464989,0.002772341968961891,1022.0,1.0,0.0,0.001313982923585189,0.80970544,Neisseria,genus,
GCA_000486835.1,3,markers + neural network,0.5072464,0.072463766,1.0,0.018518519,0.9974910574343976,0.03624325331142548,1934.0,1.0,0.01870503886980148,0.0014302322488574791,0.79679483,Salmonella enterica,species,
GCA_034010535.1,3,markers + neural network,0.49275362,0.057971016,1.0,0.0,0.9993952753851129,0.004651406073727254,1063.0,0.997681085731446,0.045517062609217576,0.001285839297868245,0.83977,Pasteurella,genus,
GCA_052193535.1,3,markers + neural network,0.49275362,0.06521739,1.0,0.009259259,1.0,0.006426735218508998,778.0,1.0,0.03150634478864486,0.0013525122718864204,0.7664653,Listeria,genus,
GCA_023711525.1,3,markers + neural network,0.5072464,0.0942029,1.0,0.0,0.9999403486957413,0.0008497866924167533,1676.0,1.0,0.0,0.0013586738567199703,0.8067801,Enterobacter hormaechei,species,
GCA_901301675.1,3,markers + neural network,0.5,0.06521739,1.0,0.009259259,1.0,0.003044766215135425,868.0,1.0,0.0,0.0014556298639704316,0.8049693,Streptococcus,genus,
GCA_021137315.1,3,markers + neural network,0.5217391,0.0942029,1.0,0.0,0.9997307807283642,0.000684814264545333,1947.0,1.0,0.006866432610642695,0.001336027345638123,0.8448534,Klebsiella pneumoniae,species,
