tier	group_key	draft_accession	complete_accession	organism	group	species_taxid	strain	draft_level	complete_level	draft_biosample	complete_biosample	draft_contigs	complete_contigs	draft_bp	complete_bp	size_ratio_draft_over_complete	draft_gc	complete_gc	draft_excluded_from_refseq	complete_excluded_from_refseq	draft_submitter	complete_submitter	draft_release_date	complete_release_date	n_complete_in_group	n_draft_in_group	draft_ftp	complete_ftp	ratio
same_biosample	SAMN02463843	GCA_000090875.1	GCA_005886145.1	Neisseria sp. oral taxon 014 str. F0314	bacteria	641148	strain=F0314	Scaffold	Chromosome	SAMN02463843	SAMN02463843	48	1	2515760	2502158	1.0054	53.000000	53.000000	na	na	Broad Institute	University of Technology Sydney	2010-06-14	2019-05-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/875/GCA_000090875.1_ASM9087v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/145/GCA_005886145.1_ASM588614v1/	1.0054
same_biosample	SAMN02595231	GCA_000155535.1	GCA_001267475.1	Francisella tularensis subsp. tularensis MA00-2987	bacteria	263	strain=MA00-2987	Scaffold	Complete Genome	SAMN02595231	SAMN02595231	33	1	1871868	1892645	0.9890	32.000000	32.500000	na	na	Broad Institute	Virginia Polytechnic Institute and State University	2008-08-28	2015-08-14	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/535/GCA_000155535.1_ASM15553v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/267/475/GCA_001267475.1_ASM126747v1/	0.989
same_biosample	SAMN00210774	GCA_000185325.1	GCA_005886055.1	Aliarcobacter butzleri JV22	bacteria	28197	strain=JV22	Scaffold	Complete Genome	SAMN00210774	SAMN00210774	78	1	2302726	2297844	1.0021	27.000000	27.000000	na	na	Baylor College of Medicine	University of Technology Sydney	2011-01-14	2019-05-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/325/GCA_000185325.1_ASM18532v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/055/GCA_005886055.1_ASM588605v1/	1.0021
same_biosample	SAMN00710627	GCA_000188455.2	GCA_003073575.1	Salmonella enterica subsp. enterica serovar Montevideo str. 531954	bacteria	28901	strain=531954	Contig	Complete Genome	SAMN00710627	SAMN00710627	132	1	4324453	4694397	0.9212	52.500000	52.000000	na	na	FDA	Center for Food Safety and Applied Nutrition	2011-02-08	2018-04-30	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/455/GCA_000188455.2_ASM18845v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/575/GCA_003073575.1_ASM307357v1/	0.9212
same_biosample	SAMN02952920	GCA_000195415.2	GCA_009649015.1	Vibrio parahaemolyticus 10329	bacteria	670	strain=10329	Contig	Complete Genome	SAMN02952920	SAMN02952920	33	2	5093003	5144090	0.9901	45.500000	45.500000	na	na	FDA	FDA Center for Food Safety and Applied Nutrition	2011-04-07	2019-11-11	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/415/GCA_000195415.2_ASM19541v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/649/015/GCA_009649015.1_ASM964901v1/	0.9901
same_biosample	SAMN02470504	GCA_000256465.2	GCA_038442155.1	Vibrio cyclitrophicus ZF270	bacteria	47951	strain=ZF270	Scaffold	Complete Genome	SAMN02470504	SAMN02470504	244	4	5182207	5284523	0.9806	43.500000	43.500000	na	na	Massachusetts Institute of Technology	Principles of Microbial Ecosystems (PriME)	2016-09-16	2024-04-23	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/256/465/GCA_000256465.2_ASM25646v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/442/155/GCA_038442155.1_ASM3844215v1/	0.9806
same_biosample	SAMN02471767	GCA_000258925.1	GCA_001553195.1	Mycoplasmopsis canis PG 14	bacteria	29555	strain=PG 14	Contig	Complete Genome	SAMN02471767	SAMN02471767	6	1	867208	897443	0.9663	27.000000	27.000000	na	na	University of Florida	University of Florida	2012-04-17	2016-02-08	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/925/GCA_000258925.1_ASM25892v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/195/GCA_001553195.1_ASM155319v1/	0.9663
same_biosample	SAMN02463711	GCA_000273625.1	GCA_000158275.2	Fusobacterium animalis 7_1	bacteria	76859	strain=7_1	Contig	Complete Genome	SAMN02463711	SAMN02463711	4	2	2515488	2514029	1.0006	27.000000	27.000000	na	na	Broad Institute	Broad Institute	2012-06-15	2014-02-03	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/273/625/GCA_000273625.1_PB_Fuso_sp_7_1_V1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/275/GCA_000158275.2_ASM15827v2/	1.0006
same_biosample	SAMN02470677	GCA_000331815.1	GCA_002023665.2	Elizabethkingia anophelis R26	bacteria	1117645	strain=R26	Contig	Complete Genome	SAMN02470677	SAMN02470677	66	1	4032720	4058311	0.9937	35.500000	35.500000	na	na	Stockholm University	CDC	2013-01-15	2017-09-18	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/815/GCA_000331815.1_ASM33181v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/023/665/GCA_002023665.2_ASM202366v2/	0.9937
same_biosample	SAMN02469793	GCA_000331875.1	GCA_002155245.1	Ralstonia solanacearum FJAT-91	bacteria	305	strain=FJAT-91	Contig	Complete Genome	SAMN02469793	SAMN02469793	1322	2	5407139	5874087	0.9205	66.500000	67.000000	unverified source organism	unverified source organism	Fujian Academy of Agricultural Sciences, Fuzhou, Fujian, PR China	Fujian Academy of Agricultural Science	2013-01-16	2017-05-22	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/875/GCA_000331875.1_FJAT-91/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/155/245/GCA_002155245.1_ASM215524v1/	0.9205
