accession	cohort	v5_completeness	v5_contamination	v5_mimag	checkm2_completeness	checkm2_contamination	checkm2_mimag	total_bp	log10_total_bp	n_contigs	n50	longest_contig	mean_contig_bp	gc_pct	has_kraken2_output
GCA_000431375.1	agree_clean	99.95534	0.015333295	HQ	91.79	1.46	HQ	3321570	6.5213	104	69067	178745	31938.2	44.061	False
GCA_000994635.1	neither_hq	57.12647	9.410318	MQ	81.62	5.62	MQ	654024	5.8156	65	11655	28251	10061.9	39.862	False
GCA_001724675.1	neither_hq	50.25943	0.17394125	MQ	54.73	0.77	MQ	1226123	6.0885	128	9921	28327	9579.1	65.491	False
GCA_001775355.1	neither_hq	76.665054	0.46458542	MQ	74.82	1.24	MQ	1951274	6.2903	160	14089	57503	12195.5	43.295	False
GCA_001782045.1	agree_clean	99.902405	1.1345923	HQ	99.7	1.4	HQ	798884	5.9025	12	151833	335607	66573.7	35.202	False
GCA_001782735.1	disagreement_141	81.07164	5.3582726	MQ	96.77	0.54	HQ	848748	5.9288	23	67654	164614	36902.1	39.978	True
GCA_001797105.1	v5hq_only	99.57771	0.10821521	HQ	79.51	4.77	MQ	4012724	6.6034	144	40640	119181	27866.1	62.332	True
GCA_001831115.1	neither_hq	74.27506	0.5398333	MQ	51.55	2.53	MQ	3338610	6.5236	443	7452	21684	7536.4	61.787	False
GCA_001919445.1	neither_hq	52.692993	2.7347445	MQ	50.02	1.84	MQ	1955410	6.2912	151	12961	54714	12949.7	60.329	False
GCA_002070265.1	disagreement_141	68.92568	22.423273	LQ	95.31	0.71	HQ	2946271	6.4693	93	109678	233308	31680.3	38.898	True
GCA_002128215.1	neither_hq	92.897064	32.13293	LQ	76.83	27.07	LQ	3458612	6.5389	3221	1168	8141	1073.8	69.194	False
GCA_002163065.1	neither_hq	69.17417	1.710245	MQ	74.44	0.46	MQ	1955517	6.2913	198	17759	66377	9876.3	30.62	False
GCA_002297865.1	v5hq_only	99.51625	4.052201	HQ	90.27	8.33	MQ	4296631	6.6331	439	12950	86018	9787.3	35.978	True
GCA_002308295.1	neither_hq	75.12591	0.021344423	MQ	68.16	0.32	MQ	1624273	6.2107	180	11530	32609	9023.7	49.496	False
GCA_002366485.1	agree_clean	99.4857	0.20258129	HQ	91.37	1.04	HQ	3282934	6.5163	51	107864	217244	64371.3	58.559	False
GCA_002368875.1	neither_hq	77.75314	0.08959472	MQ	81.68	0.21	MQ	1406368	6.1481	127	17717	78442	11073.8	32.231	False
GCA_002394505.1	neither_hq	86.93481	0.18796921	MQ	74.15	3.52	MQ	1986881	6.2982	226	10971	43672	8791.5	45.33	False
GCA_002426935.1	v5hq_only	97.7343	0.20889044	HQ	89.19	3.17	MQ	3035240	6.4822	99	41315	133255	30659.0	46.733	True
GCA_002430625.1	agree_clean	99.44719	0.37239194	HQ	90.2	0.68	HQ	874375	5.9417	28	37912	101619	31227.7	51.368	False
GCA_002440965.1	disagreement_141	76.042114	1.857701	MQ	94.05	0.31	HQ	1594747	6.2027	39	59407	169683	40890.9	41.877	True
GCA_002685775.1	neither_hq	65.22231	16.903353	LQ	69.92	0.37	MQ	873883	5.9415	58	18161	51025	15066.9	32.365	False
GCA_002730975.1	disagreement_141	66.96346	10.941413	LQ	93.28	3.82	HQ	3847701	6.5852	152	35440	118283	25313.8	50.37	True
GCA_002737665.1	neither_hq	68.76479	0.15565753	MQ	66.14	0.85	MQ	1652972	6.2183	60	36273	76357	27549.5	35.851	False
GCA_002783685.1	agree_clean	99.85094	0.89696646	HQ	96.51	0.8	HQ	2265775	6.3552	276	10336	29153	8209.3	40.15	False
GCA_002783865.1	neither_hq	78.230865	0.33693016	MQ	89.9	0.5	MQ	2689483	6.4297	180	20243	75373	14941.6	57.697	False
GCA_002792165.1	disagreement_141	57.782135	11.139044	LQ	93.39	0.0	HQ	486256	5.6869	41	16797	57996	11859.9	40.412	True
GCA_002869005.1	agree_clean	99.68038	3.4412146	HQ	92.37	1.27	HQ	2596829	6.4144	192	22954	83732	13525.2	55.055	False
GCA_003137095.1	agree_clean	99.91893	0.2251178	HQ	91.88	4.22	HQ	4736042	6.6754	129	72557	175772	36713.5	65.183	False
GCA_003137115.1	neither_hq	59.427567	0.5277842	MQ	58.58	2.0	MQ	1543902	6.1886	69	39279	98561	22375.4	64.247	False
GCA_003156805.1	agree_clean	99.23868	0.19333363	HQ	94.67	0.57	HQ	5032658	6.7018	75	89029	441511	67102.1	58.532	False
GCA_003331885.1	neither_hq	59.364807	13.407165	LQ	61.71	0.0	MQ	870081	5.9396	36	28309	97093	24168.9	28.372	False
GCA_003447775.1	agree_clean	99.78046	0.60507953	HQ	100.0	0.15	HQ	4483590	6.6516	69	111676	326981	64979.6	50.779	False
GCA_003485665.1	v5hq_only	90.213295	0.37389994	HQ	76.34	0.27	MQ	3265063	6.5139	421	9514	48206	7755.5	70.015	True
GCA_003509585.1	neither_hq	50.682034	0.04028678	MQ	52.8	0.08	MQ	900410	5.9544	160	6464	29467	5627.6	35.372	False
GCA_003511635.1	disagreement_141	65.75756	38.245586	LQ	94.91	0.5	HQ	1088274	6.0367	21	72242	227016	51822.6	35.914	True
GCA_004173945.1	neither_hq	83.00401	67.99385	LQ	76.46	53.05	LQ	10757792	7.0317	5535	1931	28818	1943.6	70.57	False
GCA_004321685.1	neither_hq	53.661163	1.0080606	MQ	54.68	0.39	MQ	1042657	6.0181	86	14046	47988	12123.9	62.019	False
GCA_004357305.1	neither_hq	73.27904	0.77236295	MQ	76.35	4.34	MQ	3250032	6.5119	301	11544	50305	10797.4	55.173	False
GCA_005779265.1	neither_hq	50.78427	0.0018596649	MQ	21.23	0.21	LQ	1846017	6.2662	470	3903	12270	3927.7	73.07	False
GCA_005790305.1	neither_hq	94.49833	21.397617	LQ	92.57	56.4	LQ	13107160	7.1175	1200	13786	79304	10922.6	59.611	False
GCA_005879725.1	neither_hq	62.313976	1.3917595	MQ	63.29	3.83	MQ	2502707	6.3984	513	5613	20242	4878.6	67.895	False
GCA_005880365.1	neither_hq	55.419514	1.9847572	MQ	64.14	0.89	MQ	2485608	6.3954	769	4138	20025	3232.3	52.343	False
GCA_008661915.1	v5hq_only	99.89606	0.54568946	HQ	83.88	2.49	MQ	4096875	6.6125	611	8104	46716	6705.2	41.218	True
GCA_009783085.1	agree_clean	99.914474	0.0007122755	HQ	92.46	0.55	HQ	1578423	6.1982	19	155262	257108	83074.9	49.849	False
GCA_009784235.1	disagreement_141	74.838554	1.1353403	MQ	98.49	0.0	HQ	874588	5.9418	3	312735	376703	291529.3	45.822	True
GCA_009843765.1	agree_clean	94.21657	1.06543	HQ	93.22	2.31	HQ	3087209	6.4896	310	13400	51958	9958.7	69.075	False
GCA_010022465.1	neither_hq	53.374767	0.00046491623	MQ	72.32	0.6	MQ	1229181	6.0896	462	3120	12874	2660.6	61.089	False
GCA_010023795.1	neither_hq	72.58535	1.0191768	MQ	71.83	3.34	MQ	997221	5.9988	375	3090	14479	2659.3	45.824	False
GCA_012034075.1	v5hq_only	99.838264	1.8475413	HQ	88.9	2.66	MQ	5005010	6.6994	369	20871	81388	13563.7	54.53	True
GCA_012729715.1	agree_clean	98.6978	0.45121312	HQ	93.12	3.92	HQ	2674193	6.4272	298	15466	66688	8973.8	43.221	False
GCA_012841225.1	neither_hq	67.60196	0.3159821	MQ	77.41	0.87	MQ	1798676	6.255	325	7341	39805	5534.4	41.177	False
GCA_012963765.1	disagreement_141	77.580444	7.639396	MQ	91.15	1.24	HQ	2465736	6.3919	309	12783	47207	7979.7	42.606	True
GCA_012964545.1	neither_hq	77.96179	20.53345	LQ	75.12	4.86	MQ	2131511	6.3287	295	10506	49517	7225.5	52.628	False
GCA_013043585.1	neither_hq	73.68867	0.15457869	MQ	84.43	5.8	MQ	2614299	6.4174	376	8365	39640	6952.9	58.097	False
GCA_013334385.1	neither_hq	52.35001	0.088593364	MQ	38.14	0.26	LQ	1451103	6.1617	492	3074	18960	2949.4	66.896	False
GCA_014377455.1	agree_clean	99.935715	2.5003672	HQ	95.01	2.77	HQ	3285859	6.5166	269	28180	145442	12215.1	31.042	False
GCA_014868575.1	neither_hq	77.701584	0.051683187	MQ	77.44	0.1	MQ	1760993	6.2458	52	56693	223781	33865.2	60.104	False
