accession	stratum	phylum	domain	phylum_reference_genomes	genome_size	n_contigs_meta	n_sequences_scored	informative_kmers	total_kmers	informative_kmer_density
GCA_948916415.1	well_represented	Spirochaetota	Bacteria	1112	2208957	65	57	132475	2205955	0.06005336
GCA_001719185.1	well_represented	Bacillota	Bacteria	25384	4100094	1	1	3983766	4100060	0.97163602
GCA_041327595.1	well_represented	Bacillota	Bacteria	25384	3667582	2	2	2511701	3667514	0.6848511
GCA_948541585.1	well_represented	Actinomycetota	Bacteria	11981	2169666	41	41	1796352	2168272	0.8284717
GCA_000216355.3	well_represented	Spirochaetota	Bacteria	1112	4581018	43	43	4192103	4579461	0.91541406
GCA_002306255.1	well_represented	Campylobacterota	Bacteria	6218	2843595	48	46	2142699	2841913	0.75396362
GCA_041358055.1	well_represented	Verrucomicrobiota	Bacteria	1552	3190197	26	26	3118981	3189313	0.9779476
GCA_037301735.1	well_represented	Bacillota	Bacteria	25384	2191561	70	70	64819	2189181	0.02960879
GCA_037429685.1	well_represented	Bacteroidota	Bacteria	10359	4328736	98	98	4146658	4325404	0.95867531
GCA_948795145.1	well_represented	Cyanobacteriota	Bacteria	1645	2184664	39	34	16243	2182933	0.00744091
GCA_032075505.1	well_represented	Pseudomonadota	Bacteria	32461	4448846	10	5	4249895	4448011	0.95545964
GCA_948722445.1	well_represented	Bacteroidota	Bacteria	10359	2480034	87	84	57847	2476779	0.02335574
GCA_949109105.1	well_represented	Bacteroidota	Bacteria	10359	2084241	32	25	69583	2082460	0.03341385
GCA_947429255.1	well_represented	Pseudomonadota	Bacteria	32461	1654137	40	40	18230	1652777	0.01102992
GCA_902364065.1	well_represented	Bacillota	Bacteria	25384	2580820	87	68	96577	2577489	0.03746941
GCA_903871605.1	well_represented	Pseudomonadota	Bacteria	32461	4276050	54	54	515761	4274214	0.12066803
GCA_948650875.1	well_represented	Verrucomicrobiota	Bacteria	1552	2703728	36	26	2538218	2702205	0.93931363
GCA_032574495.1	well_represented	Bacillota	Bacteria	25384	2952620	54	54	2794460	2950784	0.94702289
GCA_015689575.1	well_represented	Pseudomonadota	Bacteria	32461	2522572	9	9	125765	2522266	0.04986191
GCA_900047095.1	well_represented	Pseudomonadota	Bacteria	32461	4916758	55	52	4859435	4914650	0.98876522
GCA_000983565.1	well_represented	Pseudomonadota	Bacteria	32461	4466601	90	6	4408840	4461479	0.98820145
GCA_948633175.1	well_represented	Bacteroidota	Bacteria	10359	2509170	34	27	37403	2507411	0.01491698
GCA_949505765.1	well_represented	Pseudomonadota	Bacteria	32461	2053490	50	50	35290	2051790	0.01719962
GCA_948908125.1	well_represented	Bacteroidota	Bacteria	10359	2734201	87	72	54062	2730546	0.01979897
GCA_938039655.1	well_represented	Bacteroidota	Bacteria	10359	2379869	27	27	66162	2378951	0.02781142
GCA_039963425.1	well_represented	Bacteroidota	Bacteria	10359	4885677	8	8	70593	4885405	0.01444977
GCA_041331615.1	well_represented	Bacillota	Bacteria	25384	3773961	6	6	553703	3773757	0.1467246
GCA_948674305.1	well_represented	Bacteroidota	Bacteria	10359	2808778	66	54	47177	2805698	0.01681471
GCA_032553355.1	well_represented	Bacillota	Bacteria	25384	2787438	25	25	2644979	2786588	0.94918194
GCA_947571065.1	well_represented	Bacteroidota	Bacteria	10359	2549260	76	76	40572	2546676	0.01593136
GCA_021796435.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1625443	29	28	12635	1624448	0.00777803
GCA_003484695.1	cpr_dpann	Patescibacteriota	Bacteria	1609	974221	18	17	3515	973065	0.0036123
GCA_035389765.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1145458	29	16	4597	1143185	0.00402122
GCA_963998405.1	cpr_dpann	Patescibacteriota	Bacteria	1609	915879	8	8	4954	915607	0.00541062
GCA_001825035.1	cpr_dpann	Patescibacteriota	Bacteria	1609	676968	33	9	3118	674851	0.00462028
GCA_007379055.1	cpr_dpann	Patescibacteriota	Bacteria	1609	1022626	25	24	6752	1021672	0.00660877
