accession	cohort	v5_completeness	v5_contamination	checkm2_completeness	checkm2_contamination	total_bp	n_contigs	classified_bp	unclassified_pct	orig_phylum_dominant	orig_phylum_dominant_pct	orig_phylum_contam_pct	orig_n_phyla	strict_phylum_dominant	strict_phylum_dominant_pct	strict_phylum_contam_pct	strict_n_phyla	strict_qualifying_bp	strict_qualifying_bp_frac	strict_n_qualifying_contigs	total_kmers	informative_kmers	informative_kmer_density	mean_contig_confidence_bpw	asm_total_bp	asm_n_contigs	asm_n50	asm_gc_pct
GCA_001782735.1	disagreement_141	81.07164	5.3582726	96.77	0.54	848748	23	677692	20.154	Pseudomonadota	24.974	26.54	5	unresolved			0	0	0.0	0	845135	296	0.00035	0.000201	848748	23	67654	39.978
GCA_002070265.1	disagreement_141	68.92568	22.423273	95.31	0.71	2946271	93	2774341	5.836	Bacteroidota	86.993	3.64	5	unresolved			0	0	0.0	0	2943109	3763	0.001279	0.000249	2946271	93	109678	38.898
GCA_002440965.1	disagreement_141	76.042114	1.857701	94.05	0.31	1594747	39	1476920	7.388	Pseudomonadota	43.026	19.907	6	unresolved			0	0	0.0	0	1592802	844	0.00053	0.000219	1594747	39	59407	41.877
GCA_002730975.1	disagreement_141	66.96346	10.941413	93.28	3.82	3847701	152	2876127	25.251	Pseudomonadota	22.853	31.47	10	unresolved			0	0	0.0	0	3824227	1576	0.000412	0.000208	3847701	152	35440	50.37
GCA_002792165.1	disagreement_141	57.782135	11.139044	93.39	0.0	486256	41	320570	34.074	Bacillota	15.682	33.715	7	unresolved			0	0	0.0	0	482909	313	0.000648	0.000414	486256	41	16797	40.412
GCA_003511635.1	disagreement_141	65.75756	38.245586	94.91	0.5	1088274	21	1047158	3.778	Pseudomonadota	29.041	20.812	4	unresolved			0	0	0.0	0	1087321	682	0.000627	0.000211	1088274	21	72242	35.914
GCA_009784235.1	disagreement_141	74.838554	1.1353403	98.49	0.0	874588	3	874588	0.0	Pseudomonadota	100.0	0.0	1	unresolved			0	0	0.0	0	874486	587	0.000671	5.7e-05	874588	3	312735	45.822
GCA_012963765.1	disagreement_141	77.580444	7.639396	91.15	1.24	2465736	309	1514796	38.566	Pseudomonadota	27.47	19.674	10	unresolved			0	0	0.0	0	2449378	1650	0.000674	0.000527	2465736	309	12783	42.606
GCA_015067545.1	disagreement_141	80.86024	7.0765467	97.69	0.04	1801424	18	1774362	1.502	Bacillota	92.597	1.503	2	unresolved			0	0	0.0	0	1800812	2877	0.001598	0.000156	1801424	18	137094	52.159
GCA_015068615.1	disagreement_141	64.47526	2.166897	90.74	1.17	1324291	74	1151147	13.074	Bacillota	37.939	28.536	5	unresolved			0	0	0.0	0	1321689	1487	0.001125	0.000523	1324291	74	24755	48.057
