bin_id	assembly	accession	n_contigs	bin_bp	bin_n50	ref_len	covered_ref_bp	contam_bp	unaligned_bp	bin_bp_per_covered_ref_bp	true_completeness	true_contamination	true_contamination_upper	in_mock1	bin_fasta	organism	kingdom	gtdb_phylum	genome_status	gc_pct	mock1_pct	split	leakage_free	ref_nseq
illumina__GCA_000017945.1	illumina	GCA_000017945.1	6	1297579	687459	1297538	1297148	0	132	1.0003	99.969943	0.0	0.010173	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000017945.1.fasta	Ignicoccus hospitalis	Archaea	Thermoproteota	Complete	56.5	2.8386032717915723	train	False	1
illumina__GCA_000010305.1	illumina	GCA_000010305.1	7	4635768	1599795	4636964	4634924	0	143	1.0002	99.956006	0.0	0.003084	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000010305.1.fasta	Gemmatimonas aurantiaca	Bacteria	Gemmatimonadota	Complete	64.3	2.414901248417184	train	False	1
illumina__GCA_000011105.1	illumina	GCA_000011105.1	13	1739301	1177185	1738505	1737568	0	2043	1.001	99.946103	0.0	0.117515	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000011105.1.fasta	Pyrococcus horikoshii	Archaea	Methanobacteriota_B	Complete	41.9	5.855518337574474	train	False	1
illumina__GCA_000021565.1	illumina	GCA_000021565.1	9	1978481	1158983	1983966	1979027	0	442	0.9997	99.751054	0.0	0.022279	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000021565.1.fasta	Persephonella marina	Bacteria	Aquificota	Complete	37.1	2.806237421402552	val	False	2
illumina__GCA_001481685.1	illumina	GCA_001481685.1	11	1392016	400488	1394664	1391189	0	182	1.0006	99.750836	0.0	0.01305	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_001481685.1.fasta	Ignicoccus islandicus	Archaea	Thermoproteota	Complete	44.9	1.095389379111179	train	False	1
illumina__GCA_000091665.1	illumina	GCA_000091665.1	13	1736839	401137	1739927	1734065	0	399	1.0016	99.663089	0.0	0.022932	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000091665.1.fasta	Methanocaldococcus jannaschii	Archaea	Methanobacteriota_A	Complete	31.3	5.645801351648397	train	False	3
illumina__GCA_000008085.1	illumina	GCA_000008085.1	4	487547	142597	490885	489231	0	98	0.9966	99.663058	0.0	0.019964	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000008085.1.fasta	Nanoarchaeum equitans	Archaea	Nanoarchaeota	Complete	31.6	0.9556564428044254	train	False	1
illumina__GCA_000018945.1	illumina	GCA_000018945.1	36	1878944	173838	1884562	1876690	0	662	1.0012	99.58229	0.0	0.035128	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000018945.1.fasta	Thermotoga neapolitana	Bacteria	Thermotogota	Complete	46.9	1.6074819757894294	test	True	1
illumina__GCA_000016085.1	illumina	GCA_000016085.1	24	1957409	273884	1966858	1958525	0	904	0.9994	99.576329	0.0	0.045962	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000016085.1.fasta	Chlorobium phaeovibrioides	Bacteria	Bacteroidota	Complete	53.0	1.2939175424119185	none	True	1
illumina__GCA_000020785.1	illumina	GCA_000020785.1	31	1549069	146637	1559514	1547609	0	593	1.0009	99.236621	0.0	0.038025	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000020785.1.fasta	Hydrogenobaculum sp000020785	Bacteria	Aquificota	Complete	34.8	1.6318937727031608	train	False	1
illumina__GCA_000166095.1	illumina	GCA_000166095.1	32	1235910	109076	1243342	1233621	0	629	1.0019	99.218156	0.0	0.050589	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000166095.1.fasta	Methanothermus fervidus	Archaea	Methanobacteriota	Complete	31.6	7.183339758983122	val	False	1
illumina__GCA_000006985.1	illumina	GCA_000006985.1	49	2135385	85485	2154946	2134440	0	1072	1.0004	99.048422	0.0	0.049746	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000006985.1.fasta	Chlorobaculum tepidum	Bacteria	Bacteroidota	Complete	56.5	0.2432820526872879	test	True	1
illumina__GCA_000196115.1	illumina	GCA_000196115.1	165	7082221	250207	7145576	7076952	0	3648	1.0007	99.03963	0.0	0.051053	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000196115.1.fasta	Rhodopirellula baltica	Bacteria	Planctomycetota	Complete	55.4	1.3177841732417428	none	True	1
illumina__GCA_000018565.1	illumina	GCA_000018565.1	142	6721300	221006	6785430	6713017	0	2737	1.0012	98.932816	0.0	0.040336	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000018565.1.fasta	Herpetosiphon aurantiacus	Bacteria	Chloroflexota	Complete	50.9	1.650232403204518	train	False	3
illumina__GCA_000009225.1	illumina	GCA_000009225.1	371	6675892	35864	6722539	6642840	24442	8815	1.005	98.814451	0.363583	0.494709	True	/path/to/magicc/data/real_data/meslier2022/bins/illumina/GCA_000009225.1.fasta	Pseudomonas fluorescens	Bacteria	Proteobacteria (g)	Complete	60.0	1.069308679608532	none	True	1
