# set_H_ncbi — 400 unique dominant reference genomes, 10 independent simulations each.
# Selected by NCBI assembly_level == "Complete Genome" with NO CheckM2 filter (R1-m13 circularity safeguard).
# in_curation_pool_277k = the genome WOULD have entered the project's CheckM2-filtered reference pool.
dominant_accession	dominant_phylum	dominant_taxonomy	dominant_reference_bp	ref_index	arm	pair_id	match_level	would_pass_original_filter	checkm2_severity	ref_checkm2_completeness	ref_checkm2_contamination	ref_contig_count	ref_n50_contigs	ref_ncbi_assembly_level	canonical_key	in_train	in_val	in_test	in_kmer_selection	in_curation_pool_277k
GB_GCA_000272795.2	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	4726694	0	H_fail	pair_0000	species	False	moderate	91.89	1.61	1	4726694	Complete Genome	000272795	False	False	False	False	False
RS_GCF_004847745.1	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	4726558	1	H_pass	pair_0000	species	True	pass	100.0	0.15	1	4726558	Complete Genome	004847745	False	False	False	False	True
GB_GCA_000389905.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	4404786	2	H_fail	pair_0001	species	False	severe	85.98	4.38	1	4404786	Complete Genome	000389905	False	False	False	False	False
RS_GCF_014900835.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	4404858	3	H_pass	pair_0001	species	True	pass	100.0	0.5	1	4404858	Complete Genome	014900835	False	False	False	False	True
GB_GCA_000389925.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	4392876	4	H_fail	pair_0002	species	False	severe	84.94	7.32	1	4392876	Complete Genome	000389925	False	False	False	False	False
RS_GCF_000350205.1	Actinomycetota	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	4392353	5	H_pass	pair_0002	species	True	pass	100.0	1.06	1	4392353	Complete Genome	000350205	False	False	False	False	True
GB_GCA_000774075.2	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A tropicus	5701837	6	H_fail	pair_0003	species	False	severe	85.08	0.38	2	5308217	Complete Genome	000774075	False	False	False	False	False
RS_GCF_016027575.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A tropicus	5716977	7	H_pass	pair_0003	species	True	pass	100.0	0.02	4	5264567	Complete Genome	016027575	False	False	False	False	True
GB_GCA_001554095.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma mycoides	1149615	8	H_fail	pair_0004	species	False	moderate	94.34	3.64	1	1149615	Complete Genome	001554095	False	False	False	False	False
RS_GCF_001554055.1	Bacillota	d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma mycoides	1145921	9	H_pass	pair_0004	species	True	pass	98.67	1.14	1	1145921	Complete Genome	001554055	False	False	False	False	True
