genome_name	pred_completeness	pred_contamination
genome_0	84.5033	0.3220
genome_1	62.2065	0.0458
genome_10	92.8763	69.3694
genome_100	72.3974	54.0361
genome_101	96.4112	91.8111
genome_102	67.8888	0.0876
genome_103	99.8558	13.9199
genome_104	87.5038	46.2957
genome_105	73.6179	25.6446
genome_106	59.4453	46.1347
genome_107	99.7374	26.2894
genome_108	85.0726	0.0268
genome_109	60.0745	0.0546
genome_11	66.9999	64.7163
genome_110	98.5596	29.9224
genome_111	96.0818	81.1493
genome_112	96.8982	0.4013
genome_113	55.8089	19.3470
genome_114	92.4920	77.4825
genome_115	64.7561	49.6182
genome_116	94.4994	80.4174
genome_117	97.2041	59.7103
genome_118	75.7864	11.4931
genome_119	79.9117	3.9129
genome_12	56.7457	36.0962
genome_120	82.0275	50.3440
genome_121	55.5192	1.1552
genome_122	73.8455	15.5731
genome_123	99.8264	27.1008
genome_124	89.6045	88.6166
genome_125	55.9079	0.0644
genome_126	66.7568	17.1920
genome_127	75.8676	73.8884
genome_128	98.1253	52.5217
genome_129	79.7850	2.3844
genome_13	61.6413	6.9269
genome_130	99.8976	4.9465
genome_131	84.4527	48.0469
genome_132	71.3156	39.9439
genome_133	68.5725	1.5270
genome_134	74.5256	68.0140
genome_135	99.4163	75.5234
genome_136	66.5737	0.3081
genome_137	99.3403	38.4727
genome_138	99.9573	0.4776
genome_139	99.4012	16.5222
genome_14	99.7469	57.3330
genome_140	85.3317	18.0867
genome_141	86.2692	34.5172
genome_142	91.2796	79.2690
genome_143	82.5837	3.0415
genome_144	79.0869	29.2305
genome_145	99.6115	19.2731
genome_146	99.8145	2.8341
genome_147	98.9440	9.6693
genome_148	76.0776	3.3297
genome_149	99.8611	11.7193
genome_15	97.3690	57.7595
genome_150	99.0168	61.1880
genome_151	69.7612	16.7651
genome_152	81.5417	0.1058
genome_153	77.0773	0.2540
genome_154	72.6593	24.9111
genome_155	61.4065	55.2346
genome_156	69.2582	8.5445
genome_157	53.0931	0.8108
genome_158	85.8203	75.1811
genome_159	86.2919	0.2753
genome_16	71.9487	17.2316
genome_160	85.0834	0.2277
genome_161	76.9310	27.5060
genome_162	99.8679	1.8638
genome_163	81.3565	44.9343
genome_164	67.4874	0.0836
genome_165	71.6841	71.7285
genome_166	86.8150	0.3694
genome_167	65.5217	18.6247
genome_168	79.6513	46.4470
genome_169	61.6206	54.7631
genome_17	84.2708	28.9940
genome_170	84.8372	69.6954
genome_171	63.0468	7.7046
genome_172	83.2505	50.7236
genome_173	97.5762	32.3706
genome_174	89.6145	53.4172
genome_175	83.6632	32.1903
genome_176	78.0624	69.2918
genome_177	83.8885	24.5516
genome_178	90.3858	39.2154
genome_179	53.6670	0.0370
genome_18	67.3986	21.4629
genome_180	78.1181	10.2398
genome_181	84.5338	31.9458
genome_182	56.3929	1.2419
genome_183	68.7340	47.8074
genome_184	99.9532	4.3756
genome_185	97.8805	62.9151
genome_186	73.1973	46.6833
genome_187	68.0817	0.4391
genome_188	84.3380	65.8500
genome_189	99.4084	46.6424
genome_19	70.4454	0.5898
genome_190	82.7489	21.2023
genome_191	95.4223	67.8690
genome_192	79.2387	73.9671
genome_193	99.7746	33.6434
genome_194	60.9022	12.2855
genome_195	84.0375	58.8820
genome_196	65.1656	0.2672
genome_197	99.5496	3.6199
genome_198	55.0001	0.5685
genome_199	97.7789	36.4781
genome_2	65.8600	64.6609
genome_20	86.7553	75.6478
genome_200	61.8020	52.7969
genome_201	65.5617	15.1327
genome_202	70.4657	38.4680
genome_203	57.4401	46.0125
genome_204	66.4871	0.2004
genome_205	59.8464	59.8513
genome_206	74.5654	15.1286
genome_207	70.6620	45.3309
genome_208	94.9245	61.5262
genome_209	59.7250	47.6506
genome_21	88.4357	65.7680
genome_210	77.5643	56.3684
genome_211	90.2954	0.2275
genome_212	80.7014	0.5715
genome_213	74.9105	66.9861
genome_214	61.6420	38.9948
genome_215	99.3579	48.7491
genome_216	99.9555	0.5533
genome_217	77.5154	32.3045
genome_218	87.6490	81.7543
genome_219	79.7422	79.1541
genome_22	58.3603	0.1821
genome_220	79.0967	64.1000
genome_221	67.3382	0.1875
genome_222	95.3818	48.4737
genome_223	95.8624	86.6615
genome_224	67.9179	37.2538
genome_225	91.4817	85.9240
genome_226	81.7017	77.9530
genome_227	99.4186	47.5240
genome_228	98.6694	39.3340
genome_229	74.3501	36.4939
genome_23	64.5772	63.5686
genome_230	66.1313	29.8991
genome_231	61.3640	0.0655
genome_232	65.8733	3.8380
genome_233	99.1793	11.1338
genome_234	99.7249	23.6969
genome_235	69.7268	24.2186
genome_236	99.9496	0.1689
genome_237	65.2041	0.1171
genome_238	90.1207	31.9242
genome_239	95.3242	93.1170
genome_24	80.1181	76.7605
genome_240	54.2026	0.0289
genome_241	97.7760	83.7002
genome_242	99.6813	71.3673
genome_243	83.2711	80.3683
genome_244	83.8793	51.2565
genome_245	66.1290	24.9497
genome_246	87.8559	77.5293
genome_247	95.7530	75.6168
genome_248	75.7458	55.3411
genome_249	98.8437	88.3789
genome_25	93.2156	50.0541
genome_250	61.6682	22.8603
genome_251	87.8059	48.5266
genome_252	98.8457	0.0750
genome_253	52.0347	0.0485
genome_254	78.5414	24.5544
genome_255	66.8626	0.0485
genome_256	99.7954	53.3998
genome_257	99.8930	34.4459
genome_258	96.6631	84.8018
genome_259	80.2574	0.1033
genome_26	99.9423	56.5042
genome_260	71.0983	9.7776
genome_261	76.4699	0.5513
genome_262	62.0298	53.4268
genome_263	96.1209	80.8942
genome_264	99.7463	49.9374
genome_265	78.1012	46.0694
genome_266	83.6936	45.4506
genome_267	98.9767	1.4350
genome_268	99.8268	67.4563
genome_269	91.0244	62.7314
genome_27	59.6398	0.0779
genome_270	99.8006	0.8843
genome_271	84.0963	80.3807
genome_272	98.9801	40.2239
genome_273	86.7362	65.3542
genome_274	99.8550	9.6368
genome_275	99.8339	57.6351
genome_276	99.6391	9.3397
genome_277	55.1842	34.7744
genome_278	67.9122	54.3881
genome_279	99.9243	0.5349
genome_28	75.5463	55.5011
genome_280	99.8208	66.2469
genome_281	95.1936	68.8712
genome_282	88.0872	62.1346
genome_283	83.6743	0.4121
genome_284	99.5650	39.1587
genome_285	79.0731	78.7484
genome_286	93.2547	0.3295
genome_287	86.2400	50.9501
genome_288	96.6419	72.6534
genome_289	86.1216	66.0336
genome_29	89.4381	42.2428
genome_290	79.6160	67.5111
genome_291	82.1147	25.1942
genome_292	99.6919	48.2057
genome_293	71.4029	46.6751
genome_294	53.5806	35.5350
genome_295	56.6969	0.0103
genome_296	65.7025	0.2590
genome_297	66.5751	2.1949
genome_298	84.9894	70.0663
genome_299	79.9600	22.2908
genome_3	99.9974	93.4737
genome_30	97.2235	48.6701
genome_300	78.5505	5.0043
genome_301	73.1773	68.3885
genome_302	99.8984	10.9263
genome_303	99.1620	23.2688
genome_304	68.0445	14.6519
genome_305	68.1149	44.1516
genome_306	99.7357	21.7253
genome_307	75.1907	73.1743
genome_308	82.4044	0.1548
genome_309	99.9119	40.4063
genome_31	95.3933	86.6722
genome_310	81.3383	8.1802
genome_311	69.8093	10.2006
genome_312	97.1811	68.9385
genome_313	62.0458	48.3487
genome_314	80.8235	0.2697
genome_315	99.9518	0.2961
genome_316	97.5443	66.7507
genome_317	99.9569	0.1859
genome_318	89.8393	79.2754
genome_319	71.0303	55.7853
genome_32	77.3857	6.1226
genome_320	99.7506	13.0903
genome_321	83.9195	0.6287
genome_322	99.7383	64.8607
genome_323	52.7844	0.0085
genome_324	76.9895	70.5593
genome_325	97.4142	60.3065
genome_326	75.1585	25.2682
genome_327	72.3856	32.8656
genome_328	79.3208	25.2336
genome_329	90.6356	32.5270
genome_33	99.8520	11.9061
genome_330	99.8306	81.1107
genome_331	68.2646	0.0901
genome_332	83.0295	21.4667
genome_333	80.2587	67.4470
genome_334	75.5827	12.9543
genome_335	83.9615	0.1931
genome_336	68.7628	44.1776
genome_337	55.4798	0.2813
genome_338	64.7001	0.0832
genome_339	59.3851	53.1651
genome_34	99.5178	35.4768
genome_340	87.7995	0.7519
genome_341	75.1174	0.0576
genome_342	76.2109	1.2477
genome_343	99.6116	68.0211
genome_344	72.8663	0.7640
genome_345	79.2344	17.9630
genome_346	91.5308	55.5612
genome_347	83.0795	75.9039
genome_348	70.3944	4.2238
genome_349	99.6856	4.4210
genome_35	96.2987	88.2553
genome_350	76.6294	68.6536
genome_351	64.8223	41.3763
genome_352	84.2221	64.0773
genome_353	70.0974	46.7294
genome_354	78.5269	64.2331
genome_355	98.4858	36.2978
genome_356	68.4052	42.2060
genome_357	81.6409	25.6027
genome_358	90.9093	56.8604
genome_359	66.9530	23.7091
genome_36	93.4833	72.9307
genome_360	99.2042	61.4937
genome_361	99.8600	1.7850
genome_362	82.2810	83.4194
genome_363	96.4869	36.9188
genome_364	52.5557	43.8982
genome_365	71.4001	48.2803
genome_366	75.6018	3.7781
genome_367	80.5736	0.7830
genome_368	92.2046	18.3698
genome_369	73.7283	21.5346
genome_37	99.7935	12.0333
genome_370	76.8090	61.9669
genome_371	99.9383	84.4405
genome_372	99.5685	22.3604
genome_373	71.1715	27.0985
genome_374	65.1681	24.2370
genome_375	82.3922	74.5693
genome_376	92.2648	44.1925
genome_377	65.1988	1.5361
genome_378	86.0016	80.0004
genome_379	76.8936	7.1309
genome_38	76.3531	0.2820
genome_380	99.3706	21.4305
genome_381	66.9986	3.9662
genome_382	58.7689	42.4897
genome_383	70.5544	39.1035
genome_384	81.5667	49.4981
genome_385	82.4961	66.0039
