accession	organism	species_taxid	level	contigs	genome_size	ftp	excluded	label	matched_to
GCA_015477385.1	Nocardia beijingensis	95162	Contig	23	7550800	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/477/385/GCA_015477385.1_ASM1547738v1/	contaminated	flagged_contaminated	
GCA_044389345.1	Nocardia beijingensis	95162	Scaffold	21	7424832	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/389/345/GCA_044389345.1_ASM4438934v1/	na	unflagged_control	GCA_015477385.1
GCA_039528195.1	Nesterenkonia halotolerans	225325	Contig	48	30689	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/528/195/GCA_039528195.1_ASM3952819v1/	contaminated; fragmented assembly; genome length too small; not used as type	flagged_contaminated	
GCA_042679385.1	Nesterenkonia halotolerans	225325	Scaffold	31	2957945	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/679/385/GCA_042679385.1_ASM4267938v1/	na	unflagged_control	GCA_039528195.1
GCA_900011095.1	Clostridioides difficile	1496	Contig	1215	4179713	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/011/095/GCA_900011095.1_Peptoclostridium_difficile/	contaminated	flagged_contaminated	
GCA_007000785.1	Clostridioides difficile	1496	Contig	1220	4119768	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/000/785/GCA_007000785.1_ASM700078v1/	na	unflagged_control	GCA_900011095.1
GCA_029836335.1	Escherichia coli	562	Contig	144	5283987	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/836/335/GCA_029836335.1_ASM2983633v1/	contaminated	flagged_contaminated	
GCA_000326365.1	Escherichia coli KTE148	562	Contig	144	5099912	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/326/365/GCA_000326365.1_Esch_coli_KTE148_V1/	na	unflagged_control	GCA_029836335.1
GCA_019413445.1	Bacteroides eggerthii	28111	Scaffold	148	3955649	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/413/445/GCA_019413445.1_ASM1941344v1/	contaminated; derived from metagenome	flagged_contaminated	
GCA_019130725.1	Bacteroides eggerthii	28111	Contig	163	3752645	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/130/725/GCA_019130725.1_ASM1913072v1/	na	unflagged_control	GCA_019413445.1
GCA_047532635.1	Escherichia coli	562	Contig	184	5486801	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/532/635/GCA_047532635.1_ASM4753263v1/	contaminated	flagged_contaminated	
GCA_000354995.2	Escherichia coli 2860050	562	Contig	184	5129457	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/354/995/GCA_000354995.2_ASM35499v2/	na	unflagged_control	GCA_047532635.1
GCA_021438825.1	Escherichia coli	562	Contig	197	5015815	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/438/825/GCA_021438825.1_PDT001220505.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000354315.2	Escherichia coli BCE019_MS-13	562	Contig	197	5057731	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/354/315/GCA_000354315.2_ASM35431v2/	na	unflagged_control	GCA_021438825.1
GCA_900008285.1	Clostridioides difficile	1496	Contig	897	4201138	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/008/285/GCA_900008285.1_Peptoclostridium_difficile/	contaminated	flagged_contaminated	
GCA_022359835.1	Clostridioides difficile	1496	Contig	897	4031174	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/359/835/GCA_022359835.1_ASM2235983v1/	na	unflagged_control	GCA_900008285.1
GCA_047532015.1	Escherichia coli	562	Contig	198	5270871	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/532/015/GCA_047532015.1_ASM4753201v1/	contaminated	flagged_contaminated	
GCA_000354355.2	Escherichia coli C-34666	562	Contig	198	5367194	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/354/355/GCA_000354355.2_ASM35435v2/	na	unflagged_control	GCA_047532015.1
GCA_958303235.1	Escherichia coli	562	Contig	147	4810763	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/958/303/235/GCA_958303235.1_17-AB02827_S35/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000172035.1	Escherichia coli O157:H7 str. EC869	562	Contig	147	5731065	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/035/GCA_000172035.1_ASM17203v1/	na	unflagged_control	GCA_958303235.1
GCA_948735105.1	Lactobacillus johnsonii	33959	Scaffold	81	2133581	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/735/105/GCA_948735105.1_MGBC166254/	contaminated; derived from metagenome	flagged_contaminated	
GCA_004793575.1	Lactobacillus johnsonii	33959	Contig	82	1903213	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/793/575/GCA_004793575.1_ASM479357v1/	na	unflagged_control	GCA_948735105.1
GCA_029116095.1	Escherichia coli	562	Scaffold	1066	5428388	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/116/095/GCA_029116095.1_ASM2911609v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_023162195.1	Escherichia coli	562	Contig	1065	5353262	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/162/195/GCA_023162195.1_ASM2316219v1/	na	unflagged_control	GCA_029116095.1
GCA_050575695.1	Pseudomonas aeruginosa	287	Scaffold	189	6353444	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/050/575/695/GCA_050575695.1_ASM5057569v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000439875.1	Pseudomonas aeruginosa LCT-PA41	287	Scaffold	189	6851005	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/875/GCA_000439875.1_SOAPdenovo/	na	unflagged_control	GCA_050575695.1
GCA_900015175.1	Clostridioides difficile	1496	Contig	1232	4220034	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/015/175/GCA_900015175.1_Peptoclostridium_difficile/	contaminated	flagged_contaminated	
GCA_012030445.1	Clostridioides difficile	1496	Contig	1235	4263517	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/030/445/GCA_012030445.1_ASM1203044v1/	na	unflagged_control	GCA_900015175.1
GCA_050989705.1	Acinetobacter baumannii	470	Contig	1207	4120672	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/050/989/705/GCA_050989705.1_ASM5098970v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_001432965.1	Acinetobacter baumannii	470	Contig	1193	3887264	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/432/965/GCA_001432965.1_ASM143296v1/	na	unflagged_control	GCA_050989705.1
GCA_949463525.1	Helicobacter hepaticus ATCC 51449	32025	Contig	343	898733	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/463/525/GCA_949463525.1_extra-SRR5927704.2_1677798318/	contaminated; derived from metagenome; fragmented assembly	flagged_contaminated	
GCA_965135935.1	Helicobacter hepaticus	32025	Scaffold	24	1793733	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/135/935/GCA_965135935.1_CIP104102/	na	unflagged_control	GCA_949463525.1
GCA_963640565.1	Oscillibacter sp. ER4	1519439	Contig	39	2858136	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/640/565/GCA_963640565.1_E07184-L1_cleanbin_000005_GreatApes/	contaminated; derived from metagenome	flagged_contaminated	
GCA_000765235.1	Oscillibacter sp. ER4	1519439	Contig	131	2729704	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/235/GCA_000765235.1_ASM76523v1/	na	unflagged_control	GCA_963640565.1
GCA_963539885.1	Hoylesella oralis	28134	Contig	205	2500798	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/539/885/GCA_963539885.1_SRR17738086_bin.6_MetaWRAP_v1.3_MAG/	contaminated; annotation fails MAG completeness check; derived from metagenome	flagged_contaminated	
GCA_000413355.1	Hoylesella oralis HGA0225	28134	Scaffold	21	2857367	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/413/355/GCA_000413355.1_Prev_oral_HGA0225_V1/	na	unflagged_control	GCA_963539885.1
GCA_949084195.1	Parabacteroides distasonis	823	Scaffold	535	3152283	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/084/195/GCA_949084195.1_MGBC134848/	contaminated; derived from metagenome; genome length too small	flagged_contaminated	
GCA_040909305.1	Parabacteroides distasonis	823	Scaffold	549	5018778	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/909/305/GCA_040909305.1_ASM4090930v1/	na	unflagged_control	GCA_949084195.1
GCA_029997195.1	Escherichia coli	562	Contig	46	4943201	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/997/195/GCA_029997195.1_ASM2999719v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000281775.1	Escherichia coli STEC_O31	562	Contig	46	5203079	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/775/GCA_000281775.1_ASM28177v1/	na	unflagged_control	GCA_029997195.1
GCA_040714055.1	[Clostridium] symbiosum	1512	Scaffold	931	5460263	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/714/055/GCA_040714055.1_ASM4071405v1/	contaminated	flagged_contaminated	
GCA_040920585.1	[Clostridium] symbiosum	1512	Scaffold	658	5164124	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/920/585/GCA_040920585.1_ASM4092058v1/	na	unflagged_control	GCA_040714055.1
GCA_000415525.1	Chlamydia psittaci 01DC11	83554	Scaffold	351	1301389	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/415/525/GCA_000415525.1_ASM41552v1/	contaminated	flagged_contaminated	
GCA_001735985.1	Chlamydia psittaci	83554	Contig	78	1239672	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/735/985/GCA_001735985.1_ASM173598v1/	na	unflagged_control	GCA_000415525.1
GCA_019426945.1	Clostridioides difficile	1496	Scaffold	1552	4679595	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/426/945/GCA_019426945.1_ASM1942694v1/	contaminated; unverified source organism	flagged_contaminated	
GCA_030251785.1	Clostridioides difficile	1496	Contig	1524	4445581	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/251/785/GCA_030251785.1_ASM3025178v1/	na	unflagged_control	GCA_019426945.1
GCA_900011835.1	Clostridioides difficile	1496	Contig	1122	4240009	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/011/835/GCA_900011835.1_Peptoclostridium_difficile/	contaminated	flagged_contaminated	
GCA_021283605.1	Clostridioides difficile	1496	Contig	1125	4137122	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/283/605/GCA_021283605.1_ASM2128360v1/	na	unflagged_control	GCA_900011835.1
GCA_948641155.1	Akkermansia muciniphila	239935	Scaffold	701	2302144	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/641/155/GCA_948641155.1_MGBC150263/	contaminated; derived from metagenome; fragmented assembly	flagged_contaminated	
GCA_024462135.1	Akkermansia muciniphila	239935	Contig	462	3023775	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/462/135/GCA_024462135.1_ASM2446213v1/	na	unflagged_control	GCA_948641155.1
GCA_015185745.1	Escherichia coli	562	Contig	139	5492961	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/185/745/GCA_015185745.1_PDT000853395.1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000326245.1	Escherichia coli KTE128	562	Contig	139	5073631	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/326/245/GCA_000326245.1_Esch_coli_KTE128_V1/	na	unflagged_control	GCA_015185745.1
GCA_949039045.1	Parabacteroides distasonis	823	Scaffold	1146	3796873	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/039/045/GCA_949039045.1_MGBC145277/	contaminated; derived from metagenome; fragmented assembly; genome length too small	flagged_contaminated	
GCA_039842315.1	Parabacteroides distasonis	823	Scaffold	1221	5045524	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/842/315/GCA_039842315.1_ASM3984231v1/	na	unflagged_control	GCA_949039045.1
GCA_047654445.1	Salmonella enterica subsp. enterica serovar Meleagridis	28901	Scaffold	84	4733173	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/654/445/GCA_047654445.1_ASM4765444v1/	contaminated	flagged_contaminated	
GCA_000483935.1	Salmonella enterica subsp. enterica serovar Agona str. ATCC BAA-707	28901	Contig	84	4829834	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/483/935/GCA_000483935.1_CFSAN000506_01.0/	na	unflagged_control	GCA_047654445.1
GCA_053339285.1	Listeria monocytogenes	1639	Contig	35	2987058	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/339/285/GCA_053339285.1_ASM5333928v1/	contaminated	flagged_contaminated	
GCA_000626575.1	Listeria monocytogenes N53-1	1639	Contig	35	3097842	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/626/575/GCA_000626575.1_L._monocytogenes_N53-1_Illumina_/	na	unflagged_control	GCA_053339285.1
GCA_963970935.1	Pseudomonas canadensis	915099	Contig	669	6667360	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/970/935/GCA_963970935.1_RA_15y_Pfl1_P19/	contaminated	flagged_contaminated	
GCA_963970765.1	Pseudomonas canadensis	915099	Contig	966	6753702	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/970/765/GCA_963970765.1_RA_35y_Pfl1_P31/	na	unflagged_control	GCA_963970935.1
GCA_052057665.1	Campylobacter jejuni	197	Contig	54	1680377	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/057/665/GCA_052057665.1_ASM5205766v1/	contaminated	flagged_contaminated	
GCA_001225185.1	Campylobacter jejuni	197	Scaffold	54	1788948	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/225/185/GCA_001225185.1_7038_3_45/	na	unflagged_control	GCA_052057665.1
GCA_036621765.1	Salmonella enterica	28901	Scaffold	246	5339017	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/621/765/GCA_036621765.1_ASM3662176v1/	contaminated	flagged_contaminated	
GCA_001588435.1	Salmonella enterica subsp. enterica serovar Typhimurium	28901	Contig	246	5010196	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/588/435/GCA_001588435.1_CFSAN033889_01.0/	na	unflagged_control	GCA_036621765.1
GCA_001075215.1	Staphylococcus haemolyticus	1283	Scaffold	389	5567075	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/075/215/GCA_001075215.1_ASM107521v1/	contaminated; unverified source organism; genome length too large	flagged_contaminated	
GCA_903970055.1	Staphylococcus haemolyticus	1283	Contig	378	2629330	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/970/055/GCA_903970055.1_58-57/	na	unflagged_control	GCA_001075215.1
GCA_945831115.1	Faecalibacterium prausnitzii	853	Contig	310	1456662	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/945/831/115/GCA_945831115.1_SRR5240750_bin.35_metaWRAP_v1.3_MAG/	contaminated; derived from metagenome; fragmented assembly; genome length too small	flagged_contaminated	
GCA_024463025.1	Faecalibacterium prausnitzii	853	Contig	315	3194572	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/463/025/GCA_024463025.1_ASM2446302v1/	na	unflagged_control	GCA_945831115.1
GCA_900143475.1	Enterococcus faecium	1352	Scaffold	385	2778343	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/143/475/GCA_900143475.1_Hp_23-9_05/	contaminated	flagged_contaminated	
GCA_947381865.1	Enterococcus faecium	1352	Contig	385	2554473	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/381/865/GCA_947381865.1_J32/	na	unflagged_control	GCA_900143475.1
GCA_900013935.1	Clostridioides difficile	1496	Contig	5432	4495696	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/013/935/GCA_900013935.1_Peptoclostridium_difficile/	contaminated; fragmented assembly; low quality sequence	flagged_contaminated	
GCA_002302065.1	Clostridioides difficile	1496	Contig	1925	4752868	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/302/065/GCA_002302065.1_ASM230206v1/	na	unflagged_control	GCA_900013935.1
GCA_037308155.1	Ruminococcus bromii	40518	Contig	170	1892217	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/308/155/GCA_037308155.1_ASM3730815v1/	contaminated; annotation fails MAG completeness check; derived from metagenome	flagged_contaminated	
GCA_002834225.1	Ruminococcus bromii	40518	Contig	74	2151595	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/834/225/GCA_002834225.1_ASM283422v1/	na	unflagged_control	GCA_037308155.1
GCA_977080415.1	Ruminococcus bromii	40518	Contig	359	2049433	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/977/080/415/GCA_977080415.1_SRR24315732_bin_47979/	contaminated; derived from metagenome	flagged_contaminated	
GCA_902387655.1	Ruminococcus bromii	40518	Contig	74	2151595	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/387/655/GCA_902387655.1_UHGG_MGYG-HGUT-02482/	na	unflagged_control	GCA_977080415.1
GCA_004143095.1	Listeria monocytogenes	1639	Contig	268	3365444	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/143/095/GCA_004143095.1_PDT000190318.2/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_048452645.1	Listeria monocytogenes	1639	Contig	267	2909391	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/048/452/645/GCA_048452645.1_ASM4845264v1/	na	unflagged_control	GCA_004143095.1
GCA_009646625.1	Bacillus thuringiensis	1428	Contig	501	5840273	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/646/625/GCA_009646625.1_ASM964662v1/	contaminated	flagged_contaminated	
GCA_002911795.1	Bacillus thuringiensis serovar medellin	1428	Contig	500	7018350	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/911/795/GCA_002911795.1_ASM291179v1/	na	unflagged_control	GCA_009646625.1
GCA_037952005.1	Listeria monocytogenes	1639	Scaffold	52	3045749	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/952/005/GCA_037952005.1_ASM3795200v1/	contaminated; from large multi-isolate project	flagged_contaminated	
GCA_000801515.1	Listeria monocytogenes SHL010	1639	Contig	52	3081698	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/801/515/GCA_000801515.1_L_monocytogenes_SHL010_v1.0/	na	unflagged_control	GCA_037952005.1
GCA_009902285.1	Klebsiella pneumoniae	573	Contig	89	5607885	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/902/285/GCA_009902285.1_ASM990228v1/	contaminated	flagged_contaminated	
GCA_001701355.1	Klebsiella pneumoniae	573	Contig	89	5623115	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/701/355/GCA_001701355.1_ASM170135v1/	na	unflagged_control	GCA_009902285.1
GCA_948943175.1	Limosilactobacillus reuteri	1598	Scaffold	72	1989033	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/948/943/175/GCA_948943175.1_MGBC123366/	contaminated; derived from metagenome	flagged_contaminated	
