accession	cohort	v5_completeness	v5_contamination	checkm2_completeness	checkm2_contamination	total_bp	n_contigs	classified_bp	unclassified_pct	orig_phylum_dominant	orig_phylum_dominant_pct	orig_phylum_contam_pct	orig_n_phyla	strict_phylum_dominant	strict_phylum_dominant_pct	strict_phylum_contam_pct	strict_n_phyla	strict_qualifying_bp	strict_qualifying_bp_frac	strict_n_qualifying_contigs	total_kmers	informative_kmers	informative_kmer_density	mean_contig_confidence_bpw	asm_total_bp	asm_n_contigs	asm_n50	asm_gc_pct
GCA_000431375.1	agree_clean	99.95534	0.015333295	91.79	1.46	3321570	104	3228994	2.787	Bacillota	83.991	4.444	7	unresolved			0	0	0.0	0	3308536	2529	0.000764	0.000273	3321570	104	69067	44.061
GCA_001782045.1	agree_clean	99.902405	1.1345923	99.7	1.4	798884	12	734274	8.088	Bacillota	42.009	8.37	2	unresolved			0	0	0.0	0	798115	113	0.000142	8.3e-05	798884	12	151833	35.202
GCA_001782735.1	disagreement_141	81.07164	5.3582726	96.77	0.54	848748	23	800088	5.733	Pseudomonadota	27.94	44.543	6	unresolved			0	0	0.0	0	845102	165	0.000195	0.000108	848748	23	67654	39.978
GCA_001797105.1	v5hq_only	99.57771	0.10821521	79.51	4.77	4012724	144	3548571	11.567	Pseudomonadota	32.972	37.754	10	unresolved			0	0	0.0	0	3912221	1196	0.000306	0.000172	4012724	144	40640	62.332
GCA_002070265.1	disagreement_141	68.92568	22.423273	95.31	0.71	2946271	93	2739866	7.006	Bacteroidota	52.851	21.951	8	unresolved			0	0	0.0	0	2943109	1292	0.000439	0.000174	2946271	93	109678	38.898
GCA_002297865.1	v5hq_only	99.51625	4.052201	90.27	8.33	4296631	439	3003850	30.088	Bacillota	37.853	22.391	13	unresolved			0	0	0.0	0	4247263	1956	0.000461	0.000381	4296631	439	12950	35.978
GCA_002366485.1	agree_clean	99.4857	0.20258129	91.37	1.04	3282934	51	3279303	0.111	Pseudomonadota	99.889	0.0	1	unresolved			0	0	0.0	0	3271686	53481	0.016347	0.014512	3282934	51	107864	58.559
GCA_002426935.1	v5hq_only	97.7343	0.20889044	89.19	3.17	3035240	99	2923957	3.666	Bacteroidota	72.306	8.101	6	unresolved			0	0	0.0	0	2997703	2766	0.000923	0.000647	3035240	99	41315	46.733
GCA_002430625.1	agree_clean	99.44719	0.37239194	90.2	0.68	874375	28	768905	12.062	Actinomycetota	26.996	54.392	7	unresolved			0	0	0.0	0	864827	163	0.000188	0.000122	874375	28	37912	51.368
GCA_002440965.1	disagreement_141	76.042114	1.857701	94.05	0.31	1594747	39	1519011	4.749	Pseudomonadota	19.72	51.272	10	unresolved			0	0	0.0	0	1592788	352	0.000221	0.000132	1594747	39	59407	41.877
GCA_002730975.1	disagreement_141	66.96346	10.941413	93.28	3.82	3847701	152	3041818	20.945	Pseudomonadota	29.284	33.94	12	unresolved			0	0	0.0	0	3823965	623	0.000163	0.000134	3847701	152	35440	50.37
GCA_002783685.1	agree_clean	99.85094	0.89696646	96.51	0.8	2265775	276	1110434	50.991	Pseudomonadota	8.079	30.235	14	unresolved			0	0	0.0	0	2248816	514	0.000229	0.000399	2265775	276	10336	40.15
