tier	group_key	draft_accession	complete_accession	organism	group	species_taxid	strain	draft_level	complete_level	draft_biosample	complete_biosample	draft_contigs	complete_contigs	draft_bp	complete_bp	size_ratio_draft_over_complete	draft_gc	complete_gc	draft_excluded_from_refseq	complete_excluded_from_refseq	draft_submitter	complete_submitter	draft_release_date	complete_release_date	n_complete_in_group	n_draft_in_group	draft_ftp	complete_ftp	ratio
same_biosample	SAMN02463843	GCA_000090875.1	GCA_005886145.1	Neisseria sp. oral taxon 014 str. F0314	bacteria	641148	strain=F0314	Scaffold	Chromosome	SAMN02463843	SAMN02463843	48	1	2515760	2502158	1.0054	53.000000	53.000000	na	na	Broad Institute	University of Technology Sydney	2010-06-14	2019-05-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/875/GCA_000090875.1_ASM9087v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/145/GCA_005886145.1_ASM588614v1/	1.0054
same_biosample	SAMN00001501	GCA_000143645.1	GCA_005886075.1	Lactobacillus paragasseri JV-V03	bacteria	2107999	strain=JV-V03	Scaffold	Complete Genome	SAMN00001501	SAMN00001501	10	3	2011855	2030305	0.9909	34.500000	35.000000	na	na	Baylor College of Medecine	University of Technology Sydney	2010-07-13	2019-05-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/645/GCA_000143645.1_ASM14364v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/075/GCA_005886075.1_ASM588607v1/	0.9909
same_biosample	SAMN02595231	GCA_000155535.1	GCA_001267475.1	Francisella tularensis subsp. tularensis MA00-2987	bacteria	263	strain=MA00-2987	Scaffold	Complete Genome	SAMN02595231	SAMN02595231	33	1	1871868	1892645	0.9890	32.000000	32.500000	na	na	Broad Institute	Virginia Polytechnic Institute and State University	2008-08-28	2015-08-14	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/535/GCA_000155535.1_ASM15553v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/267/475/GCA_001267475.1_ASM126747v1/	0.989
same_biosample	SAMN00008757	GCA_000162895.1	GCA_005886335.1	Actinomyces sp. oral taxon 848 str. F0332	bacteria	649739	strain=F0332	Scaffold	Complete Genome	SAMN00008757	SAMN00008757	19	1	2520418	2526493	0.9976	64.500000	64.500000	unverified source organism	unverified source organism	WUGSC	University of Technology Sydney	2009-10-02	2019-05-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/895/GCA_000162895.1_ASM16289v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/335/GCA_005886335.1_ASM588633v1/	0.9976
same_biosample	SAMN02436016	GCA_000166595.2	GCA_018884445.1	Escherichia coli TW11681	bacteria	562	strain=TW11681	Contig	Complete Genome	SAMN02436016	SAMN02436016	153	5	5305843	5283837	1.0042	50.500000	50.500000	na	na	Institute for Genome Sciences	University of Maryland, School of Medicine	2010-11-15	2021-06-15	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/595/GCA_000166595.2_ASM16659v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/884/445/GCA_018884445.1_ASM1888444v1/	1.0042
same_biosample	SAMN02436122	GCA_000170735.1	GCA_005843985.1	Caminibacter mediatlanticus TB-2	bacteria	291048	strain=TB-2	Contig	Complete Genome	SAMN02436122	SAMN02436122	35	1	1663618	1685887	0.9868	27.000000	27.000000	na	na	The Gordon and Betty Moore Foundation Microbial Genome Sequencing Project	Rutgers University	2007-06-19	2019-05-26	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/170/735/GCA_000170735.1_ASM17073v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/843/985/GCA_005843985.1_ASM584398v1/	0.9868
same_biosample	SAMN00210774	GCA_000185325.1	GCA_005886055.1	Aliarcobacter butzleri JV22	bacteria	28197	strain=JV22	Scaffold	Complete Genome	SAMN00210774	SAMN00210774	78	1	2302726	2297844	1.0021	27.000000	27.000000	na	na	Baylor College of Medicine	University of Technology Sydney	2011-01-14	2019-05-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/325/GCA_000185325.1_ASM18532v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/886/055/GCA_005886055.1_ASM588605v1/	1.0021
same_biosample	SAMN00710627	GCA_000188455.2	GCA_003073575.1	Salmonella enterica subsp. enterica serovar Montevideo str. 531954	bacteria	28901	strain=531954	Contig	Complete Genome	SAMN00710627	SAMN00710627	132	1	4324453	4694397	0.9212	52.500000	52.000000	na	na	FDA	Center for Food Safety and Applied Nutrition	2011-02-08	2018-04-30	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/455/GCA_000188455.2_ASM18845v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/575/GCA_003073575.1_ASM307357v1/	0.9212
same_biosample	SAMN02952920	GCA_000195415.2	GCA_009649015.1	Vibrio parahaemolyticus 10329	bacteria	670	strain=10329	Contig	Complete Genome	SAMN02952920	SAMN02952920	33	2	5093003	5144090	0.9901	45.500000	45.500000	na	na	FDA	FDA Center for Food Safety and Applied Nutrition	2011-04-07	2019-11-11	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/415/GCA_000195415.2_ASM19541v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/649/015/GCA_009649015.1_ASM964901v1/	0.9901
same_biosample	SAMN02469939	GCA_000234845.2	GCA_003692675.1	Aeromonas salmonicida subsp. salmonicida 01-B526	bacteria	645	strain=01-B526	Contig	Complete Genome	SAMN02469939	SAMN02469939	604	1	4927927	4736282	1.0405	58.500000	58.500000	na	na	IBIS, Université Laval	Universite Laval	2011-11-10	2018-10-29	1	1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/234/845/GCA_000234845.2_ASM23484v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/692/675/GCA_003692675.1_ASM369267v1/	1.0405
