gtdb_accession	ncbi_accession	gcf_accession	checkm2_completeness	checkm2_contamination	contig_count	n50_contigs	longest_contig	genome_size	domain	phylum	gtdb_taxonomy	fasta_path	download_dir
RS_GCF_023699475.1	GCA_023699475.1	GCF_023699475.1	99.56	0.97	47	150211	550365	4068489	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomarina;s__Halomarina rubra	/home/tianrm/projects/magicc2/data/genomes/GCF_023699475.1/GCF_023699475.1_ASM2369947v1_genomic.fna	GCF_023699475.1
RS_GCF_018623055.1	GCA_018623055.1	GCF_018623055.1	98.53	0.08	1	3063515	3063515	3063515	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp018623055	/home/tianrm/projects/magicc2/data/genomes/GCF_018623055.1/GCF_018623055.1_ASM1862305v1_genomic.fna	GCF_018623055.1
RS_GCF_003383085.1	GCA_003383085.1	GCF_003383085.1	99.85	1.17	50	1343055	1371869	3938222	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax prahovense	/home/tianrm/projects/magicc2/data/genomes/GCF_003383085.1/GCF_003383085.1_ASM338308v1_genomic.fna	GCF_003383085.1
RS_GCF_005890195.1	GCA_005890195.1	GCF_005890195.1	99.77	0.01	3	3503953	3503953	3778093	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema pallidum	/home/tianrm/projects/magicc2/data/genomes/GCF_005890195.1/GCF_005890195.1_ASM589019v1_genomic.fna	GCF_005890195.1
RS_GCF_028692305.1	GCA_028692305.1	GCF_028692305.1	99.74	0.97	95	46052	121399	2576026	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sp002506585	/home/tianrm/projects/magicc2/data/genomes/GCF_028692305.1/GCF_028692305.1_ASM2869230v1_genomic.fna	GCF_028692305.1
GB_GCA_937875435.1	GCA_937875435.1		99.95	0.41	38	117708	485286	3116232	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp002499445	/home/tianrm/projects/magicc2/data/genomes/GCA_937875435.1/GCA_937875435.1_SRR1561992_bin.155_CONCOCT_v1.1_MAG_genomic.fna	GCA_937875435.1
RS_GCF_900111645.1	GCA_900111645.1	GCF_900111645.1	99.95	0.58	17	293106	423073	2314846	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides vulcani	/home/tianrm/projects/magicc2/data/genomes/GCF_900111645.1/GCF_900111645.1_IMG-taxon_2642422537_annotated_assembly_genomic.fna	GCF_900111645.1
RS_GCF_002286985.1	GCA_002286985.1	GCF_002286985.1	99.85	1.29	27	371683	598689	3506649	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum salipaludis	/home/tianrm/projects/magicc2/data/genomes/GCF_002286985.1/GCF_002286985.1_ASM228698v1_genomic.fna	GCF_002286985.1
RS_GCF_028330585.1	GCA_028330585.1	GCF_028330585.1	99.97	1.09	76	349151	709766	3683474	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum ezzemoulense	/home/tianrm/projects/magicc2/data/genomes/GCF_028330585.1/GCF_028330585.1_ASM2833058v1_genomic.fna	GCF_028330585.1
GB_GCA_002839605.1	GCA_002839605.1		98.29	0.28	19	232742	493105	2591348	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanoregula;s__Methanoregula sp002839605	/home/tianrm/projects/magicc2/data/genomes/GCA_002839605.1/GCA_002839605.1_ASM283960v1_genomic.fna	GCA_002839605.1
GB_GCA_005239175.1	GCA_005239175.1		99.26	0.38	6	840111	1230707	3359672	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halalkalirubrum;s__Halalkalirubrum sp005239175	/home/tianrm/projects/magicc2/data/genomes/GCA_005239175.1/GCA_005239175.1_ASM523917v1_genomic.fna	GCA_005239175.1
RS_GCF_009831575.1	GCA_009831575.1	GCF_009831575.1	98.31	0.47	10	505147	1075119	3245916	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halovenus;s__Halovenus carboxidivorans	/home/tianrm/projects/magicc2/data/genomes/GCF_009831575.1/GCF_009831575.1_ASM983157v1_genomic.fna	GCF_009831575.1
RS_GCF_004803735.1	GCA_004803735.1	GCF_004803735.1	99.94	0.54	2	3094196	3094196	3316057	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomicrobium;s__Halomicrobium mukohataei	/home/tianrm/projects/magicc2/data/genomes/GCF_004803735.1/GCF_004803735.1_ASM480373v1_genomic.fna	GCF_004803735.1
RS_GCF_008245225.1	GCA_008245225.1	GCF_008245225.1	100.0	1.08	99	129190	419252	4201486	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrarchaeobius;s__Natrarchaeobius swarupiae	/home/tianrm/projects/magicc2/data/genomes/GCF_008245225.1/GCF_008245225.1_ASM824522v1_genomic.fna	GCF_008245225.1
RS_GCF_000427685.1	GCA_000427685.1	GCF_000427685.1	99.8	1.61	10	2169903	2169903	3797935	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloplanus;s__Haloplanus natans	/home/tianrm/projects/magicc2/data/genomes/GCF_000427685.1/GCF_000427685.1_ASM42768v1_genomic.fna	GCF_000427685.1
RS_GCF_014969745.1	GCA_014969745.1	GCF_014969745.1	99.87	1.68	4	2999641	2999641	3996244	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax gibbonsii	/home/tianrm/projects/magicc2/data/genomes/GCF_014969745.1/GCF_014969745.1_ASM1496974v1_genomic.fna	GCF_014969745.1
RS_GCF_000970265.1	GCA_000970265.1	GCF_000970265.1	99.96	0.22	1	4139808	4139808	4139808	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina lacustris	/home/tianrm/projects/magicc2/data/genomes/GCF_000970265.1/GCF_000970265.1_ASM97026v1_genomic.fna	GCF_000970265.1
RS_GCF_001027005.1	GCA_001027005.1	GCF_001027005.1	99.96	0.72	1	4501171	4501171	4501171	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina barkeri	/home/tianrm/projects/magicc2/data/genomes/GCF_001027005.1/GCF_001027005.1_ASM102700v1_genomic.fna	GCF_001027005.1
GB_GCA_016841955.1	GCA_016841955.1		99.47	0.71	16	322014	611778	2431985	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sp016841955	/home/tianrm/projects/magicc2/data/genomes/GCA_016841955.1/GCA_016841955.1_ASM1684195v1_genomic.fna	GCA_016841955.1
RS_GCF_900773915.1	GCA_900773915.1	GCF_900773915.1	99.89	0.02	36	294690	680533	2500446	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides methylutens	/home/tianrm/projects/magicc2/data/genomes/GCF_900773915.1/GCF_900773915.1_Methanococcoides_methylutens_DSM2657_genomic.fna	GCF_900773915.1
RS_GCF_028330445.1	GCA_028330445.1	GCF_028330445.1	100.0	0.69	64	298097	1112510	3530409	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum ezzemoulense	/home/tianrm/projects/magicc2/data/genomes/GCF_028330445.1/GCF_028330445.1_ASM2833044v1_genomic.fna	GCF_028330445.1
RS_GCF_963665675.1	GCA_963665675.1	GCF_963665675.1	100.0	1.13	2	3208285	3208285	3515989	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus sp963665675	/home/tianrm/projects/magicc2/data/genomes/GCF_963665675.1/GCF_963665675.1_piMetPara1.Methanolobus_sp_1.1_genomic.fna	GCF_963665675.1
RS_GCF_037414695.1	GCA_037414695.1	GCF_037414695.1	99.63	0.0	67	124121	249410	3014512	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum lacusprofundi	/home/tianrm/projects/magicc2/data/genomes/GCF_037414695.1/GCF_037414695.1_ASM3741469v1_genomic.fna	GCF_037414695.1
RS_GCF_900113615.1	GCA_900113615.1	GCF_900113615.1	99.54	0.08	40	151981	391303	3184102	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum aquaticum	/home/tianrm/projects/magicc2/data/genomes/GCF_900113615.1/GCF_900113615.1_IMG-taxon_2617270873_annotated_assembly_genomic.fna	GCF_900113615.1
RS_GCF_024464185.1	GCA_024464185.1	GCF_024464185.1	99.98	1.43	17	1128414	1264419	3851061	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Haloarchaeobius;s__Haloarchaeobius salinus	/home/tianrm/projects/magicc2/data/genomes/GCF_024464185.1/GCF_024464185.1_ASM2446418v1_genomic.fna	GCF_024464185.1
RS_GCF_000504565.1	GCA_000504565.2	GCF_000504565.1	99.98	0.57	4	3006708	3006708	3901495	Archaea	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula hispanica	/home/tianrm/projects/magicc2/data/genomes/GCF_000504565.1/GCF_000504565.1_ASM50456v2_genomic.fna	GCF_000504565.1
