draft_accession	complete_accession	status	draft_bp	draft_contigs	draft_n50	ref_bp	ref_seqs	covered_ref_bp	aligned_draft_bp	unaligned_draft_bp	true_completeness	true_contamination_upper	organism	group	species_taxid	strain	draft_level	complete_level	draft_biosample	draft_excluded_from_refseq	size_ratio_draft_over_complete
GCA_000170735.1	GCA_005843985.1	ok	1663618.0	35.0	166328.0	1685887.0	1.0	1637116.0	1600793.0	62825.0	97.107101	3.726525	Caminibacter mediatlanticus TB-2	bacteria	291048	strain=TB-2	Contig	Complete Genome	SAMN02436122	na	0.9868
GCA_000143645.1	GCA_005886075.1	ok	2011855.0	8.0	1145353.0	2030305.0	3.0	2008670.0	2011649.0	206.0	98.934397	0.010146	Lactobacillus paragasseri JV-V03	bacteria	2107999	strain=JV-V03	Scaffold	Complete Genome	SAMN00001501	na	0.9909
GCA_000162895.1	GCA_005886335.1	ok	2520418.0	4.0	1896923.0	2526493.0	1.0	2521797.0	2520281.0	137.0	99.81413	0.005423	Actinomyces sp. oral taxon 848 str. F0332	bacteria	649739	strain=F0332	Scaffold	Complete Genome	SAMN00008757	unverified source organism	0.9976
GCA_000090875.1	GCA_005886145.1	ok	2515760.0	11.0	839403.0	2502158.0	1.0	2485597.0	2506810.0	8950.0	99.338131	0.357691	Neisseria sp. oral taxon 014 str. F0314	bacteria	641148	strain=F0314	Scaffold	Chromosome	SAMN02463843	na	1.0054
GCA_000155535.1	GCA_001267475.1	ok	1871868.0	19.0	212857.0	1892645.0	1.0	1857509.0	1870848.0	1020.0	98.14355	0.053893	Francisella tularensis subsp. tularensis MA00-2987	bacteria	263	strain=MA00-2987	Scaffold	Complete Genome	SAMN02595231	na	0.9890
GCA_000185325.1	GCA_005886055.1	ok	2302726.0	22.0	896167.0	2297844.0	1.0	2274065.0	2302299.0	427.0	98.96516	0.018583	Aliarcobacter butzleri JV22	bacteria	28197	strain=JV22	Scaffold	Complete Genome	SAMN00210774	na	1.0021
GCA_000188455.2	GCA_003073575.1	ok	4324453.0	132.0	76809.0	4694397.0	1.0	4370494.0	4321859.0	2594.0	93.100221	0.055257	Salmonella enterica subsp. enterica serovar Montevideo str. 531954	bacteria	28901	strain=531954	Contig	Complete Genome	SAMN00710627	na	0.9212
GCA_000195415.2	GCA_009649015.1	ok	5093003.0	33.0	730973.0	5144090.0	2.0	5089833.0	5092309.0	694.0	98.945256	0.013491	Vibrio parahaemolyticus 10329	bacteria	670	strain=10329	Contig	Complete Genome	SAMN02952920	na	0.9901
GCA_000166595.2	GCA_018884445.1	ok	5305843.0	153.0	132862.0	5283837.0	5.0	5246236.0	5299955.0	5888.0	99.288377	0.111434	Escherichia coli TW11681	bacteria	562	strain=TW11681	Contig	Complete Genome	SAMN02436016	na	1.0042
GCA_000258925.1	GCA_001553195.1	ok	867208.0	6.0	173195.0	897443.0	1.0	877489.0	866081.0	1127.0	97.776572	0.125579	Mycoplasmopsis canis PG 14	bacteria	29555	strain=PG 14	Contig	Complete Genome	SAMN02471767	na	0.9663
GCA_000234845.2	GCA_003692675.1	ok	4927927.0	604.0	83743.0	4736282.0	1.0	4596316.0	4602088.0	325839.0	97.044813	6.879637	Aeromonas salmonicida subsp. salmonicida 01-B526	bacteria	645	strain=01-B526	Contig	Complete Genome	SAMN02469939	na	1.0405
GCA_000235505.1	GCA_005886215.1	ok	5697783.0	18.0	3507896.0	5662031.0	1.0	5652219.0	5697339.0	444.0	99.826705	0.007842	Hungatella hathewayi WAL-18680	bacteria	154046	strain=WAL-18680	Scaffold	Complete Genome	SAMN02463855	na	1.0063
GCA_000251185.1	GCA_024585345.2	ok	6708432.0	102.0	205318.0	6445564.0	1.0	6326648.0	6646324.0	62108.0	98.155072	0.963577	Pseudomonas fuscovaginae UPB0736	bacteria	53407	strain=UPB0736	Scaffold	Chromosome	SAMN02471737	na	1.0408
GCA_000273565.1	GCA_000157355.2	ok	3428870.0	1.0	3428870.0	3427276.0	1.0	3427269.0	3428843.0	27.0	99.999796	0.000788	Enterococcus casseliflavus EC20	bacteria	37734	strain=EC20	Contig	Complete Genome	SAMN02596921	na	1.0005
GCA_000273625.1	GCA_000158275.2	ok	2515488.0	4.0	2225871.0	2514029.0	2.0	2509763.0	2515245.0	243.0	99.830312	0.009666	Fusobacterium animalis 7_1	bacteria	76859	strain=7_1	Contig	Complete Genome	SAMN02463711	na	1.0006
GCA_000256465.2	GCA_038442155.1	ok	5182207.0	45.0	1165394.0	5284523.0	4.0	5167121.0	5180284.0	1923.0	97.77838	0.036389	Vibrio cyclitrophicus ZF270	bacteria	47951	strain=ZF270	Scaffold	Complete Genome	SAMN02470504	na	0.9806
GCA_000273685.1	GCA_000156855.2	ok	2233325.0	8.0	1257526.0	2237793.0	2.0	2229660.0	2233107.0	218.0	99.636562	0.009742	Neisseria gonorrhoeae MS11	bacteria	485	strain=MS11	Contig	Complete Genome	SAMN02596923	na	0.9980
GCA_000329725.1	GCA_018338875.2	ok	4724126.0	56.0	260157.0	4778885.0	3.0	4723251.0	4723028.0	1098.0	98.835837	0.022976	Salmonella enterica subsp. enterica serovar Enteritidis str. 607307-2	bacteria	28901	strain=607307-2	Contig	Complete Genome	SAMN01041108	na	0.9885
GCA_000331815.1	GCA_002023665.2	ok	4032720.0	66.0	207010.0	4058311.0	1.0	3991911.0	3996660.0	36060.0	98.363851	0.888547	Elizabethkingia anophelis R26	bacteria	1117645	strain=R26	Contig	Complete Genome	SAMN02470677	na	0.9937
GCA_000331875.1	GCA_002155245.1	ok	5407139.0	1322.0	8877.0	5874087.0	2.0	5406299.0	5376272.0	30867.0	92.036413	0.525477	Ralstonia solanacearum FJAT-91	bacteria	305	strain=FJAT-91	Contig	Complete Genome	SAMN02469793	unverified source organism	0.9205
GCA_000335355.2	GCA_036923325.1	ok	5246924.0	109.0	131097.0	5505582.0	2.0	5228501.0	5243244.0	3680.0	94.967271	0.066841	Escherichia coli PA2	bacteria	562	strain=PA2	Contig	Complete Genome	SAMN01112701	na	0.9530
GCA_000332585.1	GCA_021172085.1	ok	4858867.0	335.0	27753.0	5103104.0	1.0	4796499.0	4791958.0	66909.0	93.991794	1.311143	Microcystis aeruginosa FACHB-905 = DIANCHI905	bacteria	1126	strain=DIANCHI905	Contig	Complete Genome	SAMN02469975	na	0.9521
GCA_000335415.2	GCA_036923505.1	ok	5158962.0	121.0	122163.0	5476635.0	2.0	5143210.0	5154583.0	4379.0	93.911864	0.079958	Escherichia coli PA11	bacteria	562	strain=PA11	Contig	Complete Genome	SAMN01112590	na	0.9420
GCA_000335455.2	GCA_036923335.1	ok	5260390.0	122.0	146975.0	5568137.0	2.0	5233288.0	5254613.0	5777.0	93.986337	0.103751	Escherichia coli PA8	bacteria	562	strain=PA8	Contig	Complete Genome	SAMN01112512	na	0.9447
GCA_000343875.1	GCA_905183055.1	ok	4308975.0	587.0	18974.0	4402586.0	1.0	4300296.0	4296456.0	12519.0	97.676593	0.284356	Mycobacterium canettii CIPT 140070002	bacteria	78331	strain=CIPT 140070002	Contig	Chromosome	SAMEA2271920	na	0.9787
GCA_000364865.1	GCA_005886435.1	ok	2214851.0	15.0	1486864.0	2230588.0	1.0	2218041.0	2214555.0	296.0	99.437503	0.01327	Schaalia cardiffensis F0333	bacteria	181487	strain=F0333	Scaffold	Complete Genome	SAMN00260255	na	0.9929
GCA_000343915.1	GCA_946221705.1	ok	4341599.0	542.0	24100.0	4406013.0	1.0	4333205.0	4329948.0	11651.0	98.347531	0.264434	Mycobacterium canettii CIPT 140070013	bacteria	78331	strain=CIPT 140070013	Contig	Chromosome	SAMEA2272417	na	0.9854
GCA_000343895.1	GCA_905183065.2	ok	4297970.0	516.0	23804.0	4371897.0	1.0	4290782.0	4286620.0	11350.0	98.144627	0.259613	Mycobacterium canettii CIPT 140070005	bacteria	78331	strain=CIPT 140070005	Contig	Chromosome	SAMEA2272108	na	0.9831
GCA_000343935.1	GCA_905183045.1	ok	4414324.0	502.0	25449.0	4464427.0	1.0	4407569.0	4403471.0	10853.0	98.726421	0.2431	Mycobacterium canettii CIPT 140070007	bacteria	78331	strain=CIPT 140070007	Contig	Chromosome	SAMEA2272657	na	0.9888
GCA_000451025.1	GCA_000392535.3	ok	1694163.0	34.0	73583.0	1658047.0	1.0	1657192.0	1691862.0	2301.0	99.948433	0.138778	Helicobacter pylori UM066	bacteria	210	strain=UM066	Contig	Complete Genome	SAMN02230271	na	1.0218
GCA_000376125.1	GCA_002043005.1	ok	5643744.0	75.0	161034.0	5693067.0	4.0	5633471.0	5641814.0	1930.0	98.953183	0.033901	Martelella mediterranea DSM 17316	bacteria	293089	strain=DSM 17316	Contig	Complete Genome	SAMN02441730	na	0.9913
GCA_000400285.1	GCA_002887615.1	ok	5954450.0	168.0	158060.0	5989523.0	2.0	5916249.0	5921470.0	32980.0	98.77663	0.550628	Vibrio jasicida 090810c	bacteria	766224	strain=090810c	Scaffold	Complete Genome	SAMD00036656	na	0.9941
GCA_000461895.1	GCA_011212705.1	ok	5534904.0	210.0	50722.0	5634694.0	3.0	5530709.0	5530566.0	4338.0	98.154558	0.076987	Vibrio coralliilyticus OCN008	bacteria	190893	strain=OCN008	Contig	Complete Genome	SAMN02304133	annotation fails completeness check; many frameshifted proteins	0.9823
GCA_000466945.1	GCA_003860345.1	ok	4291514.0	54.0	486368.0	4358096.0	1.0	4297541.0	4290466.0	1048.0	98.610517	0.024047	Caenibius tardaugens NBRC 16725	bacteria	169176	strain=NBRC 16725	Contig	Complete Genome	SAMD00041832	na	0.9847
GCA_000474175.2	GCA_015074805.1	ok	4916601.0	252.0	38414.0	4984172.0	4.0	4835011.0	4843563.0	73038.0	97.007306	1.465399	Sphingobium fuliginis	bacteria	336203	strain=KK22	Contig	Complete Genome	SAMD00011324	na	0.9864
GCA_000474785.1	GCA_018074945.1	ok	5506631.0	8.0	4009174.0	5481241.0	9.0	5429253.0	5506407.0	224.0	99.051529	0.004087	Enterobacter sp. MGH 14	bacteria	1329823	strain=MGH 14	Contig	Complete Genome	SAMN02138554	na	1.0046
GCA_000485945.1	GCA_049942905.1	ok	4841867.0	377.0	24526.0	4952231.0	4.0	4831592.0	4833549.0	8318.0	97.563946	0.167965	Franconibacter helveticus 513	bacteria	357240	strain=513	Contig	Complete Genome	SAMN02364109	na	0.9777
GCA_000485985.1	GCA_049942925.1	ok	4708624.0	252.0	31252.0	4755566.0	1.0	4698326.0	4699796.0	8828.0	98.796358	0.185635	Franconibacter pulveris 601	bacteria	435910	strain=601	Contig	Complete Genome	SAMN02369274	na	0.9901
GCA_000482265.1	GCA_000269645.2	ok	4638920.0	1.0	4638920.0	4638970.0	1.0	4638921.0	4638871.0	49.0	99.998944	0.001056	Escherichia coli str. K-12 substr. MG1655	bacteria	562	strain=K-12 substr. MG1655	Contig	Complete Genome	SAMN02596920	na	1.0000
GCA_000486005.1	GCA_049942935.1	ok	4634506.0	161.0	50984.0	4690958.0	4.0	4630659.0	4631011.0	3495.0	98.71457	0.074505	Franconibacter helveticus 1159	bacteria	357240	strain=1159	Contig	Complete Genome	SAMN02364110	na	0.9880
GCA_000485965.1	GCA_049942875.1	ok	4811103.0	137.0	75764.0	4882495.0	3.0	4807906.0	4808365.0	2738.0	98.472318	0.056078	Franconibacter pulveris 1160	bacteria	435910	strain=1160	Contig	Complete Genome	SAMN02369275	na	0.9854
