accession	cohort	v5_completeness	v5_contamination	checkm2_completeness	checkm2_contamination	total_bp	n_contigs	classified_bp	unclassified_pct	orig_phylum_dominant	orig_phylum_dominant_pct	orig_phylum_contam_pct	orig_n_phyla	strict_phylum_dominant	strict_phylum_dominant_pct	strict_phylum_contam_pct	strict_n_phyla	strict_qualifying_bp	strict_qualifying_bp_frac	strict_n_qualifying_contigs	total_kmers	informative_kmers	informative_kmer_density	mean_contig_confidence_bpw	asm_total_bp	asm_n_contigs	asm_n50	asm_gc_pct
GCA_001782735.1	disagreement_141	81.07164	5.3582726	96.77	0.54	848748	23	848748	0.0	Pseudomonadota	39.546	47.953	4	unresolved			0	0	0.0	0	845135	3464	0.004099	0.000395	848748	23	67654	39.978
GCA_002070265.1	disagreement_141	68.92568	22.423273	95.31	0.71	2946271	93	2932480	0.468	Bacteroidota	94.852	3.104	7	Bacteroidota	100.0	0.0	1	6470	0.0022	2	2943109	40855	0.013882	0.001441	2946271	93	109678	38.898
GCA_002440965.1	disagreement_141	76.042114	1.857701	94.05	0.31	1594747	39	1586615	0.51	Pseudomonadota	75.466	14.833	7	unresolved			0	0	0.0	0	1592802	8748	0.005492	0.000514	1594747	39	59407	41.877
GCA_002730975.1	disagreement_141	66.96346	10.941413	93.28	3.82	3847701	152	3818915	0.748	Pseudomonadota	48.045	44.375	9	unresolved			0	0	0.0	0	3824227	16321	0.004268	0.000629	3847701	152	35440	50.37
GCA_002792165.1	disagreement_141	57.782135	11.139044	93.39	0.0	486256	41	469409	3.465	Pseudomonadota	53.238	9.294	8	unresolved			0	0	0.0	0	482909	2706	0.005604	0.00206	486256	41	16797	40.412
GCA_003511635.1	disagreement_141	65.75756	38.245586	94.91	0.5	1088274	21	1088274	0.0	Pseudomonadota	71.279	23.186	4	unresolved			0	0	0.0	0	1087321	8222	0.007562	0.000302	1088274	21	72242	35.914
GCA_009784235.1	disagreement_141	74.838554	1.1353403	98.49	0.0	874588	3	874588	0.0	Pseudomonadota	100.0	0.0	1	unresolved			0	0	0.0	0	874486	6023	0.006887	2.3e-05	874588	3	312735	45.822
GCA_012963765.1	disagreement_141	77.580444	7.639396	91.15	1.24	2465736	309	2288231	7.199	Pseudomonadota	56.079	23.195	13	unresolved			0	0	0.0	0	2449378	16547	0.006756	0.001379	2465736	309	12783	42.606
GCA_015067545.1	disagreement_141	80.86024	7.0765467	97.69	0.04	1801424	18	1801424	0.0	Bacillota	99.553	0.447	2	unresolved			0	0	0.0	0	1800812	30326	0.01684	0.00023	1801424	18	137094	52.159
GCA_015068615.1	disagreement_141	64.47526	2.166897	90.74	1.17	1324291	74	1321540	0.208	Bacillota	68.241	25.214	3	unresolved			0	0	0.0	0	1321689	18001	0.01362	0.001196	1324291	74	24755	48.057
