# Contaminant provenance for the clean benchmark sets.
# One row per contamination event (a genome_id may appear up to 5x).
# split = which train/val/test split the contaminant reference belongs to.
set	genome_id	contaminant_accession	canonical_key	split	phylum	dominant_phylum	same_phylum_as_dominant
set_C_clean	genome_0	RS_GCF_900988835.1	900988835	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_1	RS_GCF_932527465.1	932527465	test	Actinomycetota	Patescibacteriota	False
set_C_clean	genome_1	RS_GCF_030929115.1	030929115	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_1	RS_GCF_030346045.1	030346045	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_1	RS_GCF_017166365.1	017166365	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_1	GB_GCA_910588835.1	910588835	test	Bacteroidota	Patescibacteriota	False
set_C_clean	genome_2	RS_GCF_002953415.1	002953415	test	Deinococcota	Patescibacteriota	False
set_C_clean	genome_2	GB_GCA_947345715.1	947345715	test	Bacteroidota	Patescibacteriota	False
set_C_clean	genome_3	RS_GCF_040245265.1	040245265	test	Bacteroidota	Patescibacteriota	False
set_C_clean	genome_3	RS_GCF_001831725.1	001831725	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_3	RS_GCF_015844995.1	015844995	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_3	RS_GCF_900636705.1	900636705	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_3	RS_GCF_025519575.1	025519575	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_4	RS_GCF_001610775.1	001610775	test	Chloroflexota	Patescibacteriota	False
set_C_clean	genome_5	RS_GCF_022095585.1	022095585	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_5	RS_GCF_003028755.1	003028755	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_6	RS_GCF_002802485.1	002802485	test	Actinomycetota	Patescibacteriota	False
set_C_clean	genome_6	RS_GCF_030160455.1	030160455	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_7	RS_GCF_000274365.1	000274365	test	Campylobacterota	Patescibacteriota	False
set_C_clean	genome_7	GB_GCA_947074955.1	947074955	test	Bacteroidota	Patescibacteriota	False
set_C_clean	genome_8	RS_GCF_027678605.1	027678605	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_8	RS_GCF_031872955.1	031872955	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_8	GB_GCA_948623265.1	948623265	test	Verrucomicrobiota	Patescibacteriota	False
set_C_clean	genome_9	RS_GCF_007289895.1	007289895	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_9	RS_GCF_021165815.1	021165815	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_9	RS_GCF_020640395.1	020640395	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_9	RS_GCF_013374175.1	013374175	test	Campylobacterota	Patescibacteriota	False
set_C_clean	genome_9	RS_GCF_900445975.1	900445975	test	Spirochaetota	Patescibacteriota	False
set_C_clean	genome_10	RS_GCF_002063385.1	002063385	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_10	RS_GCF_015275985.1	015275985	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_10	GB_GCA_948944815.1	948944815	test	Desulfobacterota_I	Patescibacteriota	False
set_C_clean	genome_11	RS_GCF_040268335.1	040268335	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_11	GB_GCA_002199365.1	002199365	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_11	RS_GCF_041357215.1	041357215	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_11	RS_GCF_948558175.1	948558175	test	Bacteroidota	Patescibacteriota	False
set_C_clean	genome_11	RS_GCF_006378935.1	006378935	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_12	RS_GCF_027272325.1	027272325	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_12	RS_GCF_039753855.1	039753855	test	Actinomycetota	Patescibacteriota	False
set_C_clean	genome_12	RS_GCF_003851345.1	003851345	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_12	RS_GCF_002245935.1	002245935	test	Campylobacterota	Patescibacteriota	False
set_C_clean	genome_13	RS_GCF_011066545.1	011066545	test	Planctomycetota	Patescibacteriota	False
set_C_clean	genome_13	RS_GCF_040931905.1	040931905	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_14	RS_GCF_000968055.1	000968055	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_14	RS_GCF_032485415.1	032485415	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_14	RS_GCF_015840915.1	015840915	test	Cyanobacteriota	Patescibacteriota	False
set_C_clean	genome_15	RS_GCF_039543845.1	039543845	test	Actinomycetota	Patescibacteriota	False
set_C_clean	genome_15	RS_GCF_000557265.1	000557265	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_15	RS_GCF_000573065.1	000573065	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_15	RS_GCF_000538415.1	000538415	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_15	RS_GCF_014323725.1	014323725	test	Actinomycetota	Patescibacteriota	False
set_C_clean	genome_16	RS_GCF_002203155.1	002203155	test	Actinomycetota	Patescibacteriota	False
set_C_clean	genome_16	RS_GCF_030323745.1	030323745	test	Actinomycetota	Patescibacteriota	False
set_C_clean	genome_16	RS_GCF_015831025.1	015831025	test	Actinomycetota	Patescibacteriota	False
set_C_clean	genome_16	RS_GCF_019405145.1	019405145	test	Chlamydiota	Patescibacteriota	False
set_C_clean	genome_17	RS_GCF_008727865.1	008727865	test	Bacteroidota	Patescibacteriota	False
set_C_clean	genome_17	RS_GCF_964206895.1	964206895	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_18	RS_GCF_001696085.1	001696085	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_18	RS_GCF_000327665.2	000327665	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_19	RS_GCF_019458745.1	019458745	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_20	RS_GCF_033898645.1	033898645	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_20	RS_GCF_000018905.1	000018905	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_20	RS_GCF_025215115.1	025215115	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_20	RS_GCF_000652855.1	000652855	test	Actinomycetota	Patescibacteriota	False
set_C_clean	genome_21	RS_GCF_032067795.1	032067795	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_22	RS_GCF_001211745.1	001211745	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_22	RS_GCF_948558175.1	948558175	test	Bacteroidota	Patescibacteriota	False
set_C_clean	genome_22	RS_GCF_029084145.1	029084145	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_22	RS_GCF_015352395.1	015352395	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_23	RS_GCF_006506995.1	006506995	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_23	RS_GCF_035794875.1	035794875	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_23	RS_GCF_011038575.1	011038575	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_24	RS_GCF_904830965.1	904830965	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_25	GB_GCA_040004035.1	040004035	test	Cyanobacteriota	Patescibacteriota	False
set_C_clean	genome_26	RS_GCF_019278055.1	019278055	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_26	RS_GCF_000480885.1	000480885	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_26	RS_GCF_040703085.1	040703085	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_27	RS_GCF_001560245.1	001560245	test	Thermoproteota	Patescibacteriota	False
set_C_clean	genome_27	GB_GCA_948716465.1	948716465	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_28	GB_GCA_948713815.1	948713815	test	Bacteroidota	Patescibacteriota	False
set_C_clean	genome_28	RS_GCF_004358445.1	004358445	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_28	RS_GCF_002182965.1	002182965	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_29	RS_GCF_900602465.1	900602465	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_30	RS_GCF_030293285.1	030293285	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_30	RS_GCF_948865755.1	948865755	test	Bacteroidota	Patescibacteriota	False
set_C_clean	genome_30	GB_GCA_963693005.1	963693005	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_30	RS_GCF_019748655.1	019748655	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_31	RS_GCF_021228795.1	021228795	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_31	RS_GCF_000279415.1	000279415	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_31	RS_GCF_002138975.1	002138975	test	Campylobacterota	Patescibacteriota	False
set_C_clean	genome_31	RS_GCF_015694345.1	015694345	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_31	RS_GCF_900028215.1	900028215	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_32	RS_GCF_008802035.1	008802035	test	Campylobacterota	Patescibacteriota	False
set_C_clean	genome_32	RS_GCF_036632595.1	036632595	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_33	RS_GCF_900129315.1	900129315	test	Bacteroidota_A	Patescibacteriota	False
set_C_clean	genome_33	RS_GCF_000480665.1	000480665	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_33	RS_GCF_001119525.1	001119525	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_33	RS_GCF_003834805.1	003834805	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_33	GB_GCA_948755085.1	948755085	test	Bacteroidota	Patescibacteriota	False
set_C_clean	genome_34	RS_GCF_030816995.1	030816995	test	Actinomycetota	Patescibacteriota	False
set_C_clean	genome_34	GB_GCA_959024865.1	959024865	test	Bacteroidota	Patescibacteriota	False
set_C_clean	genome_35	RS_GCF_016452125.1	016452125	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_35	RS_GCF_022096525.1	022096525	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_35	GB_GCA_000008885.1	000008885	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_35	GB_GCA_018000195.1	018000195	test	Acidobacteriota	Patescibacteriota	False
set_C_clean	genome_36	RS_GCF_900142575.1	900142575	test	Actinomycetota	Patescibacteriota	False
set_C_clean	genome_36	RS_GCF_016772005.1	016772005	test	Bacillota	Patescibacteriota	False
set_C_clean	genome_36	RS_GCF_026158725.1	026158725	test	Pseudomonadota	Patescibacteriota	False
set_C_clean	genome_36	RS_GCF_024810105.1	024810105	test	Pseudomonadota	Patescibacteriota	False
