dataset	completeness_band	tool	n	comp_mae	comp_bias	cont_mae	cont_bias	r2_note	denominator
marine	50-60	CheckM2	64	18.959590083495947	-18.959590083495947	1.5365625	1.5365625	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	50-60	CoCoPyE	64	21.44219881113659	21.44219881113659	28.711595753786867	28.711595753786867	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	50-60	DeepCheck	64	25.471127729551167	-25.471127729551167	2.1645948432851583	2.1645948432851583	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	50-60	MAGICC_V5	64	2.954700949451359	1.5627400102540538	0.4417499149953125	0.4417499149953125	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	60-70	CheckM2	52	23.690689807846518	-23.690689807846518	1.8934615384615383	1.8934615384615383	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	60-70	CoCoPyE	52	20.903533740306383	20.903533740306383	33.32209230444889	33.32209230444889	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	60-70	DeepCheck	52	28.119591051789953	-28.119591051789953	3.252273284471952	3.252273284471952	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	60-70	MAGICC_V5	52	3.6057227230098814	-0.10869340400036592	0.36090767053846157	0.36090767053846157	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	70-80	CheckM2	39	22.63148286748847	-22.63148286748847	3.1487179487179486	3.1487179487179486	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	70-80	CoCoPyE	39	16.438571774926185	16.438571774926185	34.67363726026596	34.67363726026596	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	70-80	DeepCheck	39	27.58530921229641	-27.58530921229641	4.0595098581069555	4.0595098581069555	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	70-80	MAGICC_V5	39	4.436411843073795	-1.620631380308984	0.7537878324358974	0.7537878324358974	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	80-90	CheckM2	45	16.64456714425008	-16.64456714425008	4.222222222222222	4.222222222222222	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	80-90	CoCoPyE	45	10.931867795547573	10.931867795547573	30.282280231197937	30.282280231197937	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	80-90	DeepCheck	45	22.0332638063052	-22.0332638063052	4.966511509153578	4.966511509153578	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	80-90	MAGICC_V5	45	5.186074718547804	-0.1549887442500804	1.1996623128444446	1.1996623128444446	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	90-95	CheckM2	25	8.23155056271371	-8.23155056271371	5.6	5.6	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	90-95	CoCoPyE	25	6.636118828674241	6.636118828674241	20.419338667465833	20.419338667465833	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	90-95	DeepCheck	25	15.818852039764492	-15.818852039764492	4.813763303756714	4.813763303756714	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	90-95	MAGICC_V5	25	6.480127149012618	1.405380477286289	1.25248727652	1.25248727652	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
