Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
genome_10	90.98	16.09	Gradient Boost (General Model)	11	0.839	44383	272.4974226804124	3772970	0.4	3880	None
genome_102	66.46	0.01	Neural Network (Specific Model)	11	0.871	184049	298.58623583718	2447125	0.42	2383	None
genome_106	75.44	13.03	Gradient Boost (General Model)	11	0.864	151361	321.95511968085106	3360829	0.51	3008	None
genome_113	70.38	11.5	Gradient Boost (General Model)	11	0.888	184408	316.15492957746477	3104143	0.6	2911	None
genome_116	95.69	36.77	Gradient Boost (General Model)	11	0.88	439482	304.56753832281333	5743492	0.55	5545	None
genome_120	98.87	20.73	Neural Network (Specific Model)	11	0.861	18831	298.80251860332	3634683	0.37	3494	None
genome_121	62.49	0.1	Neural Network (Specific Model)	11	0.836	7283	274.463474524248	1602362	0.33	1629	None
genome_146	99.51	13.01	Neural Network (Specific Model)	11	0.889	1042783	343.505	1155865	0.41	1000	None
genome_149	100.0	5.74	Neural Network (Specific Model)	11	0.875	2378460	318.8709807073955	2714171	0.5	2488	None
genome_16	84.19	8.5	Neural Network (Specific Model)	11	0.909	163640	315.6186440677966	3188592	0.63	3068	None
genome_161	99.93	16.29	Neural Network (Specific Model)	11	0.881	91594	316.7847550595801	5694098	0.57	5287	None
genome_164	67.72	0.11	Neural Network (Specific Model)	11	0.838	1168203	309.3515715948778	1899449	0.33	1718	None
genome_166	94.78	0.88	Neural Network (Specific Model)	11	0.839	295735	296.9752698970625	8445523	0.64	7966	None
genome_167	80.45	12.04	Neural Network (Specific Model)	11	0.885	1320328	312.324527442496	4640570	0.54	4391	None
genome_168	99.37	71.74	Gradient Boost (General Model)	11	0.879	24831	320.28248130935543	10800364	0.66	9898	None
genome_170	95.26	25.19	Neural Network (Specific Model)	11	0.898	493032	314.83211424590735	3016305	0.35	2871	None
genome_172	100.0	65.41	Neural Network (Specific Model)	11	0.877	6684624	336.79132844981194	11613255	0.7	10102	None
genome_182	64.44	1.25	Neural Network (Specific Model)	11	0.885	575565	315.60546282245826	2815616	0.52	2636	None
genome_185	100.0	44.22	Neural Network (Specific Model)	11	0.857	5214061	337.0505027422303	10303916	0.52	8752	None
genome_192	81.86	13.57	Neural Network (Specific Model)	11	0.897	94934	297.67691910054276	3837555	0.43	3869	None
genome_194	64.72	0.53	Neural Network (Specific Model)	11	0.841	399965	278.37134608444603	2742432	0.46	2771	None
genome_197	86.46	19.19	Neural Network (Specific Model)	11	0.912	22041	272.83025354533737	2081450	0.55	2327	None
genome_199	100.0	19.78	Neural Network (Specific Model)	11	0.856	1502464	311.30239273927396	5282002	0.59	4848	None
genome_205	95.09	51.21	Neural Network (Specific Model)	11	0.909	38529	312.89217673287396	7619404	0.63	7401	None
genome_206	85.95	17.05	Neural Network (Specific Model)	11	0.839	2100476	297.3716925661487	2528514	0.37	2381	None
genome_207	92.69	28.97	Gradient Boost (General Model)	11	0.893	11209	290.7046082949309	6344717	0.59	6510	None
genome_21	100.0	51.21	Neural Network (Specific Model)	11	0.876	15266	293.5383341221013	8483764	0.52	8452	None
genome_211	92.37	0.04	Neural Network (Specific Model)	11	0.925	251513	300.53352353780315	2046668	0.27	2103	None
genome_212	76.65	1.15	Neural Network (Specific Model)	11	0.862	83190	324.9106741573034	6027786	0.67	5340	None
genome_214	88.59	27.07	Neural Network (Specific Model)	11	0.887	22854	312.79438612505703	4625481	0.53	4382	None
genome_219	87.34	16.34	Gradient Boost (General Model)	11	0.906	84335	304.088927943761	2858257	0.46	2845	None
genome_22	57.32	0.0	Neural Network (Specific Model)	11	0.847	279567	286.9464398235665	1610498	0.31	1587	None
genome_224	64.93	5.72	Neural Network (Specific Model)	11	0.872	118535	287.7191977077364	2069120	0.37	2094	None
genome_225	100.0	47.31	Neural Network (Specific Model)	11	0.866	490420	309.1941716309773	6645970	0.48	6211	None
genome_229	86.65	16.8	Neural Network (Specific Model)	11	0.892	15703	305.2044198895028	5374259	0.63	5249	None
genome_236	99.94	0.01	Neural Network (Specific Model)	11	0.821	525454	292.0199401794616	2135596	0.52	2006	None
genome_237	68.21	0.22	Neural Network (Specific Model)	11	0.839	151129	307.0261716372489	1801943	0.33	1643	None
genome_240	53.85	0.32	Neural Network (Specific Model)	11	0.89	144299	303.7101063829787	1538122	0.38	1504	None
genome_246	100.0	56.71	Neural Network (Specific Model)	11	0.902	133554	295.02611024324926	4386085	0.33	4481	None
genome_248	92.68	30.47	Neural Network (Specific Model)	11	0.878	51904	321.5255210548703	5152597	0.44	4702	None
genome_25	100.0	26.0	Neural Network (Specific Model)	11	0.845	2734931	291.63398357289526	4026663	0.35	3896	None
genome_254	85.31	15.69	Neural Network (Specific Model)	11	0.868	514867	315.99932553956836	4850479	0.54	4448	None
genome_257	100.0	21.94	Neural Network (Specific Model)	11	0.855	2448233	303.9562482127538	3720527	0.4	3497	None
genome_26	100.0	15.11	Neural Network (Specific Model)	11	0.843	2731529	285.7548526240115	4225218	0.49	4173	None
genome_265	90.42	30.14	Gradient Boost (General Model)	11	0.868	7352	279.87175721977485	3945226	0.45	4086	None
genome_267	99.99	0.12	Neural Network (Specific Model)	11	0.525	1225795	322.4009009009009	1225795	0.32	666	None
genome_27	58.89	0.08	Neural Network (Specific Model)	11	0.879	588721	333.21214953271027	2430917	0.33	2140	None
genome_273	100.0	54.86	Neural Network (Specific Model)	11	0.874	1987859	310.2432338653713	9184742	0.58	8646	None
genome_274	99.91	1.92	Neural Network (Specific Model)	11	0.922	1747233	292.81016299137104	1980694	0.34	2086	None
genome_278	99.01	25.55	Gradient Boost (General Model)	11	0.863	259896	303.2939135919268	6674806	0.53	6342	None
