code	organism	draft_fasta	n_contigs	draft_bp	draft_n50	ref_len	ref_nseq	draft_over_ref	covered_ref_bp	contam_bp	unaligned_bp	true_completeness	true_contamination	true_contamination_upper	genome_id	magicc_completeness	magicc_contamination	checkm2_completeness	checkm2_contamination	cocopye_completeness	cocopye_contamination	deepcheck_completeness	deepcheck_contamination	cocopye_selected_stage	cocopye_tool_scored	cocopye_tool_attempted
bs	Bacillus subtilis	/media/Data_1/tianrm/projects/magicc2/data/real_data/zymo/drafts/bs.fasta	29	3985829	294381	4045677	1	0.9852	3981175	4773	586	98.4057	0.118	0.1325	bs	99.93976	0.25028586	100.0	0.1	100.0	0.0	98.96388244628906	-0.3084726631641388	3	True	True
ec	Escherichia coli	/media/Data_1/tianrm/projects/magicc2/data/real_data/zymo/drafts/ec.fasta	103	4787036	107753	4875441	2	0.9819	4782974	0	1715	98.1034	0.0	0.0352	ec	99.899216	0.71642995	100.0	0.15	99.4240896075368	0.0	98.90122985839844	-0.1679249107837677	3	True	True
ef	Enterococcus faecalis	/media/Data_1/tianrm/projects/magicc2/data/real_data/zymo/drafts/ef.fasta	30	2820294	238991	2845392	1	0.9912	2822187	0	603	99.1845	0.0	0.0212	ef	99.894585	0.19913316	99.99	0.13	99.82540844259955	0.0	99.34180450439452	-0.3790929913520813	3	True	True
lf	Limosilactobacillus fermentum	/media/Data_1/tianrm/projects/magicc2/data/real_data/zymo/drafts/lf.fasta	84	1805517	40416	1905333	1	0.9476	1803909	0	1562	94.6768	0.0	0.082	lf	99.930984	0.2607286	99.96	0.03	99.92520815216652	0.0011256245830683	98.86780548095705	0.3881558775901794	3	True	True
lm	Listeria monocytogenes	/media/Data_1/tianrm/projects/magicc2/data/real_data/zymo/drafts/lm.fasta	16	2958570	542799	2992342	1	0.9887	2959547	0	314	98.904	0.0	0.0105	lm	99.72504	0.6477654	99.99	0.87	100.0	2.70469875207206	99.07359313964844	-0.2119034528732299	3	True	True
pa	Pseudomonas aeruginosa	/media/Data_1/tianrm/projects/magicc2/data/real_data/zymo/drafts/pa.fasta	83	6728151	249467	6792330	1	0.9906	6725079	160	1538	99.0099	0.0024	0.025	pa	99.90601	0.6459534	100.0	0.07	100.0	0.0	98.93602752685548	0.2399824559688568	3	True	True
sa	Staphylococcus aureus	/media/Data_1/tianrm/projects/magicc2/data/real_data/zymo/drafts/sa.fasta	67	2689205	131983	2730326	4	0.9849	2686266	0	1514	98.3863	0.0	0.0555	sa	99.96535	0.28052032	100.0	0.02	99.94944848670715	0.51358185348971	99.42037963867188	-0.2773582935333252	3	True	True
se	Salmonella enterica	/media/Data_1/tianrm/projects/magicc2/data/real_data/zymo/drafts/se.fasta	66	4738357	177680	4809318	2	0.9852	4735477	0	1518	98.4646	0.0	0.0316	se	99.887665	0.5728662	100.0	0.05	99.94902577804385	0.43052954017435	99.31829833984376	-0.1804091036319732	3	True	True
