bin,stage,method,1_completeness_arc,1_contamination_arc,1_completeness_bac,1_contamination_bac,2_completeness,2_contamination,2_num_markers,3_completeness,3_contamination,coding_density,knn_score,taxonomy,taxonomy_level,notes
genome_689,3,markers + neural network,0.48550725,0.10144927,0.9537037,0.018518519,0.8370791040285669,0.007575757575757576,990.0,0.8295203576644071,0.0,0.0012506517798820055,0.58121896,Vibrio,genus,
genome_590,2,markers,0.442029,0.2536232,0.9351852,0.5185185,0.8731730534480169,0.38641480665940503,1040.0,0.7976774442249158,0.31293198232661723,0.0013101380047315083,0.44941965,Campylobacter,genus,
genome_281,3,markers + neural network,0.39855072,0.1884058,0.8518519,0.1574074,0.8728323699421965,0.2947976878612717,173.0,0.86038103087985,0.1987401950786991,0.0014736150579953411,0.31273213,Bacteria,superkingdom,
genome_51,2,markers,0.5507246,1.0797101,1.0,1.7222222,0.9982778415614236,1.1798125134543629,871.0,0.8244955172778831,0.29665373480409457,0.001194891343034142,0.23079526,Streptomyces,genus,
genome_659,3,markers + neural network,0.23913044,0.057971016,0.6388889,0.10185185,0.723415164128403,0.11196319018404909,326.0,0.6929225156960868,0.22151857505983105,0.0010716323514694166,0.4037959,Chlamydiia,class,
genome_622,3,markers + neural network,0.19565217,0.04347826,0.42592594,0.027777778,0.6288519582995702,0.04744457257775067,887.0,0.6341104527089123,0.13897295405505433,0.001323741506232857,0.47125024,Streptococcus,genus,
genome_802,2,markers,0.5362319,1.3695652,1.0,2.3425925,0.8364268223614072,0.6278649433843617,1876.0,0.7878432784476663,0.30220839048095843,0.0012616291745970786,0.36766195,Escherichia coli,species,
genome_48,2,markers,0.5289855,0.5217391,1.0,0.9814815,0.9260249554367201,0.9306594930230615,561.0,0.817779528784754,0.26889443086440357,0.0012201861989493495,0.23374653,Geobacteraceae,family,
genome_485,2,markers,0.5217391,0.9347826,0.9722222,1.5462962,0.7632896717553156,0.5974398379721342,1893.0,0.7196004533423229,0.3129046785383734,0.0011732740197362163,0.3314147,Klebsiella pneumoniae,species,
genome_891,3,markers + neural network,0.48550725,0.06521739,1.0,0.009259259,1.0,0.01608910891089109,404.0,1.0,0.0007515818793560544,0.0011881526714696377,0.62446696,Bacillota,phylum,
genome_8,3,markers + neural network,0.49275362,0.42028984,0.8981481,0.5462963,0.7464519137717637,0.09540110481095909,1881.0,0.7105197017673037,0.14210407546593654,0.001378555553107746,0.51800334,Klebsiella pneumoniae,species,
genome_700,3,markers + neural network,0.48550725,0.23913044,0.8148148,0.3148148,0.8091495365641563,0.11848486550985994,1698.0,0.7759340406213038,0.16182242170065544,0.0013107309909642223,0.53397703,Klebsiella,genus,
genome_635,2,markers,0.5217391,0.70289856,1.0,1.1388888,1.0,0.46094959803989954,840.0,0.9954027031784207,0.26856872087404704,0.0016164088962433035,0.39740536,Alcaligenaceae,family,
genome_842,3,markers + neural network,0.19565217,0.04347826,0.46296296,0.0,0.7138448290509029,0.00015961633904495908,1253.0,0.7100847609154239,0.0,0.001252506366305774,0.60288537,Enterococcus faecalis,species,
genome_375,3,markers + neural network,0.4710145,0.23188406,0.9537037,0.24074075,0.869404778113732,0.28383011451134316,1040.0,0.8270100609721295,0.3076013325295644,0.0013052343645101156,0.5263433,Campylobacter,genus,
genome_525,2,markers,0.557971,0.76086956,1.0,1.574074,1.0,0.7521539439325747,1840.0,0.955626245612248,0.30278607067972513,0.0013480376730651816,0.36267573,Escherichia coli,species,
genome_815,2,markers,0.5217391,1.2391304,1.0,2.074074,0.9993386243386243,0.9938570052858383,1512.0,0.9342912416067999,0.28779222991539566,0.0012059463604750854,0.3771794,Xanthomonas,genus,
genome_918,3,markers + neural network,0.54347825,0.19565217,0.8888889,0.2037037,0.7360368443342838,0.18632874798348573,1063.0,0.6734200689458696,0.3056146563060829,0.0012132537099908676,0.46174186,Pasteurella,genus,
genome_37,3,markers + neural network,0.5072464,0.13043478,1.0,0.16666667,0.9989022256285162,0.08207364089042997,1422.0,0.9979802563439301,0.09986537495280412,0.0012793569021885519,0.79078233,Staphylococcus aureus,species,
genome_317,3,markers + neural network,0.49275362,0.057971016,1.0,0.009259259,1.0,0.010290556900726392,826.0,1.0,0.0,0.00151183759887513,0.80936277,Streptococcus,genus,
genome_4,2,markers,0.615942,0.68115944,1.0,0.9351852,1.0,0.5700585409255938,1063.0,0.9776642765907276,0.2873375010549514,0.0012497969080024496,0.4210263,Pasteurella,genus,
genome_309,2,markers,0.5072464,0.6884058,1.0,1.1203704,1.0,0.5309850646228325,656.0,0.9733075826336557,0.2892348311678428,0.0010338690445257385,0.395895,Corynebacterium,genus,
genome_78,3,markers + neural network,0.20289855,0.04347826,0.46296296,0.0,0.8642201928056682,0.00581805359661495,1418.0,0.8593925202881039,0.0,0.0012870304419840605,0.6993005,Bacillus,genus,
genome_257,3,markers + neural network,0.5,0.26086956,1.0,0.37962964,0.9969222050294322,0.27411807298880425,1083.0,1.0,0.2721526755057068,0.0012543921869133056,0.54238504,Enterococcus faecium,species,
genome_469,3,markers + neural network,0.5072464,0.3768116,0.8703704,0.4074074,0.7616764438035568,0.10599448086776983,1838.0,0.7167754227920033,0.16369009975936727,0.0013200963517429859,0.5132385,Klebsiella pneumoniae,species,
genome_679,3,markers + neural network,0.442029,0.14492753,0.9166667,0.24074075,0.9289196160063532,0.2659041303353167,969.0,0.9032348738582239,0.23786141071191466,0.0013114533215811547,0.51222503,Lactiplantibacillus plantarum,species,
genome_315,3,markers + neural network,0.49275362,0.036231883,0.9907407,0.009259259,1.0,0.009192065334458483,689.0,1.0,0.0,0.0009792131697397774,0.70387477,Corynebacterium,genus,
genome_833,2,markers,0.89855075,0.79710144,1.0,0.8240741,1.0,0.41717786325113065,843.0,0.9976840348672663,0.2663084027129753,0.0016991849129624629,0.41789234,Alcaligenaceae,family,
genome_838,2,markers,0.17391305,0.02173913,0.3425926,0.027777778,0.5630952290126255,0.00148809514939785,672.0,0.5996754293244918,0.0,0.001150061942674486,0.43254253,Pseudodesulfovibrio,genus,
genome_355,3,markers + neural network,0.5217391,0.18115942,1.0,0.25,1.0,0.2531133440333612,803.0,1.0,0.2548144373036183,0.001423956840624535,0.57959175,Streptococcus,genus,
genome_750,2,markers,0.49275362,0.3188406,0.9351852,0.5185185,0.8548139389968714,0.536536248561565,869.0,0.7256489097339236,0.29334155782821647,0.0012094329367836245,0.30479172,Synechococcus,genus,
genome_121,3,markers + neural network,0.35507247,0.057971016,0.7222222,0.046296295,0.6071903880049543,0.026721664275466284,1394.0,0.603605572500695,0.029246010545544855,0.0013711009122782491,0.5221106,Staphylococcus,genus,
genome_187,3,markers + neural network,0.4347826,0.04347826,0.8611111,0.027777778,0.6964995385118555,0.025228635703152716,1057.0,0.6813593083212108,0.022980537417972194,0.001227907157469303,0.49176383,Erwiniaceae,family,
genome_431,3,markers + neural network,0.45652175,0.04347826,0.8333333,0.018518519,0.7705684937359977,0.001335441406362611,1897.0,0.7584848774657984,0.004156007396691912,0.0014930003381749175,0.65829647,Escherichia coli,species,
genome_403,3,markers + neural network,0.41304347,0.057971016,0.6759259,0.0,0.6995073891625616,0.0049261083743842365,203.0,0.6484024104534425,0.015223312268751378,0.000780402878915989,0.39287335,Bacteria,superkingdom,
genome_874,3,markers + neural network,0.5217391,0.442029,1.0,0.6481481,1.0,0.27503749527064014,1941.0,1.0,0.26625238110940086,0.0014245056285135981,0.5646087,Escherichia coli,species,
genome_909,3,markers + neural network,0.442029,0.06521739,0.8611111,0.0,0.8341070229322752,-1.5758477313100328e-10,634.0,0.8409471358219361,0.0,0.0013033268074656664,0.6289658,Limosilactobacillus,genus,
genome_664,2,markers,0.49275362,0.6304348,0.9722222,1.0092592,0.8487265123765498,0.49916645124846815,1734.0,0.7807831832466567,0.321765596176924,0.0011156743893793628,0.38315496,Escherichia coli,species,
genome_886,3,markers + neural network,0.29710144,0.04347826,0.6851852,0.0,0.7049562755093388,0.001326579260929621,1382.0,0.6945713147542596,0.0,0.001342200083946604,0.62524813,Staphylococcus,genus,
genome_841,2,markers,0.26086956,0.050724637,0.12037037,0.009259259,0.4053156146179402,0.03986710963455149,301.0,0.5910229402250636,0.08715385424537603,0.001101930068167515,0.32465366,Euryarchaeota,phylum,
genome_108,3,markers + neural network,0.4710145,0.036231883,0.8981481,0.009259259,0.8142665693609101,0.0013458950201884253,743.0,0.8188840642804722,0.0,0.000963434319936225,0.582218,Flavobacteriaceae,family,
genome_218,2,markers,0.5362319,0.6666667,1.0,0.8796296,1.0,0.49588339969065076,1091.0,0.9971082798011366,0.26013737158866457,0.0011498915515646096,0.40997967,Pseudomonas,genus,
genome_927,3,markers + neural network,0.4347826,0.050724637,0.8055556,0.06481481,0.9030837004405287,0.14096916299559473,227.0,0.8765601517749662,0.3005222281690243,0.0011246629503890914,0.40335763,Bacteria,superkingdom,
genome_873,3,markers + neural network,0.4710145,0.20289855,0.7962963,0.1388889,0.8043026344005008,0.2732442974690514,674.0,0.7278470235443298,0.29296942998078823,0.0012737992816932388,0.39616695,Arcobacteraceae,family,
genome_343,2,markers,0.5,0.51449275,1.0,0.8148148,1.0,0.6129489603024575,529.0,0.9223486204247774,0.26777483208310826,0.0012299772738245398,0.29261094,Burkholderiales,order,
