genome_name	pred_completeness	pred_contamination
genome_0	55.2258	7.7439
genome_1	51.0238	2.6656
genome_10	65.4790	60.0263
genome_100	56.9794	42.4778
genome_101	57.8599	73.1775
genome_102	51.3798	3.2918
genome_103	64.9167	20.1101
genome_104	60.3846	44.0331
genome_105	53.8754	17.3221
genome_106	50.6142	31.4314
genome_107	64.0013	27.0459
genome_108	56.1053	6.5368
genome_109	50.6636	2.2630
genome_11	51.4371	76.6783
genome_110	60.6048	37.5291
genome_111	64.5708	79.9153
genome_112	57.5068	13.2711
genome_113	51.3044	8.8496
genome_114	62.3674	68.8572
genome_115	52.3875	72.6084
genome_116	63.4584	79.7233
genome_117	63.2240	48.4863
genome_118	53.1523	14.3942
genome_119	55.9167	12.7446
genome_12	51.0585	17.2139
genome_120	57.9647	34.5782
genome_121	50.5177	1.4548
genome_122	53.8992	15.2340
genome_123	60.1050	35.1426
genome_124	53.8534	86.8397
genome_125	50.3571	1.2121
genome_126	52.4746	10.0169
genome_127	52.8947	69.5796
genome_128	60.5850	51.3672
genome_129	54.3418	12.3448
genome_13	50.8532	7.5945
genome_130	56.4245	21.3631
genome_131	62.0500	43.0656
genome_132	56.7262	24.2694
genome_133	51.8365	6.6198
genome_134	54.9774	60.5978
genome_135	69.9053	63.4991
genome_136	51.4277	3.7692
genome_137	61.6927	43.6977
genome_138	61.6076	12.4663
genome_139	60.1326	28.2888
genome_14	57.0075	36.3198
genome_140	57.2808	15.9524
genome_141	55.9956	29.9039
genome_142	65.9137	72.6398
genome_143	54.9179	11.9902
genome_144	57.4948	20.2098
genome_145	61.0258	33.6751
genome_146	57.3090	18.7938
genome_147	57.8217	16.7204
genome_148	53.3372	8.7997
genome_149	60.5535	21.3130
genome_15	63.9633	47.8843
genome_150	62.5254	59.2873
genome_151	52.6526	13.2553
genome_152	53.8550	6.7891
genome_153	53.6806	1.8820
genome_154	55.8294	22.6635
genome_155	53.8241	46.9030
genome_156	53.6504	7.5148
genome_157	50.2258	1.6489
genome_158	60.2320	57.1525
genome_159	56.1040	6.4261
genome_16	53.5482	11.7665
genome_160	55.7411	9.7480
genome_161	52.7809	24.2388
genome_162	57.0949	22.6328
genome_163	57.5964	29.3316
genome_164	51.4591	1.3250
genome_165	51.6167	68.8818
genome_166	56.8162	15.0037
genome_167	52.3965	11.5737
genome_168	59.0786	33.6260
genome_169	53.2628	34.6392
genome_17	57.3851	22.8762
genome_170	60.2918	54.1105
genome_171	51.8239	7.5323
genome_172	59.1483	44.4824
genome_173	61.3771	34.9237
genome_174	60.3750	48.6460
genome_175	57.0489	23.6361
genome_176	56.8998	47.8001
genome_177	57.0677	20.4336
genome_178	58.4719	37.6580
genome_179	50.2736	0.3571
genome_18	52.4381	12.6979
genome_180	54.4282	15.5459
genome_181	59.3030	27.7331
genome_182	50.4572	2.8694
genome_183	52.0789	40.8752
genome_184	60.7141	8.8732
genome_185	59.8366	61.4096
genome_186	55.6522	33.7146
genome_187	51.8894	5.4444
genome_188	59.3716	48.8414
genome_189	62.6033	42.6545
genome_19	52.6739	3.5311
genome_190	57.6627	23.4721
genome_191	61.5792	52.7250
genome_192	60.3965	54.8271
genome_193	62.6626	46.5736
genome_194	51.2802	8.7476
genome_195	58.5450	48.1992
genome_196	51.6199	1.5224
genome_197	55.3041	20.6561
genome_198	50.4347	0.8029
genome_199	60.1074	41.5028
genome_2	51.4029	58.3803
genome_20	64.4516	65.3560
genome_200	51.6103	63.2067
genome_201	52.6298	12.5521
genome_202	54.9476	25.2490
genome_203	51.5357	30.7813
genome_204	51.1837	1.3190
genome_205	51.8517	61.7335
genome_206	52.9154	12.2928
genome_207	56.1739	29.5195
genome_208	57.8202	42.2806
genome_209	55.1709	30.5400
genome_21	63.0700	55.7340
genome_210	53.7239	41.0099
genome_211	59.8784	6.1281
genome_212	54.5742	10.1895
genome_213	52.2778	57.4923
genome_214	51.6057	21.1719
genome_215	60.2104	55.7524
genome_216	59.5924	20.0534
genome_217	56.3974	18.0849
genome_218	59.0691	74.0223
genome_219	57.2140	72.3448
genome_22	50.4948	0.9182
genome_220	59.4926	50.7136
genome_221	52.1913	0.7692
genome_222	61.0109	46.9000
genome_223	56.2183	72.6004
genome_224	53.1820	24.3049
genome_225	53.1184	74.4336
genome_226	50.7505	73.9287
genome_227	62.9977	42.3310
genome_228	64.2663	38.6951
genome_229	56.2801	27.8888
genome_23	51.5051	59.9426
genome_230	53.3589	15.5506
genome_231	50.8901	0.9204
genome_232	51.1914	5.3816
genome_233	57.4492	31.2109
genome_234	58.9390	33.4129
genome_235	53.8375	17.4010
genome_236	61.5505	10.5985
genome_237	51.2416	1.1706
genome_238	60.0248	29.6554
genome_239	74.2304	90.5703
genome_24	55.6337	76.2114
genome_240	50.2247	0.7252
genome_241	60.3035	82.9149
genome_242	63.7914	51.9822
genome_243	56.9444	66.3366
genome_244	55.9499	40.8179
genome_245	51.7407	15.8838
genome_246	60.9261	80.8233
genome_247	54.8869	54.3892
genome_248	58.3788	38.9913
genome_249	69.1393	79.9681
genome_25	58.8149	48.7746
genome_250	51.6690	14.9871
genome_251	59.8133	35.5996
genome_252	55.9521	18.2701
genome_253	50.1313	0.1079
genome_254	55.0547	17.6946
genome_255	51.3819	2.9108
genome_256	64.0031	46.3503
genome_257	69.4773	35.1129
genome_258	68.4736	74.6176
genome_259	53.9718	6.2785
genome_26	63.6961	43.6128
genome_260	52.8902	11.0765
genome_261	54.5246	8.4218
genome_262	52.9579	31.5882
genome_263	66.0966	61.4492
genome_264	65.2668	43.7171
genome_265	54.5000	38.5604
genome_266	58.5398	36.8325
genome_267	53.7976	1.3654
genome_268	64.9184	56.7887
genome_269	61.6961	55.7102
genome_27	50.5852	0.4547
genome_270	58.5718	14.4812
genome_271	66.1169	65.9964
genome_272	61.8997	43.9441
genome_273	63.0573	48.5478
genome_274	63.3626	21.4024
genome_275	64.6908	52.1230
genome_276	57.4160	26.2454
genome_277	51.9929	29.8122
genome_278	54.9421	35.0356
genome_279	58.0524	14.9966
genome_28	55.6763	39.6253
genome_280	60.0942	46.3321
genome_281	62.9018	49.4221
genome_282	59.4745	53.8772
genome_283	54.3744	10.3462
genome_284	64.4342	37.7229
genome_285	54.3655	65.6626
