genome_name	pred_completeness	pred_contamination
genome_0	84.5221	0.1271
genome_1	62.0098	0.5531
genome_10	86.0573	85.5360
genome_100	81.0523	57.9290
genome_101	73.4878	90.9540
genome_102	65.5138	0.0414
genome_103	99.9533	17.6929
genome_104	79.8720	57.1248
genome_105	75.5240	22.9745
genome_106	54.2419	50.1440
genome_107	99.8982	26.5288
genome_108	86.1189	0.0911
genome_109	60.0528	0.0072
genome_11	59.7950	88.9305
genome_110	99.9930	24.7898
genome_111	96.6393	92.6464
genome_112	87.8287	0.7358
genome_113	59.5099	18.4908
genome_114	97.0795	76.9572
genome_115	66.2967	92.2782
genome_116	76.9187	90.1252
genome_117	99.9574	53.1118
genome_118	71.8086	14.6759
genome_119	82.3424	2.7080
genome_12	58.3094	35.6266
genome_120	83.0315	46.8197
genome_121	56.7512	0.3732
genome_122	76.6775	16.4341
genome_123	99.9919	29.3061
genome_124	66.2129	95.6699
genome_125	55.4636	0.0413
genome_126	64.0694	17.1095
genome_127	64.3768	87.9007
genome_128	99.9692	52.6935
genome_129	83.0696	0.7702
genome_13	59.1645	9.1662
genome_130	99.9989	6.1916
genome_131	79.1686	66.4755
genome_132	76.2891	40.8625
genome_133	67.5997	2.4180
genome_134	75.9718	75.2953
genome_135	99.9988	68.5898
genome_136	65.8156	0.0686
genome_137	99.9979	36.9500
genome_138	99.8707	0.0684
genome_139	99.8815	22.2135
genome_14	99.8858	72.3397
genome_140	81.6832	20.6236
genome_141	89.1390	31.4683
genome_142	97.7377	75.9090
genome_143	84.0616	0.6387
genome_144	82.6317	26.7756
genome_145	99.7065	29.4154
genome_146	99.9982	5.1949
genome_147	99.7550	13.6870
genome_148	77.7815	0.4750
genome_149	99.8835	12.3674
genome_15	99.9867	58.5648
genome_150	99.4204	64.7838
genome_151	68.9595	17.2941
genome_152	80.6129	0.0248
genome_153	76.8608	0.0203
genome_154	75.4841	31.4231
genome_155	71.4296	77.9264
genome_156	75.1623	4.2969
genome_157	53.1239	0.0494
genome_158	80.1545	81.9310
genome_159	84.9729	0.0089
genome_16	72.6087	18.3550
genome_160	85.2594	0.0870
genome_161	70.3097	31.1846
genome_162	99.7756	3.1843
genome_163	79.5180	46.9254
genome_164	66.3625	0.0493
genome_165	59.6046	85.0819
genome_166	88.6522	0.2661
genome_167	67.4339	18.3310
genome_168	83.1292	46.0490
genome_169	65.4716	52.4379
genome_17	80.4231	29.1517
genome_170	86.8553	75.2359
genome_171	65.4426	4.2971
genome_172	98.1710	37.6829
genome_173	99.8482	30.1416
genome_174	99.8886	47.2406
genome_175	83.7271	30.7253
genome_176	69.1004	81.1785
genome_177	83.8373	24.4725
genome_178	99.8832	35.3002
genome_179	54.2027	0.0129
genome_18	66.1777	21.1807
genome_180	78.7487	12.1487
genome_181	86.6511	32.9074
genome_182	55.7115	2.0384
genome_183	58.3006	62.4827
genome_184	99.8374	5.6575
genome_185	96.5358	84.2739
genome_186	79.5059	44.0723
genome_187	67.6820	0.4568
genome_188	81.7518	71.4059
genome_189	99.9818	48.2323
genome_19	71.2790	0.3157
genome_190	84.0600	23.3942
genome_191	88.5208	71.0957
genome_192	79.9487	80.2049
genome_193	99.9980	37.4710
genome_194	60.5466	12.3040
genome_195	99.4290	57.0864
genome_196	65.8402	0.0671
genome_197	77.6485	27.1476
genome_198	55.0773	0.3001
genome_199	98.8103	31.2447
genome_2	60.9208	74.5924
genome_20	79.3347	83.6015
genome_200	56.9897	86.9566
genome_201	69.6321	13.8310
genome_202	73.3473	41.7969
genome_203	56.1774	50.9147
genome_204	64.0463	0.0079
genome_205	57.5425	76.0752
genome_206	73.1594	16.7106
genome_207	76.4389	45.0617
genome_208	99.8600	59.4624
genome_209	68.8114	48.6921
genome_21	80.2975	75.7575
genome_210	64.1263	68.7632
genome_211	89.2644	0.4530
genome_212	82.1201	0.0509
genome_213	66.2418	67.6463
genome_214	62.3588	36.5504
genome_215	99.9712	51.4973
genome_216	99.9967	0.0187
genome_217	74.7303	35.1753
genome_218	90.3780	89.0891
genome_219	76.9081	89.8118
genome_22	57.4124	0.0152
genome_220	79.3198	69.3465
genome_221	67.0983	0.0433
genome_222	87.3707	55.7442
genome_223	73.0177	88.5580
genome_224	66.6641	41.1698
genome_225	65.6418	90.0290
genome_226	55.9511	82.2991
genome_227	99.9089	51.2343
genome_228	99.6905	42.8509
genome_229	79.4373	36.3422
genome_23	60.4758	77.2504
genome_230	70.2848	23.5553
genome_231	61.1559	0.0318
genome_232	61.9683	2.8069
genome_233	99.9863	14.4449
genome_234	99.9995	20.7904
genome_235	56.2360	59.1172
genome_236	98.8504	0.0661
genome_237	64.6786	0.0149
genome_238	86.4973	32.8958
genome_239	88.9293	96.8686
genome_24	76.0410	90.2016
genome_240	53.5692	0.0130
genome_241	97.8264	88.0978
genome_242	99.5352	74.8943
genome_243	77.1325	85.3140
genome_244	61.1575	74.6298
genome_245	65.1507	25.5600
genome_246	80.6994	88.7560
genome_247	99.6541	77.6016
genome_248	81.7691	55.5388
genome_249	98.0177	92.4635
genome_25	99.9353	46.0999
genome_250	64.3269	22.0927
genome_251	83.7114	46.3762
genome_252	87.1406	1.0487
genome_253	51.7267	0.0022
genome_254	76.5733	26.0786
genome_255	65.6298	0.0293
genome_256	99.9497	56.7049
genome_257	99.9961	36.0153
genome_258	99.9875	82.3038
genome_259	81.0134	0.0964
genome_26	99.9931	55.4169
genome_260	75.2346	5.8041
genome_261	79.8550	2.2789
genome_262	65.7964	52.7658
genome_263	99.7337	73.4484
genome_264	99.9606	48.7751
genome_265	74.4467	56.2923
genome_266	92.2481	50.9709
genome_267	92.7212	0.0055
genome_268	99.9626	69.8235
genome_269	99.6377	60.1004
genome_27	58.5136	0.0120
genome_270	99.8927	0.0081
genome_271	82.5626	86.6062
genome_272	99.9970	43.6194
genome_273	98.6154	62.1582
genome_274	99.7150	13.0974
genome_275	99.9417	58.8943
genome_276	99.9970	6.8733
genome_277	60.9896	50.2362
genome_278	75.0351	52.1305
genome_279	99.1782	0.8258
genome_28	78.1809	57.6966
genome_280	99.8876	73.7468
genome_281	99.4610	69.0694
genome_282	99.7590	54.5812
genome_283	83.5761	0.0038
genome_284	99.9843	40.9747
genome_285	69.7719	86.2993
genome_286	89.5337	0.3836
genome_287	74.7413	64.2638
genome_288	99.7475	75.7422
genome_289	92.8501	64.9229
genome_29	86.4056	47.0242
genome_290	59.7652	80.1292
genome_291	85.0621	23.7609
genome_292	86.7711	54.8680
genome_293	59.4731	56.0114
genome_294	53.4385	33.2446
genome_295	56.0088	0.0062
genome_296	66.6025	0.0188
genome_297	66.6317	0.7326
genome_298	99.5193	67.3694
genome_299	81.9801	15.6237
genome_3	99.9998	95.1864
genome_30	99.7094	53.1901
genome_300	75.8712	4.7228
genome_301	68.0561	82.6545
genome_302	99.5159	16.5189
genome_303	99.6442	26.8683
genome_304	69.7692	12.8617
genome_305	71.2223	41.1027
genome_306	99.9613	25.4051
genome_307	68.3242	83.6986
genome_308	83.3087	0.0342
genome_309	99.9848	38.9449
genome_31	69.7528	93.8387
genome_310	75.2329	16.0813
genome_311	69.3350	10.7541
genome_312	99.9112	74.9175
genome_313	58.1417	55.3789
genome_314	78.9431	0.4334
genome_315	99.4352	0.0036
genome_316	99.9849	64.1756
genome_317	99.9064	0.0741
genome_318	79.8742	82.2616
genome_319	81.4146	45.8192
genome_32	74.3396	8.9271
genome_320	99.9743	17.9658
genome_321	84.4108	0.3293
genome_322	99.7619	71.0448
genome_323	52.3392	0.0043
genome_324	69.6371	83.5478
genome_325	99.9739	59.8160
genome_326	73.9720	23.6491
genome_327	72.0414	19.7907
genome_328	78.1245	28.7152
genome_329	99.3826	32.6199
genome_33	99.6600	8.1723
genome_330	99.9836	83.5040
genome_331	69.2382	0.0735
genome_332	79.2163	20.8235
genome_333	99.3119	60.1176
genome_334	83.2239	0.4888
genome_335	88.3603	0.0433
genome_336	71.3264	44.5962
genome_337	55.8680	0.0280
genome_338	67.1030	0.0690
genome_339	59.0029	53.8751
genome_34	99.9377	39.0083
genome_340	87.8226	0.1050
genome_341	74.0954	0.0067
genome_342	80.5338	0.1246
genome_343	99.9954	73.8608
genome_344	72.7806	0.1876
genome_345	76.6920	23.2724
genome_346	97.7513	54.5355
genome_347	81.7932	87.4187
genome_348	71.5411	5.4225
genome_349	99.9102	6.2691
genome_35	80.8822	89.6405
genome_350	78.4621	76.8066
genome_351	70.3969	65.4458
genome_352	82.8624	68.4467
genome_353	74.5588	45.3844
genome_354	77.6158	57.7485
genome_355	99.7644	37.5106
genome_356	71.1414	49.0113
genome_357	82.3321	27.6099
genome_358	96.3323	64.6372
genome_359	67.7540	23.3341
genome_36	83.6269	79.4989
genome_360	98.6071	65.2577
genome_361	99.5068	1.0716
genome_362	75.8972	91.9424
genome_363	99.9876	31.3142
genome_364	53.4698	66.9333
genome_365	67.5198	55.5622
genome_366	74.5728	4.7072
genome_367	78.2211	0.0583
genome_368	90.8387	19.4026
genome_369	67.1380	20.8687
genome_37	99.8487	12.7177
genome_370	71.8769	71.2724
genome_371	99.8442	83.4359
genome_372	99.8906	22.7881
genome_373	69.6642	28.5370
genome_374	67.5061	22.6503
genome_375	79.8227	73.5659
genome_376	99.9818	40.5706
genome_377	65.8247	2.4450
genome_378	81.7272	91.9320
genome_379	76.0958	5.1189
genome_38	70.5473	0.2663
genome_380	99.8661	17.4004
genome_381	60.4786	8.9326
genome_382	63.3549	58.1003
genome_383	71.8911	36.4612
genome_384	82.5653	43.0645
genome_385	75.8799	63.4804
genome_386	85.4299	23.4964
genome_387	82.9656	84.0473
genome_388	99.3525	70.8016
genome_389	99.9340	29.6451
genome_39	83.9003	44.5922
genome_390	99.9808	69.5968
genome_391	99.8760	2.7449
genome_392	57.7280	10.8409
genome_393	99.8566	0.0845
genome_394	91.7369	76.7856
genome_395	54.2990	32.1927
genome_396	99.4948	0.2831
genome_397	69.0495	0.0559
genome_398	75.9559	67.2614
genome_399	99.9847	22.0657
genome_4	99.9117	88.6126
genome_40	82.6706	8.7909
genome_400	72.4978	0.0206
genome_401	65.1377	80.3621
genome_402	80.6687	73.1203
genome_403	64.8085	0.0237
genome_404	65.8264	0.1346
genome_405	57.1829	87.8735
genome_406	64.5575	0.0077
genome_407	61.0980	56.6434
genome_408	99.9529	95.6614
genome_409	77.4812	0.2123
genome_41	88.6561	0.1864
genome_410	65.8552	71.2461
genome_411	64.4898	40.2588
genome_412	99.7598	84.0257
genome_413	99.9873	85.7928
genome_414	99.9394	62.9996
genome_415	80.7015	10.5399
genome_416	66.5700	27.3603
genome_417	54.6729	94.4727
genome_418	99.8011	53.8004
genome_419	80.3187	72.7601
genome_42	66.9944	19.3186
genome_420	95.8042	0.8731
genome_421	69.6647	33.3260
genome_422	61.2796	0.0037
genome_423	80.7902	55.1395
genome_424	58.0299	20.6080
genome_425	76.6627	0.0337
genome_426	60.0977	34.1859
genome_427	99.9997	5.5083
genome_428	62.2297	60.8916
genome_429	99.7181	66.1942
genome_43	98.1368	91.6081
genome_430	77.0440	12.9525
genome_431	75.8589	0.0255
genome_432	68.0261	37.3262
genome_433	78.4396	38.0294
genome_434	99.9897	60.8090
genome_435	89.5065	81.0283
genome_436	99.8403	0.0601
genome_437	99.9647	48.9135
genome_438	83.3342	1.8536
genome_439	75.1318	0.0742
genome_44	94.9340	66.6148
genome_440	83.1679	2.0458
genome_441	99.9565	44.2412
genome_442	96.2406	87.3708
genome_443	72.2760	93.7349
genome_444	74.8769	0.2792
genome_445	99.9096	66.4972
genome_446	81.8891	64.1130
genome_447	75.0469	0.4146
genome_448	61.1080	64.1279
genome_449	99.2092	3.4407
genome_45	72.9053	85.5549
genome_450	76.0661	0.0172
genome_451	85.2274	17.6148
genome_452	97.6002	46.1181
genome_453	99.7535	89.3339
genome_454	67.1913	0.0161
genome_455	87.5173	1.0637
genome_456	94.5947	13.5109
genome_457	99.8262	0.0315
genome_458	80.7730	0.5776
genome_459	65.4635	0.6167
genome_46	81.2665	15.8948
genome_460	99.9919	39.3320
genome_461	60.5962	28.0241
genome_462	83.7498	53.3673
genome_463	97.6093	59.3236
genome_464	99.9657	89.5232
genome_465	86.7495	10.4626
genome_466	91.7636	95.9148
genome_467	99.9623	62.2660
genome_468	82.5486	18.7748
genome_469	69.6354	15.2818
genome_47	99.8758	1.5307
genome_470	52.3714	85.0927
genome_471	68.5891	61.3765
genome_472	63.3984	81.0630
