accession	organism	strain	kingdom	gtdb_phylum	genome_status	gc_pct	mock1_pct	mock2_pct	mock3_pct	ref_len	ref_nseq	ref_label	split	in_mock1	leakage_free
GCA_000005845.2	Escherichia coli	K-12 MG1655	Bacteria	Proteobacteria (g)	Complete	50.8		0.0432581610889968		4641652	1	Escherichia_coli_K-12_MG1655	none	False	True
GCA_000006805.1	Halobacterium salinarum	NRC-1	Archaea	Halobacteriota	Complete	67.9	2.5322931915107527	2.49649088871823	2.49410009834753	2571010	3	Halobacterium_salinarum_NRC-1	val	True	False
GCA_000006985.1	Chlorobaculum tepidum	TLS	Bacteria	Bacteroidota	Complete	56.5	0.2432820526872879	0.2398424597746279	0.6001950991907292	2154946	1	Chlorobium_tepidum_TLS	test	True	True
GCA_000007105.1	Zymomonas mobilis subsp. mobilis	ZM4	Bacteria	Proteobacteria (a)	Complete	46.3			0.0487574276651805	2056363	1	Zymomonas_mobilis_subsp._mobilis_ZM4	train	False	False
GCA_000007185.1	Methanopyrus kandleri	AV19	Archaea	Methanobacteriota_A	Complete	61.2	0.2102064650380613	0.2072345044706718	0.2602738841370118	1694969	1	Methanopyrus_kandleri_AV19	train	True	False
GCA_000007225.1	Pyrobaculum aerophilum	IM2	Archaea	Thermoproteota	Complete	51.4	0.2290245053808944	0.2257864898477628	0.1127851315379682	2222430	1	Pyrobaculum_aerophilum_IM2	train	True	False
GCA_000007265.1	Streptococcus agalactiae	2603V/R	Bacteria	Firmicutes	Complete	35.6		0.0929249386356229		2160267	1	Streptococcus_agalactiae_sv._V_V_2603V_R	test	False	True
GCA_000007305.1	Pyrococcus furiosus	DSM 3638	Archaea	Methanobacteriota_B	Complete	40.8	0.4018349459160483	0.3961536857623924		1908256	1	Pyrococcus_furiosus_DSM_3638	train	True	False
GCA_000007345.1	Methanosarcina acetivorans	C2A	Archaea	Halobacteriota	Complete	42.7	0.1769944593465906	0.1744920598427063	0.1743249557133381	5751492	1	Methanosarcina_acetivorans_C2A	train	True	False
GCA_000007565.2	Pseudomonas putida	KT2440	Bacteria	Proteobacteria (g)	Complete	61.5	1.4824978587194015	1.4615378698030008	1.1843343282541523	6181873	1	Pseudomonas_putida_KT2440	none	True	True
