accession	organism	gtdb_phylum	kingdom	leakage_free	n_bins	true_cont_max	magicc_cont_median	magicc_n_bins_ge5pct	checkm2_cont_median	checkm2_n_bins_ge5pct	cocopye_cont_median	cocopye_n_bins_ge5pct	deepcheck_cont_median	deepcheck_n_bins_ge5pct
GCA_000166095.1	Methanothermus fervidus	Methanobacteriota	Archaea	False	7	0.0	16.063	7	0.11	0	0.0	1	-0.093	1
GCA_000020465.1	Chlorobium limicola	Bacteroidota	Bacteria	False	5	0.0052	5.466	4	0.18	0	0.0	1	-0.355	0
GCA_000020325.1	Sulfurihydrogenibium sp000020325	Aquificota	Bacteria	False	7	0.6226	4.905	3	1.42	0	25.672	6	2.589	2
GCA_000016545.1	Caldicellulosiruptor saccharolyticus	Firmicutes_A	Bacteria	True	7	0.4436	2.735	0	0.12	0	0.0	1	0.694	1
GCA_000021565.1	Persephonella marina	Aquificota	Bacteria	False	6	0.0	2.046	0	0.41	0	0.812	1	0.548	0
GCA_002952055.1	Desulfobulbus oralis	Desulfobacterota	Bacteria	False	7	0.2882	1.826	0	0.2	0	0.0	2	0.097	0
GCA_000018565.1	Herpetosiphon aurantiacus	Chloroflexota	Bacteria	False	6	0.0387	1.725	0	0.525	0	4.182	2	-0.382	1
GCA_003019295.1	Fusobacterium nucleatum subsp. nucleatum	Fusobacteriota	Bacteria	False	7	0.7141	1.652	0	1.22	0	3.696	3	0.168	0
GCA_000013645.1	Paraburkholderia xenovorans	Proteobacteria (g)	Bacteria	True	4	0.1829	1.617	0	4.745	2	20.854	3	3.099	0
GCA_000008085.1	Nanoarchaeum equitans	Nanoarchaeota	Archaea	False	5	0.3107	1.615	0	0.29	0	3.125	1	1.903	0
GCA_000010305.1	Gemmatimonas aurantiaca	Gemmatimonadota	Bacteria	False	7	0.5964	1.543	0	0.85	0	0.0	2	1.216	0
GCA_000015125.1	Chlorobium phaeobacteroides	Bacteroidota	Bacteria	True	7	0.8239	1.463	1	3.17	2	9.315	5	0.803	1
GCA_001639275.1	Methanobrevibacter oralis DSM 7256	Methanobacteriota	Archaea	True	7	0.6516	1.448	0	0.53	0	0.0	1	-0.082	1
GCA_000020785.1	Hydrogenobaculum sp000020785	Aquificota	Bacteria	False	5	0.6862	1.388	0	1.01	0	15.982	4	1.157	0
GCA_000018265.1	Micromonospora arenicola	Actinobacteriota	Bacteria	True	2	0.4852	1.157	0	2.235	0	10.684	1	2.605	1
GCA_000020225.1	Akkermansia muciniphila	Verrucomicrobiota	Bacteria	True	7	0.4593	1.055	1	6.08	4	20.136	5	3.326	1
GCA_000016425.1	Micromonospora tropica	Actinobacteriota	Bacteria	False	1	0.0	1.032	0	1.1	0	4.138	0	0.431	0
GCA_000016785.1	Thermotoga petrophila	Thermotogota	Bacteria	False	7	0.3598	0.93	0	0.39	0	0.768	1	0.193	1
GCA_000007185.1	Methanopyrus kandleri	Methanobacteriota_A	Archaea	False	7	0.4876	0.875	0	0.56	0	24.146	7	3.647	2
GCA_000156375.1	Desulfovibrio piger	Desulfobacterota_I	Bacteria	True	4	0.5847	0.858	0	3.145	0	14.244	3	1.439	1
GCA_000009225.1	Pseudomonas fluorescens	Proteobacteria (g)	Bacteria	True	5	0.3636	0.776	0	2.05	2	15.801	3	2.395	2
GCA_000009705.1	Trichormus sp000009705	Cyanobacteria	Bacteria	False	7	0.7172	0.771	1	3.52	3	17.63	5	3.904	2
GCA_000006805.1	Halobacterium salinarum	Halobacteriota	Archaea	False	7	0.6684	0.738	0	0.05	0	0.0	3	0.399	0
GCA_000011105.1	Pyrococcus horikoshii	Methanobacteriota_B	Archaea	False	6	0.0	0.731	0	0.175	0	0.0	1	-0.043	1
GCA_000007985.2	Geobacter sulfurreducens	Desulfobacterota	Bacteria	False	6	0.9071	0.649	0	2.7	0	24.966	6	2.804	0
