Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
genome_108	79.67	0.26	Neural Network (Specific Model)	11	0.902	622198	354.0534223706177	3524890	0.33	2995	None
genome_121	62.49	0.1	Neural Network (Specific Model)	11	0.836	7283	274.463474524248	1602362	0.33	1629	None
genome_122	86.51	12.37	Neural Network (Specific Model)	11	0.879	36257	305.7009264114665	5955186	0.56	5721	None
genome_151	84.04	14.01	Neural Network (Specific Model)	11	0.881	14802	301.6151871657754	4792174	0.56	4675	None
genome_187	70.42	2.91	Neural Network (Specific Model)	11	0.849	36475	308.04124051468165	3294223	0.54	3031	None
genome_209	93.34	35.57	Gradient Boost (General Model)	11	0.917	60302	331.34586850857	4230400	0.55	3909	None
genome_21	100.0	51.21	Neural Network (Specific Model)	11	0.876	15266	293.5383341221013	8483764	0.52	8452	None
genome_218	100.0	43.18	Gradient Boost (General Model)	11	0.906	1226643	335.5287951502905	8783437	0.64	7918	None
genome_221	63.28	0.09	Neural Network (Specific Model)	4	0.901	315018	351.8855835240275	510246	0.28	437	None
genome_245	67.51	11.94	Neural Network (Specific Model)	11	0.881	188504	297.0104761904762	2120855	0.38	2100	None
genome_246	100.0	56.71	Neural Network (Specific Model)	11	0.902	133554	295.02611024324926	4386085	0.33	4481	None
genome_250	74.59	4.16	Neural Network (Specific Model)	11	0.902	101356	322.8915159944367	2313240	0.46	2157	None
genome_251	100.0	25.74	Neural Network (Specific Model)	11	0.874	12898	288.0934451219512	6470849	0.48	6560	None
genome_254	85.31	15.69	Neural Network (Specific Model)	11	0.868	514867	315.99932553956836	4850479	0.54	4448	None
genome_257	100.0	21.94	Neural Network (Specific Model)	11	0.855	2448233	303.9562482127538	3720527	0.4	3497	None
genome_26	100.0	15.11	Neural Network (Specific Model)	11	0.843	2731529	285.7548526240115	4225218	0.49	4173	None
genome_267	99.99	0.12	Neural Network (Specific Model)	11	0.525	1225795	322.4009009009009	1225795	0.32	666	None
genome_281	90.26	4.95	Neural Network (Specific Model)	4	0.932	580076	352.7673098751419	995511	0.41	881	None
genome_306	100.0	17.84	Neural Network (Specific Model)	11	0.866	2105950	311.77656458055924	4048592	0.58	3755	None
genome_309	100.0	33.03	Neural Network (Specific Model)	11	0.88	2926437	322.3777138373006	4194922	0.53	3823	None
genome_315	99.99	1.03	Neural Network (Specific Model)	11	0.866	2878842	320.67628945342574	2878842	0.57	2598	None
genome_317	99.93	0.22	Neural Network (Specific Model)	11	0.829	1586304	261.52139461172743	1787229	0.39	1893	None
genome_343	100.0	57.17	Neural Network (Specific Model)	11	0.892	3916274	303.1214527275401	6918014	0.5	6801	None
genome_348	77.61	4.4	Neural Network (Specific Model)	11	0.88	2540691	330.8151618398637	3966257	0.6	3522	None
genome_355	99.99	15.4	Neural Network (Specific Model)	11	0.852	1731838	276.71114662405114	2432658	0.43	2503	None
genome_358	100.0	65.95	Gradient Boost (General Model)	11	0.882	668964	311.2224611313265	6388174	0.43	6046	None
genome_37	100.0	3.13	Neural Network (Specific Model)	11	0.838	2772454	301.7918552036199	3099995	0.36	2873	None
genome_372	100.0	11.92	Neural Network (Specific Model)	11	0.87	3537675	318.53826530612247	4298626	0.35	3920	None
genome_375	86.48	9.95	Neural Network (Specific Model)	11	0.923	60786	312.27922590837284	2561992	0.47	2532	None
genome_4	100.0	43.33	Neural Network (Specific Model)	11	0.898	2325350	302.20613834173156	4400715	0.38	4366	None
genome_403	66.67	0.07	Neural Network (Specific Model)	11	0.902	1842638	385.2076388888889	1842638	0.33	1440	None
genome_412	100.0	59.41	Gradient Boost (General Model)	11	0.869	3727721	294.7134109916368	6800827	0.42	6696	None
genome_416	88.92	29.1	Neural Network (Specific Model)	11	0.876	36977	299.0418613707165	5252494	0.54	5136	None
genome_426	79.39	14.49	Gradient Boost (General Model)	11	0.879	55583	308.52567140600314	2658796	0.51	2532	None
genome_431	74.26	0.0	Neural Network (Specific Model)	11	0.877	278638	314.4067847493245	3578030	0.51	3331	None
genome_469	82.99	7.11	Neural Network (Specific Model)	11	0.874	1010257	321.1210762331838	4904945	0.59	4460	None
genome_471	97.31	52.07	Gradient Boost (General Model)	11	0.891	397455	309.63867475807774	6340954	0.57	6097	None
genome_48	100.0	75.76	Neural Network (Specific Model)	11	0.877	864287	296.623429209718	7237420	0.47	7162	None
genome_481	77.62	1.01	Neural Network (Specific Model)	11	0.904	156552	362.8636363636364	5182314	0.42	4312	None
genome_485	98.74	79.71	Gradient Boost (General Model)	11	0.875	664745	319.5948364888124	9534857	0.56	8715	None
genome_51	100.0	88.75	Neural Network (Specific Model)	11	0.872	8621271	326.08115523465705	15509360	0.63	13850	None
genome_525	100.0	80.15	Neural Network (Specific Model)	11	0.9	5075911	303.7862242755145	9612491	0.51	9524	None
genome_529	85.82	4.79	Neural Network (Specific Model)	11	0.916	307955	300.43142698500833	1765558	0.36	1801	None
genome_542	71.92	0.3	Neural Network (Specific Model)	11	0.877	1180522	337.93060785368476	2147776	0.27	1859	None
genome_543	100.0	48.09	Neural Network (Specific Model)	11	0.88	344084	317.8291407222914	8683466	0.5	8030	None
genome_552	100.0	25.93	Neural Network (Specific Model)	11	0.858	5987104	335.7415832575068	7730668	0.6	6594	None
genome_568	95.65	36.37	Gradient Boost (General Model)	11	0.858	21576	309.59426472330847	9117052	0.59	8439	None
genome_590	87.08	27.2	Neural Network (Specific Model)	11	0.928	113954	305.6889521100047	2078407	0.33	2109	None
genome_600	85.8	3.43	Neural Network (Specific Model)	11	0.92	847923	378.10127697049757	5595619	0.42	4542	None
genome_603	100.0	2.28	Neural Network (Specific Model)	11	0.861	315545	315.198310591293	8434860	0.66	7695	None
genome_622	61.63	0.08	Neural Network (Specific Model)	11	0.861	465105	273.2984092155787	1729945	0.46	1823	None
genome_635	100.0	22.16	Neural Network (Specific Model)	11	0.89	4128172	318.40551243465865	6756335	0.6	6313	None
genome_659	71.98	8.01	Neural Network (Specific Model)	11	0.895	247607	330.45441493180186	1538774	0.42	1393	None
genome_664	100.0	65.74	Gradient Boost (General Model)	11	0.896	61234	325.6531778425656	9332472	0.39	8575	None
genome_670	100.0	39.05	Neural Network (Specific Model)	11	0.875	15892	294.9910650971493	7106308	0.51	7051	None
genome_673	99.13	18.11	Gradient Boost (General Model)	11	0.852	1781800	276.235010545345	3221193	0.44	3319	None
genome_679	92.43	13.79	Neural Network (Specific Model)	11	0.85	6623	255.76231371558475	3562460	0.46	3959	None
genome_683	99.56	5.42	Neural Network (Specific Model)	11	0.878	2663833	336.9760670123654	2878979	0.57	2507	None
genome_689	71.74	0.74	Neural Network (Specific Model)	11	0.84	222339	312.1661594643944	3657293	0.45	3286	None
genome_700	90.95	18.53	Neural Network (Specific Model)	11	0.881	24158	308.33070244672456	5310777	0.6	5068	None
genome_727	100.0	0.44	Neural Network (Specific Model)	11	0.833	760946	301.5947687642153	2862577	0.33	2638	None
genome_74	100.0	11.82	Neural Network (Specific Model)	11	0.863	2772454	298.39326387206205	4265050	0.44	4127	None
genome_742	91.53	41.81	Gradient Boost (General Model)	11	0.873	14254	296.9772144103459	9926750	0.51	9743	None
genome_750	93.37	32.43	Gradient Boost (General Model)	11	0.871	197151	292.48070739549837	4999037	0.5	4976	None
genome_773	92.56	0.0	Neural Network (Specific Model)	11	0.918	1133218	323.1606922126082	5117052	0.7	4854	None
genome_775	100.0	37.08	Neural Network (Specific Model)	11	0.886	446133	307.2201166180758	7832270	0.54	7546	None
genome_78	87.95	0.55	Neural Network (Specific Model)	11	0.89	346679	297.41086497890296	3796336	0.46	3792	None
genome_780	82.0	0.31	Neural Network (Specific Model)	11	0.855	2748302	323.58422174840086	3194057	0.34	2814	None
genome_783	71.51	0.04	Neural Network (Specific Model)	11	0.88	789677	345.39263803680984	3833999	0.34	3260	None
genome_789	61.35	0.0	Neural Network (Specific Model)	11	0.876	494384	314.0493701055499	3152077	0.51	2937	None
genome_8	80.8	7.37	Neural Network (Specific Model)	11	0.878	903470	310.93781697905183	4811558	0.59	4535	None
genome_802	99.74	78.04	Gradient Boost (General Model)	11	0.875	107073	320.9069708168727	8613466	0.52	7847	None
genome_808	99.92	0.04	Neural Network (Specific Model)	11	0.629	1342862	328.44788441692464	1516355	0.27	969	None
genome_811	100.0	44.91	Neural Network (Specific Model)	11	0.888	5506118	318.8252554362064	8207738	0.56	7634	None
genome_814	96.6	52.74	Neural Network (Specific Model)	11	0.875	338393	295.98417500581803	8707260	0.51	8594	None
genome_815	100.0	83.78	Gradient Boost (General Model)	11	0.865	5169173	318.18888888888887	9905084	0.53	9000	None
genome_833	100.0	33.28	Gradient Boost (General Model)	11	0.898	4106370	307.4679353910123	6401893	0.62	6253	None
genome_836	89.7	16.02	Gradient Boost (General Model)	11	0.864	38560	297.372588540167	3576784	0.41	3473	None
genome_838	65.81	0.28	Neural Network (Specific Model)	11	0.892	123520	306.62628661916074	2601599	0.53	2526	None
genome_841	54.12	3.78	Neural Network (Specific Model)	11	0.906	801977	270.3972602739726	1301353	0.51	1460	None
genome_842	76.33	0.15	Neural Network (Specific Model)	11	0.879	323196	306.7645115620576	2216356	0.37	2119	None
genome_843	90.96	41.23	Neural Network (Specific Model)	11	0.875	418633	299.52711004273505	7677398	0.57	7488	None
genome_864	100.0	24.13	Neural Network (Specific Model)	11	0.825	3199165	303.3396530859217	5460136	0.43	4958	None
genome_867	100.0	31.96	Neural Network (Specific Model)	11	0.873	39745	309.08798017348204	8556943	0.53	8070	None
genome_873	79.45	10.87	Gradient Boost (General Model)	11	0.894	38603	275.51845580765325	2723349	0.34	2953	None
genome_874	100.0	36.12	Neural Network (Specific Model)	11	0.876	4853846	309.63458374465284	6438023	0.48	6078	None
genome_886	70.06	0.01	Neural Network (Specific Model)	11	0.841	547975	302.88498583569407	1903591	0.33	1765	None
genome_891	99.56	1.11	Neural Network (Specific Model)	11	0.881	1676568	319.04	1707693	0.29	1575	None
genome_898	75.9	1.2	Neural Network (Specific Model)	11	0.885	175769	339.6572967908175	4906299	0.72	4269	None
genome_909	81.09	0.24	Neural Network (Specific Model)	11	0.868	348107	293.89747191011236	1443997	0.53	1424	None
genome_914	43.47	0.9	Neural Network (Specific Model)	11	0.886	1089293	344.73155080213905	1089293	0.58	935	None
genome_918	84.58	10.54	Neural Network (Specific Model)	11	0.881	569917	303.98673018033344	3036463	0.5	2939	None
genome_921	84.91	0.12	Neural Network (Specific Model)	11	0.87	331065	284.26216291353904	3519654	0.46	3597	None
genome_927	86.96	4.61	Neural Network (Specific Model)	11	0.846	917845	309.29488158899926	1431540	0.49	1309	None
genome_935	71.9	12.57	Neural Network (Specific Model)	11	0.915	80202	280.3922558922559	1629949	0.46	1782	None
genome_945	100.0	35.56	Neural Network (Specific Model)	11	0.863	1401954	312.33569785276075	5655431	0.53	5216	None
genome_973	100.0	32.8	Neural Network (Specific Model)	11	0.902	553013	331.8231721560383	4713994	0.41	4281	None
genome_975	97.24	17.13	Gradient Boost (General Model)	11	0.873	264868	344.7171985815603	6666539	0.58	5640	None
genome_985	100.0	70.63	Neural Network (Specific Model)	11	0.901	2839791	313.9199747952111	4968215	0.37	4761	None
genome_991	100.0	80.15	Neural Network (Specific Model)	11	0.902	1349197	323.39647902171623	10177583	0.59	9486	None
