accession	domain	family	protein_1	protein_2	contig_1	contig_2	same_contig	hmm_span_1	hmm_span_2	hmm_reciprocal_overlap	hmm_coverage_1	hmm_coverage_2	passes_split_gene_control	aa_identity	cohort
GCA_001782045.1	bacteria	PGK	MFNK01000001.1_16	MFNK01000012.1_72	MFNK01000001.1	MFNK01000012.1	False	1-223	1-232	1.0	0.5838	0.6073	True	0.6038	agree_clean
GCA_000431375.1	bacteria	TIGR00006	HF990740.1_89	HF990755.1_33	HF990740.1	HF990755.1	False	6-309	6-309	1.0	0.9806	0.9806	True	0.3668	agree_clean
GCA_002366485.1	bacteria	infC	DEXB01000041.1_59	DEXB01000039.1_3	DEXB01000041.1	DEXB01000039.1	False	18-168	32-168	1.0	0.8882	0.8059	True	0.9708	agree_clean
GCA_002366485.1	bacteria	rpmI_bact	DEXB01000039.1_5	DEXB01000041.1_62	DEXB01000039.1	DEXB01000041.1	False	1-63	1-63	1.0	1.0	1.0	True	1.0	agree_clean
GCA_002070265.1	bacteria	rpmH_bact	MWCX01000088.1_161	MWCX01000051.1_1	MWCX01000088.1	MWCX01000051.1	False	1-44	1-44	1.0	1.0	1.0	True	0.6818	disagreement_141
GCA_002730975.1	bacteria	GTPase_EngA	PCBO01000010.1_14	PCBO01000106.1_5	PCBO01000010.1	PCBO01000106.1	False	2-430	2-316	1.0	0.9931	0.7292	True	0.4717	disagreement_141
GCA_003137095.1	bacteria	rpsB_bact	PLET01000033.1_1	PLET01000121.1_29	PLET01000033.1	PLET01000121.1	False	97-224	2-69	0.0	0.5689	0.3022	False	0.2059	agree_clean
GCA_003137095.1	bacteria	secG	PLET01000034.1_10	PLET01000062.1_2	PLET01000034.1	PLET01000062.1	False	3-72	3-72	1.0	0.9589	0.9589	True	0.8429	agree_clean
GCA_009843765.1	bacteria	S16	VYCV01000112.1_20	VYCV01000294.1_1	VYCV01000112.1	VYCV01000294.1	False	1-76	2-78	0.9868	0.9744	0.9872	True	0.4267	agree_clean
GCA_009843765.1	bacteria	ffh	VYCV01000294.1_2	VYCV01000112.1_21	VYCV01000294.1	VYCV01000112.1	False	1-428	1-428	1.0	1.0	1.0	True	0.6047	agree_clean
GCA_009843765.1	bacteria	trmD	VYCV01000143.1_8	VYCV01000112.1_18	VYCV01000143.1	VYCV01000112.1	False	1-222	1-218	1.0	0.9528	0.9356	True	0.6682	agree_clean
GCA_012729715.1	bacteria	hisS	JAAYCQ010000066.1_2	JAAYCQ010000252.1_2	JAAYCQ010000066.1	JAAYCQ010000252.1	False	1-404	1-405	1.0	0.9951	0.9975	True	0.9602	agree_clean
GCA_014377455.1	bacteria	infC	JACMPO010000094.1_3	JACMPO010000124.1_10	JACMPO010000094.1	JACMPO010000124.1	False	14-170	35-170	1.0	0.9235	0.8	True	0.9706	agree_clean
GCA_014377455.1	bacteria	rplT_bact	JACMPO010000094.1_1	JACMPO010000124.1_8	JACMPO010000094.1	JACMPO010000124.1	False	1-114	1-114	1.0	1.0	1.0	True	0.9386	agree_clean
GCA_014377455.1	bacteria	rpmI_bact	JACMPO010000094.1_2	JACMPO010000124.1_9	JACMPO010000094.1	JACMPO010000124.1	False	1-61	1-61	1.0	0.9683	0.9683	True	0.9672	agree_clean
GCA_015660205.1	bacteria	TIGR00152	DQLM01000043.1_20	DQLM01000038.1_9	DQLM01000043.1	DQLM01000038.1	False	1-187	1-186	1.0	0.9947	0.9894	True	0.3598	agree_clean
GCA_016187975.1	bacteria	rpoA	JACPIR010000394.1_13	JACPIR010000090.1_12	JACPIR010000394.1	JACPIR010000090.1	False	1-297	1-297	1.0	0.9966	0.9966	True	0.4441	agree_clean
GCA_016283595.1	bacteria	rpmH_bact	JAEENE010000031.1_10	JAEENE010000149.1_12	JAEENE010000031.1	JAEENE010000149.1	False	1-44	1-44	1.0	1.0	1.0	True	0.9545	agree_clean
GCA_016278515.1	bacteria	TIGR00092	JADQBR010000096.1_24	JADQBR010000002.1_1	JADQBR010000096.1	JADQBR010000002.1	False	1-367	1-368	1.0	0.9973	1.0	True	0.3853	disagreement_141
GCA_016295605.1	bacteria	Ribosomal_S9	JAEDKX010000231.1_2	JAEDKX010000049.1_6	JAEDKX010000231.1	JAEDKX010000049.1	False	1-121	1-121	1.0	1.0	1.0	True	0.876	disagreement_141
GCA_016295605.1	bacteria	rplM_bact	JAEDKX010000049.1_5	JAEDKX010000231.1_3	JAEDKX010000049.1	JAEDKX010000231.1	False	1-138	1-140	1.0	0.9787	0.9929	True	0.7609	disagreement_141
GCA_016704105.1	bacteria	TIGR00152	JADJAT010000002.1_255	JADJAT010000001.1_289	JADJAT010000002.1	JADJAT010000001.1	False	1-187	1-186	1.0	0.9947	0.9894	True	0.3978	agree_clean
GCA_018380175.1	bacteria	TIGR00006	JAGZUE010000010.1_57	JAGZUE010000045.1_26	JAGZUE010000010.1	JAGZUE010000045.1	False	5-310	6-309	1.0	0.9871	0.9806	True	0.3287	agree_clean
GCA_018381015.1	bacteria	dnaG	JAGZSS010000004.1_159	JAGZSS010000017.1_61	JAGZSS010000004.1	JAGZSS010000017.1	False	1-414	1-408	1.0	1.0	0.9855	True	0.3806	agree_clean
GCA_021732365.1	bacteria	rpsD_bact	JAKFVD010000016.1_105	JAKFVD010000006.1_33	JAKFVD010000016.1	JAKFVD010000006.1	False	2-200	1-199	0.995	0.995	0.995	True	0.4184	agree_clean
GCA_021325555.1	bacteria	TIGR00152	JAJPGY010000039.1_130	JAJPGY010000039.1_86	JAJPGY010000039.1	JAJPGY010000039.1	True	1-187	1-186	1.0	0.9947	0.9894	True	0.4703	agree_clean
