# set_D_clean — 100 unique dominant reference genomes, 10 independent simulations each.
# All are members of the held-out test split (data/splits/test_genomes.tsv) and of no other split.
dominant_accession	dominant_phylum	dominant_taxonomy	dominant_reference_bp	ref_index	canonical_key	in_train_split	in_val_split	in_test_split	in_kmer_selection
GB_GCA_000145985.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans	1875953	0	000145985	False	False	True	False
GB_GCA_000200715.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum;s__Cenarchaeum symbiosum	2045086	1	000200715	False	False	True	False
GB_GCA_000495675.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp000495735	1548506	2	000495675	False	False	True	False
GB_GCA_001512965.1	Thermoplasmatota	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__DTU008 sp001512965	1762311	3	001512965	False	False	True	False
GB_GCA_002495365.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_C;s__Methanobacterium_C sp002498385	2086953	4	002495365	False	False	True	False
GB_GCA_002499445.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp002499445	3100481	5	002499445	False	False	True	False
GB_GCA_002503585.1	Methanobacteriota	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_C;s__Methanobacterium_C sp002498385	2136004	6	002503585	False	False	True	False
GB_GCA_002839645.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sp002839645	2782193	7	002839645	False	False	True	False
GB_GCA_002844335.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula taiwanensis	3721706	8	002844335	False	False	True	False
GB_GCA_013538795.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__Nitrosothermus;s__Nitrosothermus koennekei	1587672	9	013538795	False	False	True	False
GB_GCA_014075315.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp014075315	1922210	10	014075315	False	False	True	False
GB_GCA_015520735.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__JAADCY01;s__JAADCY01 sp015520735	1529454	11	015520735	False	False	True	False
GB_GCA_015521735.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__WANQ01;g__WANQ01;s__WANQ01 sp015521735	2033788	12	015521735	False	False	True	False
GB_GCA_016106165.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum sp002737445	1259521	13	016106165	False	False	True	False
GB_GCA_016872055.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp016872055	1235755	14	016872055	False	False	True	False
GB_GCA_022678445.1	Thermoproteota	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Aramenus;s__Aramenus sp022678445	1930407	15	022678445	False	False	True	False
GB_GCA_025058735.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__WYZ-LMO2 sp025058735	1222266	16	025058735	False	False	True	False
GB_GCA_027064525.1	Halobacteriota	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WAKM01;s__WAKM01 sp027064525	1891091	17	027064525	False	False	True	False
