# Contaminant provenance for set_H_ncbi (one row per event).
# Contaminants are drawn from data/splits/test_genomes.tsv only, cross-phylum relative to the dominant — identical to set_C/D_clean.
set	genome_id	contaminant_accession	canonical_key	split	phylum	dominant_phylum	same_phylum_as_dominant
set_H_ncbi	genome_0	RS_GCF_024105055.1	024105055	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_0	RS_GCF_023958435.1	023958435	test	Bacteroidota	Pseudomonadota	False
set_H_ncbi	genome_0	RS_GCF_008658315.1	008658315	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_0	RS_GCF_900230125.1	900230125	test	Fibrobacterota	Pseudomonadota	False
set_H_ncbi	genome_1	RS_GCF_040926185.1	040926185	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_1	RS_GCF_018613535.1	018613535	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_1	GB_GCA_019013265.1	019013265	test	Bacteroidota	Pseudomonadota	False
set_H_ncbi	genome_1	RS_GCF_008762215.1	008762215	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_1	RS_GCF_001111585.1	001111585	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_2	RS_GCF_030323845.1	030323845	test	Methanobacteriota	Pseudomonadota	False
set_H_ncbi	genome_2	RS_GCF_019458745.1	019458745	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_2	RS_GCF_900104765.1	900104765	test	Bacteroidota	Pseudomonadota	False
set_H_ncbi	genome_2	RS_GCF_000650715.1	000650715	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_3	RS_GCF_036455175.1	036455175	test	Campylobacterota	Pseudomonadota	False
set_H_ncbi	genome_4	RS_GCF_019836425.2	019836425	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_4	RS_GCF_022267435.1	022267435	test	Spirochaetota	Pseudomonadota	False
set_H_ncbi	genome_5	GB_GCA_949005035.1	949005035	test	Verrucomicrobiota	Pseudomonadota	False
set_H_ncbi	genome_5	GB_GCA_949036665.1	949036665	test	Bacteroidota	Pseudomonadota	False
set_H_ncbi	genome_5	GB_GCA_900553875.1	900553875	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_5	RS_GCF_016127455.1	016127455	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_6	GB_GCA_040880945.1	040880945	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_6	RS_GCF_029078585.1	029078585	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_6	GB_GCA_943913235.1	943913235	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_6	RS_GCF_009617975.1	009617975	test	Nanohalarchaeota	Pseudomonadota	False
set_H_ncbi	genome_6	GB_GCA_029536975.1	029536975	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_7	RS_GCF_900035765.1	900035765	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_7	RS_GCF_041432985.1	041432985	test	Bacteroidota	Pseudomonadota	False
set_H_ncbi	genome_7	GB_GCA_003935005.1	003935005	test	Halobacteriota	Pseudomonadota	False
set_H_ncbi	genome_7	RS_GCF_039545095.1	039545095	test	Bacteroidota_A	Pseudomonadota	False
set_H_ncbi	genome_7	RS_GCF_030323845.1	030323845	test	Methanobacteriota	Pseudomonadota	False
set_H_ncbi	genome_8	RS_GCF_001176725.1	001176725	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_8	RS_GCF_028804235.1	028804235	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_8	RS_GCF_023721715.1	023721715	test	Bacteroidota	Pseudomonadota	False
set_H_ncbi	genome_8	RS_GCF_024787025.1	024787025	test	Bacteroidota	Pseudomonadota	False
set_H_ncbi	genome_8	RS_GCF_002443325.1	002443325	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_9	GB_GCA_958443225.1	958443225	test	Bacteroidota	Pseudomonadota	False
set_H_ncbi	genome_9	GB_GCA_022072305.1	022072305	test	Zhuqueibacterota	Pseudomonadota	False
set_H_ncbi	genome_9	RS_GCF_030076645.1	030076645	test	Campylobacterota	Pseudomonadota	False
set_H_ncbi	genome_10	GB_GCA_959607465.1	959607465	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_10	GB_GCA_022786825.1	022786825	test	Verrucomicrobiota	Pseudomonadota	False
set_H_ncbi	genome_10	RS_GCF_000705415.1	000705415	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_10	RS_GCF_007673075.1	007673075	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_11	RS_GCF_019132495.1	019132495	test	Bacteroidota	Pseudomonadota	False
set_H_ncbi	genome_11	RS_GCF_001090305.1	001090305	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_11	RS_GCF_000676275.1	000676275	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_12	GB_GCA_948477785.1	948477785	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_12	RS_GCF_007832455.1	007832455	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_12	RS_GCF_002922635.1	002922635	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_12	RS_GCF_016757595.1	016757595	test	Campylobacterota	Pseudomonadota	False
set_H_ncbi	genome_13	RS_GCF_015140235.1	015140235	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_13	RS_GCF_000673175.1	000673175	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_13	GB_GCA_946496845.1	946496845	test	Bacteroidota	Pseudomonadota	False
set_H_ncbi	genome_13	RS_GCF_009914355.1	009914355	test	Methanobacteriota	Pseudomonadota	False
set_H_ncbi	genome_13	RS_GCF_948912795.1	948912795	test	Campylobacterota	Pseudomonadota	False
set_H_ncbi	genome_14	RS_GCF_030534135.1	030534135	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_14	GB_GCA_963664875.1	963664875	test	Bacteroidota_A	Pseudomonadota	False
set_H_ncbi	genome_15	RS_GCF_036959905.1	036959905	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_15	RS_GCF_022662105.1	022662105	test	Bacteroidota	Pseudomonadota	False
set_H_ncbi	genome_16	RS_GCF_009737175.1	009737175	test	Campylobacterota	Pseudomonadota	False
set_H_ncbi	genome_16	GB_GCA_963978955.1	963978955	test	Patescibacteriota	Pseudomonadota	False
set_H_ncbi	genome_16	RS_GCF_039543705.1	039543705	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_16	GB_GCA_032487455.1	032487455	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_16	RS_GCF_002253185.1	002253185	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_17	GB_GCA_034122265.1	034122265	test	Bacteroidota	Pseudomonadota	False
set_H_ncbi	genome_17	RS_GCF_022112815.1	022112815	test	Campylobacterota	Pseudomonadota	False
set_H_ncbi	genome_17	RS_GCF_003325455.1	003325455	test	Actinomycetota	Pseudomonadota	False
set_H_ncbi	genome_18	GB_GCA_948579655.1	948579655	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_18	RS_GCF_029011455.1	029011455	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_18	RS_GCF_900188805.1	900188805	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_18	RS_GCF_016903355.1	016903355	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_19	RS_GCF_002776955.1	002776955	test	Chlamydiota	Pseudomonadota	False
set_H_ncbi	genome_19	RS_GCF_019710695.1	019710695	test	Bacillota	Pseudomonadota	False
set_H_ncbi	genome_19	RS_GCF_021533835.1	021533835	test	Cyanobacteriota	Pseudomonadota	False
set_H_ncbi	genome_19	GB_GCA_948503305.1	948503305	test	Spirochaetota	Pseudomonadota	False
set_H_ncbi	genome_20	RS_GCF_024808535.1	024808535	test	Bacteroidota_A	Actinomycetota	False
set_H_ncbi	genome_20	GB_GCA_000306725.1	000306725	test	Halobacteriota	Actinomycetota	False
set_H_ncbi	genome_20	RS_GCF_037893695.1	037893695	test	Fusobacteriota	Actinomycetota	False
set_H_ncbi	genome_21	GB_GCA_001166045.1	001166045	test	Pseudomonadota	Actinomycetota	False
set_H_ncbi	genome_21	GB_GCA_905208785.1	905208785	test	Bacillota	Actinomycetota	False
set_H_ncbi	genome_22	RS_GCF_014498545.1	014498545	test	Campylobacterota	Actinomycetota	False
set_H_ncbi	genome_23	RS_GCF_040361795.1	040361795	test	Bacillota	Actinomycetota	False
set_H_ncbi	genome_23	GB_GCA_000523555.1	000523555	test	Fusobacteriota	Actinomycetota	False
set_H_ncbi	genome_23	RS_GCF_000734475.1	000734475	test	Pseudomonadota	Actinomycetota	False
set_H_ncbi	genome_24	RS_GCF_023375485.1	023375485	test	Bacillota	Actinomycetota	False
set_H_ncbi	genome_24	GB_GCA_029249485.1	029249485	test	Bacteroidota	Actinomycetota	False
set_H_ncbi	genome_24	GB_GCA_963681965.1	963681965	test	Electryoneota	Actinomycetota	False
set_H_ncbi	genome_24	GB_GCA_002839645.1	002839645	test	Halobacteriota	Actinomycetota	False
set_H_ncbi	genome_24	RS_GCF_038378245.1	038378245	test	Pseudomonadota	Actinomycetota	False
set_H_ncbi	genome_25	RS_GCF_014218815.1	014218815	test	Bacteroidota	Actinomycetota	False
set_H_ncbi	genome_25	GB_GCA_004365535.1	004365535	test	Bacillota	Actinomycetota	False
set_H_ncbi	genome_25	GB_GCA_949062855.1	949062855	test	Bacteroidota	Actinomycetota	False
set_H_ncbi	genome_25	RS_GCF_001548475.1	001548475	test	Pseudomonadota	Actinomycetota	False
set_H_ncbi	genome_26	GB_GCA_027627685.1	027627685	test	Pseudomonadota	Actinomycetota	False
set_H_ncbi	genome_26	GB_GCA_944323225.1	944323225	test	Cyanobacteriota	Actinomycetota	False
set_H_ncbi	genome_27	GB_GCA_949023685.1	949023685	test	Elusimicrobiota	Actinomycetota	False
set_H_ncbi	genome_28	RS_GCF_019092965.1	019092965	test	Pseudomonadota	Actinomycetota	False
set_H_ncbi	genome_28	GB_GCA_003447715.1	003447715	test	Pseudomonadota	Actinomycetota	False
set_H_ncbi	genome_28	RS_GCF_002922635.1	002922635	test	Bacillota	Actinomycetota	False
set_H_ncbi	genome_29	RS_GCF_024127895.1	024127895	test	Pseudomonadota	Actinomycetota	False
set_H_ncbi	genome_30	RS_GCF_038375585.1	038375585	test	Pseudomonadota	Actinomycetota	False
set_H_ncbi	genome_30	GB_GCA_948806195.1	948806195	test	Chrysiogenota	Actinomycetota	False
set_H_ncbi	genome_30	RS_GCF_001764455.1	001764455	test	Campylobacterota	Actinomycetota	False
set_H_ncbi	genome_30	RS_GCF_000023445.1	000023445	test	Desulfobacterota_I	Actinomycetota	False
set_H_ncbi	genome_30	RS_GCF_040760075.1	040760075	test	Bacteroidota	Actinomycetota	False
