accession	domain	n_proteins	n_scg_detected	n_scg_hits	n_scg_profiles	error
GCA_947624855.1	Bacteria	1176	82	85	85	
GCA_948614585.1	Bacteria	1772	80	81	85	
GCA_934486635.1	Bacteria	1244	85	85	85	
GCA_934725215.1	Bacteria	1751	80	80	85	
GCA_017431755.1	Bacteria	900	78	78	85	
GCA_948805815.1	Bacteria	894	83	83	85	
GCA_934699405.1	Bacteria	1028	83	83	85	
GCA_949473845.1	Bacteria	992	82	82	85	
GCA_958412775.1	Bacteria	1141	82	82	85	
GCA_934692675.1	Bacteria	1085	82	82	85	
GCA_947628905.1	Bacteria	1290	81	82	85	
GCA_017432165.1	Bacteria	1321	83	84	85	
GCA_948634395.1	Bacteria	1539	83	83	85	
GCA_947856945.1	Bacteria	1158	55	55	85	
GCA_947425475.1	Bacteria	1159	79	79	85	
GCA_947626055.1	Bacteria	1090	77	77	85	
GCA_949037395.1	Bacteria	1393	73	74	85	
GCA_947646115.1	Bacteria	1356	80	80	85	
GCA_934702115.1	Bacteria	1238	77	78	85	
GCA_902470465.1	Bacteria	1696	82	82	85	
GCA_902488175.1	Bacteria	919	81	81	85	
GCA_022794375.1	Bacteria	1520	83	83	85	
GCA_948537335.1	Bacteria	1003	83	83	85	
GCA_948765345.1	Bacteria	1427	82	82	85	
GCA_934728565.1	Bacteria	1258	84	84	85	
GCA_949449435.1	Bacteria	918	79	79	85	
GCA_949289505.1	Bacteria	994	60	60	85	
GCA_944327365.1	Bacteria	1122	69	69	85	
GCA_944385105.1	Bacteria	1401	82	84	85	
GCA_947594925.1	Bacteria	1064	77	77	85	
GCA_949432435.1	Bacteria	976	77	77	85	
GCA_944332465.1	Bacteria	1301	63	63	85	
GCA_944332475.1	Bacteria	1451	83	83	85	
GCA_963586765.1	Bacteria	1313	82	83	85	
GCA_029219605.1	Bacteria	1494	82	94	85	
GCA_949514675.1	Bacteria	1056	56	57	85	
GCA_958366995.1	Bacteria	1557	83	83	85	
GCA_944358425.1	Bacteria	1338	58	58	85	
GCA_949450275.1	Bacteria	844	72	72	85	
GCA_934465735.1	Bacteria	1278	83	83	85	
GCA_948999435.1	Bacteria	1364	73	73	85	
GCA_948827285.1	Bacteria	1182	43	43	85	
GCA_905209745.1	Bacteria	1370	43	44	85	
GCA_900554335.1	Bacteria	1046	83	84	85	
GCA_934675165.1	Bacteria	1217	80	80	85	
GCA_947630575.1	Bacteria	1342	75	75	85	
GCA_948997035.1	Bacteria	1040	72	73	85	
GCA_017888685.1	Bacteria	1397	64	64	85	
GCA_902467865.1	Bacteria	1116	84	84	85	
GCA_900753785.1	Bacteria	1476	72	75	85	
GCA_948591355.1	Bacteria	955	83	83	85	
GCA_944358125.1	Bacteria	1307	81	81	85	
GCA_947626695.1	Bacteria	1612	77	77	85	
GCA_934679985.1	Bacteria	1114	84	84	85	
GCA_944358165.1	Bacteria	1307	49	50	85	
GCA_902470115.1	Bacteria	1004	82	82	85	
GCA_944358855.1	Bacteria	1289	54	54	85	
GCA_902469355.1	Bacteria	1232	68	68	85	
GCA_900552535.1	Bacteria	1173	79	79	85	
GCA_948559465.1	Bacteria	1009	84	84	85	
GCA_947365235.1	Bacteria	1526	62	64	85	
GCA_902495835.1	Bacteria	1447	60	63	85	
GCA_947625365.1	Bacteria	1084	58	59	85	
GCA_900554315.1	Bacteria	1361	81	81	85	
GCA_900766445.1	Bacteria	931	78	79	85	
GCA_958419905.1	Bacteria	1102	71	71	85	
GCA_949467945.1	Bacteria	926	57	57	85	
GCA_902492055.1	Bacteria	1181	82	82	85	
GCA_947581835.1	Bacteria	1342	80	81	85	
GCA_949156995.1	Bacteria	1050	81	81	85	
GCA_948571445.1	Bacteria	1456	79	80	85	
GCA_947570865.1	Bacteria	1808	82	82	85	
GCA_949105105.1	Bacteria	1450	81	81	85	
GCA_963931345.1	Bacteria	1041	68	68	85	
GCA_015059425.1	Bacteria	1232	81	81	85	
GCA_948802025.1	Bacteria	610	57	57	85	
GCA_900757335.1	Bacteria	1232	68	68	85	
GCA_947565485.1	Bacteria	1499	65	66	85	
GCA_963929225.1	Bacteria	1224	81	83	85	
GCA_948527295.1	Bacteria	1283	83	83	85	
