treated_accession	control_accession	match_distance	treated_informative_kmer_density	treated_log10_total_bp	treated_log10_n_contigs	treated_log10_n50	treated_gc_pct	control_informative_kmer_density	control_log10_total_bp	control_log10_n_contigs	control_log10_n50	control_gc_pct	treated_orig_contam_pct	control_orig_contam_pct
GCA_054186275.1	GCA_948675425.1	0.1221	0.000309	6.2472	2.0969100130080562	4.404799518857654	42.129	0.000207	6.2548	2.0791812460476247	4.3949592284862	40.952	18.574	38.144
GCA_039925865.1	GCA_964500765.1	0.1319	0.00024	6.4919	2.534026106056135	4.072543985643648	34.507	0.000378	6.474	2.568201724066995	4.035509785089558	34.017	36.873	25.613
GCA_949386215.1	GCA_053492575.1	0.1446	0.000395	6.6768	2.1931245983544616	4.692097489441729	54.935	0.000275	6.6761	2.130333768495006	4.737001702063322	55.283	22.344	29.542
GCA_964564625.1	GCA_947566755.1	0.1506	0.000227	6.484	1.8920946026904804	4.903919781949839	47.384	0.000616	6.5107	1.863322860120456	4.883621693971008	47.601	25.453	10.727
GCA_054602775.1	GCA_949454215.1	0.1637	0.000742	6.338	1.863322860120456	4.610713382191951	61.665	0.001499	6.3188	1.863322860120456	4.6151817332770175	60.818	40.254	3.752
GCA_028724105.1	GCA_903901325.1	0.1718	0.000944	6.3833	1.9344984512435677	4.683866198773409	41.844	0.000249	6.3668	1.9777236052888478	4.6498117364755105	42.448	3.092	49.319
GCA_024763275.1	GCA_948669905.1	0.1853	0.000228	6.4074	1.9912260756924949	4.6105430581044065	54.106	0.0006	6.3878	1.9242792860618816	4.654041706697434	54.622	38.028	25.74
GCA_963537445.1	GCA_965328565.1	0.1905	0.001197	6.2239	2.214843848047698	4.120705515658274	37.983	0.000194	6.2432	2.2479732663618064	4.122707254318348	37.456	9.711	28.958
GCA_049840515.1	GCA_948699335.1	0.1965	0.000741	6.4751	1.4471580313422192	5.304277205779383	42.607	0.000983	6.4782	1.3617278360175928	5.3201836878529845	41.441	0.974	0.0
GCA_036666455.1	GCA_963610445.1	0.1975	0.000385	6.3133	1.9777236052888478	4.529969038120523	32.445	0.000375	6.3242	2.0453229787866576	4.449138853393678	32.745	24.167	27.751
GCA_964370005.1	GCA_964371365.1	0.2006	0.000307	6.337	2.1072099696478683	4.42301637471482	48.397	0.000265	6.3033	2.123851640967086	4.359550916763318	47.806	39.239	43.13
GCA_055962315.1	GCA_949497025.1	0.2033	0.000268	6.5198	1.6232492903979006	5.068148740973294	50.784	0.000722	6.5531	1.6812412373755872	5.077069793388741	50.29	15.202	2.554
GCA_964436235.1	GCA_036504555.1	0.2052	0.000182	6.6774	2.506505032404872	4.433241641112682	43.348	0.000377	6.7197	2.507855871695831	4.437004965477303	42.677	34.846	26.407
GCA_964442135.1	GCA_977054245.1	0.2132	0.000279	6.1641	1.7993405494535817	4.5218177718298564	49.834	0.000327	6.184	1.8195439355418688	4.554537614146668	47.908	25.334	34.759
GCA_035436425.1	GCA_045644425.1	0.2189	0.000259	6.3531	1.6020599913279625	4.978212482757543	46.387	0.000209	6.3855	1.6901960800285136	4.978659757369638	46.371	8.272	19.506
GCA_002070265.1	GCA_948627575.1	0.221	0.000439	6.4693	1.968482948553935	5.040119522407977	38.898	0.00057	6.4968	1.8808135922807914	5.0176259138488275	39.683	21.951	0.619
GCA_012963765.1	GCA_043425335.1	0.2212	0.000247	6.3919	2.4899584794248346	4.106632788920115	42.606	0.000756	6.373	2.406540180433955	4.1531133315106095	41.802	26.004	16.453
GCA_964563855.1	GCA_024276305.1	0.2319	0.000486	6.5527	1.99563519459755	4.748188027006201	65.194	0.000321	6.5497	2.075546961392531	4.767779021128795	63.329	38.375	40.388
GCA_036772475.1	GCA_029056385.1	0.2327	0.00023	6.4615	1.8573324964312685	4.932767929982289	49.184	0.000542	6.4653	1.9084850188786497	4.816042340921997	48.994	29.074	13.425
GCA_029559035.1	GCA_950097065.1	0.2426	0.000515	6.4569	2.0	4.892144710701447	55.931	0.000802	6.4609	1.9138138523837167	4.976336220776418	56.982	24.897	20.641
GCA_934202235.1	GCA_949000995.1	0.4941	0.000537	6.2085	1.8750612633917	4.456001437208452	48.661	0.000401	6.2129	2.0086001717619175	4.42458765366793	44.117	20.388	27.757
GCA_977085625.1	GCA_054012295.1	0.2534	0.000604	6.2833	1.6232492903979006	4.908795883890261	47.108	0.000376	6.2565	1.5440680443502757	5.001539015272073	47.263	1.442	14.141
GCA_965658445.1	GCA_021732365.1	0.2559	0.000428	6.4131	1.5797835966168101	5.190978455224618	44.183	0.000759	6.3985	1.5440680443502757	5.099770390630918	42.383	9.362	3.091
