bin,stage,method,1_completeness_arc,1_contamination_arc,1_completeness_bac,1_contamination_bac,2_completeness,2_contamination,2_num_markers,3_completeness,3_contamination,coding_density,knn_score,taxonomy,taxonomy_level,notes
proton__GCA_000015865.1,2,markers,0.32608697,0.23188406,0.6666667,0.2037037,0.6947592067988668,0.34088763704380975,353.0,0.690708200122862,0.23705956986764123,0.0021521247613188778,0.29417026,Clostridia,class,
pacbio__GCA_000156375.1,3,markers + neural network,0.5072464,0.10869565,0.9907407,0.009259259,0.9996007740378617,0.011976047904191617,501.0,1.0,0.0,0.0010459446938460356,0.63740396,Desulfovibrio,genus,
mgiseq_t7__GCA_000016065.1,3,markers + neural network,0.3043478,0.11594203,0.6018519,0.16666667,0.6898156425280448,0.21892308944310898,975.0,0.6396644323612806,0.26072255443019304,0.002200542294957105,0.4027231,Shewanella,genus,
mgiseq_2000__GCA_000166095.1,3,markers + neural network,1.0,0.0,0.5277778,0.018518519,1.0,0.0047169811320754715,424.0,1.0,0.0,0.00135261265892996,0.6734586,Euryarchaeota,phylum,
mgiseq_2000__GCA_000011065.1,2,markers,0.20289855,0.057971016,0.41666666,0.06481481,0.5103391358633491,0.09247312711426993,806.0,0.591851121072536,0.11853239644312172,0.0023832808266776207,0.34256175,Bacteroides,genus,
illumina__GCA_000011065.1,3,markers + neural network,0.41304347,0.1594203,0.787037,0.1574074,0.833651892376628,0.297803869042869,979.0,0.7505914569966359,0.26255313172280814,0.0019021023530859152,0.4031912,Bacteroides,genus,
pacbio__GCA_000007225.1,2,markers,0.2173913,0.028985508,0.19444445,0.018518519,0.23005699092506343,0.02564102564102564,234.0,0.6059238771284513,0.0,0.0013712031620180653,0.22261524,Thermoprotei,class,
mgiseq_t7__GCA_000007305.1,1,rejected,0.028985508,0.0,0.009259259,0.0,0.05324074074074074,0.0,216.0,0.5853886181768888,0.0,0.002795007274676468,0.11920891,Archaea,superkingdom,
illumina__GCA_000008085.1,3,markers + neural network,0.7536232,0.007246377,0.44444445,0.027777778,0.6544486597964638,0.007518796992481203,266.0,0.6776612701170672,0.0,0.001062461670362037,0.40250576,Thermoprotei,class,
pacbio__GCA_000013645.1,3,markers + neural network,0.5072464,0.0942029,1.0,0.027777778,1.0,0.0016319869927414483,817.0,1.0,0.0,0.0012060624381142948,0.601547,Paraburkholderia,genus,
mgiseq_2000__GCA_000010505.1,3,markers + neural network,0.49275362,0.07971015,0.9907407,0.0,1.0,0.0019801980198019802,505.0,1.0,0.0045089110542241295,0.001110409731292543,0.72973454,Porphyromonas,genus,
proton__GCA_000011585.1,1,rejected,0.072463766,0.02173913,0.027777778,0.0,0.28385688289089767,0.14514253360022633,573.0,0.587006020432737,0.12318794235503122,0.0021591280841612285,0.23505913,Methanococcales,order,
minion__GCA_000022565.1,1,rejected,0.007246377,0.007246377,0.0,0.0,0.0,0.0,153.0,0.6004365707793138,0.0,0.0021343619414979104,0.050225534,Bacteria,superkingdom,
pacbio__GCA_001639275.1,3,markers + neural network,0.9927536,0.0,0.5462963,0.018518519,0.9816143224057595,0.011210762331838564,446.0,0.9844941939677512,0.0,0.0008815062922694974,0.68521863,Methanobacteriaceae,family,
mgiseq_2000__GCA_000011205.1,1,rejected,0.050724637,0.0,0.037037037,0.0,0.0718562874251497,0.0,167.0,0.5754460207915297,0.0,0.0024413628141895564,0.15211178,Archaea,superkingdom,
minion__GCA_000008185.1,2,markers,0.19565217,0.4710145,0.4814815,0.6203704,0.6576943825353028,1.3128058727569332,613.0,0.6744310153460096,0.23716206857223543,0.002855763082553587,0.16167124,Treponema,genus,
illumina__GCA_000156375.1,3,markers + neural network,0.5072464,0.14492753,0.9814815,0.046296295,0.992947454699975,0.07644711187975611,501.0,1.0,0.06510875022252757,0.0011512416887124192,0.59162396,Desulfovibrio,genus,
illumina__GCA_000015865.1,3,markers + neural network,0.47826087,0.22463769,0.9722222,0.19444445,0.9573398413739356,0.24570153229428035,411.0,0.9640876520598738,0.20206128984752328,0.00147006379762041,0.40769136,Eubacteriales,order,
mgiseq_t7__GCA_000009705.1,3,markers + neural network,0.46376812,0.16666667,0.962963,0.23148148,0.9589515935065839,0.29443619725258485,674.0,0.9629335636379119,0.17629573788974692,0.001536539760357008,0.3839137,Nostocales,order,
illumina__GCA_000007225.1,2,markers,0.3188406,0.057971016,0.19444445,0.046296295,0.3900462680392795,0.06666666666666667,360.0,0.5850283892466408,0.0707056967692378,0.002155073974263683,0.3251156,Thermoprotei,class,
s5__GCA_000020465.1,3,markers + neural network,0.49275362,0.14492753,0.9907407,0.12962963,0.9726225663330782,0.08333333699778796,694.0,0.9721207049241438,0.09121031040858404,0.0012208875496959144,0.6340205,Chlorobiaceae,family,
minion__GCA_000011065.1,2,markers,0.2536232,0.42028984,0.33333334,0.44444445,0.38661894542631847,0.7481352265898165,858.0,0.5863676582186623,0.3081292355735619,0.0032040831070038796,0.11282155,Bacteroides,genus,
mgiseq_t7__GCA_000172575.2,2,markers,0.06521739,0.0,0.10185185,0.009259259,0.1482720263426918,0.006688963210702341,299.0,0.5745524470828153,0.0,0.003156978792869111,0.19925974,Bacilli,class,
s5__GCA_000008085.1,3,markers + neural network,0.73188406,0.028985508,0.42592594,0.055555556,0.6831896551724138,0.034482758620689655,232.0,0.7037656227466547,0.03095668907571108,0.0011817870500312234,0.37819332,Archaea,superkingdom,
